family,n,bitflip_rate,gradient_signal_gain,ci_low,ci_high
SU2-HaarU4-brickwork,8,0.00,2.963,2.871,3.060
SU2-HaarU4-brickwork,8,0.01,2.426,2.348,2.511
SU2-HaarU4-brickwork,8,0.03,1.898,1.839,1.959
SU2-HaarU4-brickwork,8,0.05,1.589,1.541,1.637
SU2-HaarU4-brickwork,10,0.00,4.638,4.482,4.809
SU2-HaarU4-brickwork,10,0.01,3.586,3.469,3.712
SU2-HaarU4-brickwork,10,0.03,2.573,2.491,2.661
SU2-HaarU4-brickwork,10,0.05,1.970,1.909,2.034
SU2-HaarU4-brickwork,12,0.00,9.584,9.360,9.830
SU2-HaarU4-brickwork,12,0.01,6.919,6.760,7.102
SU2-HaarU4-brickwork,12,0.03,4.491,4.394,4.604
SU2-HaarU4-brickwork,12,0.05,3.127,3.059,3.204
U1-RZ-XY-line,8,0.00,1.148,1.119,1.179
U1-RZ-XY-line,8,0.01,1.271,1.240,1.304
U1-RZ-XY-line,8,0.03,1.254,1.227,1.284
U1-RZ-XY-line,8,0.05,1.233,1.210,1.257
U1-RZ-XY-line,10,0.00,1.189,1.157,1.222
U1-RZ-XY-line,10,0.01,1.269,1.239,1.300
U1-RZ-XY-line,10,0.03,1.225,1.199,1.250
U1-RZ-XY-line,10,0.05,1.187,1.166,1.208
U1-RZ-XY-line,12,0.00,1.210,1.187,1.234
U1-RZ-XY-line,12,0.01,1.264,1.242,1.287
U1-RZ-XY-line,12,0.03,1.201,1.183,1.220
U1-RZ-XY-line,12,0.05,1.150,1.135,1.165
