family,k,analysis_status,n_points,n_min,n_max,g_first,g_last,g_last_over_first,rho_last,loglog_slope,loglog_slope_ci95_low,loglog_slope_ci95_high,loglog_r2,power_decay_exponent,plateau_intercept_c,plateau_intercept_ci95_low,plateau_intercept_ci95_high,plateau_inv_n_slope,plateau_r2,finite_size_trend,screening_label,screening_rule
RY-RZ-CZ-line,1,exploratory_post_hoc,6,6,16,0.09519536523853872,0.0878581494108464,0.9229246527989375,0.8766269483847471,-0.10122862274496974,-0.4052139300191342,0.25631233068414455,0.5117608310287045,0.10122862274496974,0.08196748691911128,0.05372561036021092,0.10765435840599008,0.08845841397822486,0.5254333723493624,unresolved,structured_rank_law_deviation_at_largest_n,"g_last>1 => symmetry-aligned; otherwise frozen rho equivalence band [0.90,1.10] distinguishes rank-typical from structured deviation"
RY-RZ-CZ-line,2,exploratory_post_hoc,6,6,16,0.04090779781700384,0.05720444523049425,1.3983750845350198,0.9197440393976896,0.26572599690364,-0.04832412526539051,0.693043150488741,0.6566825049189207,-0.26572599690364,0.0634353248145617,0.04987780379344899,0.07596529771159735,-0.12499831856529342,0.6985290857521795,unresolved,rank_typical_at_largest_n,"g_last>1 => symmetry-aligned; otherwise frozen rho equivalence band [0.90,1.10] distinguishes rank-typical from structured deviation"
SU2-CNOT-line,1,exploratory_post_hoc,6,6,16,0.07364165517134623,0.034330211638602386,0.4661792508428053,0.9523307476215029,-0.954916546414786,-1.353663552764834,-0.5291085386187895,0.7143684854821353,0.954916546414786,-0.0031512313497033782,-0.0235316266308406,0.01759426185427544,0.45145706634853966,0.8422525022699059,decreasing,rank_typical_at_largest_n,"g_last>1 => symmetry-aligned; otherwise frozen rho equivalence band [0.90,1.10] distinguishes rank-typical from structured deviation"
SU2-CNOT-line,2,exploratory_post_hoc,6,6,16,0.043488609830260955,0.011847475429752152,0.27242709012759125,0.9855648089589675,-1.0822500695945068,-1.4819407609170359,-0.6369368877969752,0.5881415988411136,1.0822500695945068,-0.007476845635063095,-0.019794438592799734,0.004215435228469563,0.27134087005329816,0.7529205529854016,decreasing,rank_typical_at_largest_n,"g_last>1 => symmetry-aligned; otherwise frozen rho equivalence band [0.90,1.10] distinguishes rank-typical from structured deviation"
SU2-CZ-random-matching,1,exploratory_post_hoc,4,6,12,0.11003909754935118,0.033699538871285864,0.3062505929419499,0.9573318793621852,-1.567259446100826,-2.1649585836729797,-0.9197204003824613,0.8886642761945696,1.567259446100826,-0.0431651705904788,-0.08938718698176949,0.0017715029095719222,0.8758762298560326,0.889204978198443,decreasing,rank_typical_at_largest_n,"g_last>1 => symmetry-aligned; otherwise frozen rho equivalence band [0.90,1.10] distinguishes rank-typical from structured deviation"
SU2-CZ-random-matching,2,exploratory_post_hoc,4,6,12,0.06762363115579685,0.019786794952160618,0.29260178156618327,0.9751597126875373,-1.6165909719059568,-2.174472128222655,-1.005047207979317,0.804595704429712,1.6165909719059568,-0.030733705788983025,-0.059562330874630254,-0.004000964800261263,0.5533814281412126,0.8313659093807411,decreasing,rank_typical_at_largest_n,"g_last>1 => symmetry-aligned; otherwise frozen rho equivalence band [0.90,1.10] distinguishes rank-typical from structured deviation"
SU2-CZ-ring,1,exploratory_post_hoc,4,6,12,0.08171807631143015,0.037440959933966345,0.45817231173281264,0.9605544863388593,-1.1926568013309278,-1.8999206327381266,-0.47312705893207957,0.9662588930365731,1.1926568013309278,-0.009142056981900855,-0.054655782817840816,0.031315470926191136,0.5562215917853004,0.9673799724390388,decreasing,rank_typical_at_largest_n,"g_last>1 => symmetry-aligned; otherwise frozen rho equivalence band [0.90,1.10] distinguishes rank-typical from structured deviation"
SU2-CZ-ring,2,exploratory_post_hoc,4,6,12,0.05841463457943491,0.024657518550422676,0.4221120054580201,0.9689936280513028,-1.2855452370460476,-1.8055393641235933,-0.7243283684551235,0.7601260716031548,1.2855452370460476,-0.01750524786405991,-0.04166239559555605,0.00492881997759721,0.4261480522088176,0.8257184460602981,decreasing,rank_typical_at_largest_n,"g_last>1 => symmetry-aligned; otherwise frozen rho equivalence band [0.90,1.10] distinguishes rank-typical from structured deviation"
SU2-HaarU4-brickwork,1,exploratory_post_hoc,7,6,18,0.10259123978723174,0.05020605396547207,0.4893795422454832,0.9292457387753762,-0.6644621962264441,-0.9464473406962327,-0.3906489976349287,0.8909490662227182,0.6644621962264441,0.018822330854248424,-0.00017364386234347272,0.0375679654132463,0.49191437933479687,0.9342292310795188,decreasing,rank_typical_at_largest_n,"g_last>1 => symmetry-aligned; otherwise frozen rho equivalence band [0.90,1.10] distinguishes rank-typical from structured deviation"
SU2-HaarU4-brickwork,2,exploratory_post_hoc,7,6,18,0.050535927367546314,0.029512726286860348,0.5839949482318818,0.9584184295480891,-0.39954890628892675,-0.6232597236157698,-0.14127671798587196,0.7795193842486481,0.39954890628892675,0.02035085722578951,0.011227639399666117,0.029553285498720997,0.16437721331888508,0.8553701804092685,decreasing,rank_typical_at_largest_n,"g_last>1 => symmetry-aligned; otherwise frozen rho equivalence band [0.90,1.10] distinguishes rank-typical from structured deviation"
