profile,analysis_role,job_id,circuit_id,family,n,depth_factor,tangent_count_used,k,regular_fraction,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,theorem_bound_slack_sample
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,1,1.0,1.3322676295501878e-15,2.719200663383584e-16,1.3322676295501878e-15,4.510281037539698e-17,-0.3871361273679606,0.2732254570215386
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,2,1.0,1.3322676295501878e-15,2.719200663383584e-16,1.3322676295501878e-15,4.510281037539698e-17,-0.3871361273679606,0.5444647281618771
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n8|d48|i8|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i8,SU2-CNOT-line,8,6.0,128,1,1.0,2.4424906541753444e-15,4.1639145433529365e-16,2.4424906541753444e-15,7.28583859910259e-17,-0.4021933412810942,0.2737713783648264
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n8|d48|i8|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i8,SU2-CNOT-line,8,6.0,128,2,1.0,2.4424906541753444e-15,4.1639145433529365e-16,2.4424906541753444e-15,7.28583859910259e-17,-0.4021933412810942,0.54773892834304
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n12|d72|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i6,SU2-CNOT-line,12,6.0,128,1,1.0,2.664535259100376e-15,3.088176272170235e-16,2.886579864025407e-15,4.8572257327350605e-17,-0.4578002589695552,0.3206823655100143
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n12|d72|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i6,SU2-CNOT-line,12,6.0,128,2,1.0,2.664535259100376e-15,3.088176272170235e-16,2.886579864025407e-15,4.8572257327350605e-17,-0.4578002589695552,0.8109300219874821
v2_basis,measurement-basis robustness and scope,SU2-HaarU4-brickwork|n8|d48|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i4,SU2-HaarU4-brickwork,8,6.0,128,1,1.0,1.1657341758564144e-14,2.3453467810603023e-15,1.1546319456101628e-14,4.336808689942018e-17,-0.3807553528004079,0.2958994260558472
v2_basis,measurement-basis robustness and scope,SU2-HaarU4-brickwork|n8|d48|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i4,SU2-HaarU4-brickwork,8,6.0,128,2,1.0,1.1657341758564144e-14,2.3453467810603023e-15,1.1546319456101628e-14,4.336808689942018e-17,-0.3807553528004079,0.5906925727365879
v2_basis,measurement-basis robustness and scope,SU2-HaarU4-brickwork|n12|d72|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,128,1,1.0,1.2656542480726783e-14,1.6514824624299258e-15,1.27675647831893e-14,2.0816681711721685e-17,-0.4278689632889386,0.3311833020987892
v2_basis,measurement-basis robustness and scope,SU2-HaarU4-brickwork|n12|d72|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,128,2,1.0,1.2656542480726783e-14,1.6514824624299258e-15,1.27675647831893e-14,2.0816681711721685e-17,-0.4278689632889386,0.8372120412599556
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i0,U1-RZ-XY-line,8,6.0,128,1,1.0,6.661338147750939e-16,3.778353571698973e-16,5.551115123125784e-16,1.1102230246251563e-16,-0.1051912339495186,0.2216466915360787
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i0,U1-RZ-XY-line,8,6.0,128,2,1.0,6.661338147750939e-16,3.778353571698973e-16,5.551115123125784e-16,1.1102230246251563e-16,-0.1051912339495186,0.5301646462931786
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n8|d48|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,6.0,128,1,1.0,2.7755575615628917e-15,1.3843267244317949e-15,2.886579864025407e-15,1.1102230246251563e-16,-0.1339680323552741,0.1847939507375914
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n8|d48|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,6.0,128,2,1.0,2.7755575615628917e-15,1.3843267244317949e-15,2.886579864025407e-15,1.1102230246251563e-16,-0.1339680323552741,0.5481934759125346
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n12|d72|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i4,U1-RZ-XY-line,12,6.0,128,1,1.0,3.996802888650564e-15,1.8770509621175218e-15,3.996802888650564e-15,5.551115123125783e-17,-0.2177845732367729,0.3015445945336812
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n12|d72|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n12|d72|i4,U1-RZ-XY-line,12,6.0,128,2,1.0,3.996802888650564e-15,1.8770509621175218e-15,3.996802888650564e-15,5.551115123125783e-17,-0.2177845732367729,0.900863382820391
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=X|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,1,1.0,0.0,2.8276524777180693e-16,0.0,6.071532165918825e-17,-0.3641386795645722,0.2700451057238425
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=X|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,2,1.0,0.0,2.8276524777180693e-16,0.0,6.071532165918825e-17,-0.3641386795645722,0.5416738586272972
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n8|d48|i8|dir=gaussian|basis=X|eta=0,SU2-CNOT-line|n8|d48|i8,SU2-CNOT-line,8,6.0,128,1,1.0,8.881784197001252e-16,4.1929472162615895e-16,8.881784197001252e-16,5.551115123125783e-17,-0.3768103719979047,0.273791962660223
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n8|d48|i8|dir=gaussian|basis=X|eta=0,SU2-CNOT-line|n8|d48|i8,SU2-CNOT-line,8,6.0,128,2,1.0,8.881784197001252e-16,4.1929472162615895e-16,8.881784197001252e-16,5.551115123125783e-17,-0.3768103719979047,0.5486970504323953
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n12|d72|i6|dir=gaussian|basis=X|eta=0,SU2-CNOT-line|n12|d72|i6,SU2-CNOT-line,12,6.0,128,1,1.0,8.881784197001252e-16,3.01942810907654e-16,8.881784197001252e-16,4.9439619065338996e-17,-0.4610958769844079,0.3206147148246797
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n12|d72|i6|dir=gaussian|basis=X|eta=0,SU2-CNOT-line|n12|d72|i6,SU2-CNOT-line,12,6.0,128,2,1.0,8.881784197001252e-16,3.01942810907654e-16,8.881784197001252e-16,4.9439619065338996e-17,-0.4610958769844079,0.8104344336754381
v2_basis,measurement-basis robustness and scope,SU2-HaarU4-brickwork|n8|d48|i4|dir=gaussian|basis=X|eta=0,SU2-HaarU4-brickwork|n8|d48|i4,SU2-HaarU4-brickwork,8,6.0,128,1,1.0,1.2989609388114332e-14,2.366162821232365e-15,1.2989609388114332e-14,5.637851296924623e-17,-0.365575215341594,0.2907758492182277
v2_basis,measurement-basis robustness and scope,SU2-HaarU4-brickwork|n8|d48|i4|dir=gaussian|basis=X|eta=0,SU2-HaarU4-brickwork|n8|d48|i4,SU2-HaarU4-brickwork,8,6.0,128,2,1.0,1.2989609388114332e-14,2.366162821232365e-15,1.2989609388114332e-14,5.637851296924623e-17,-0.365575215341594,0.5779399892113369
v2_basis,measurement-basis robustness and scope,SU2-HaarU4-brickwork|n12|d72|i2|dir=gaussian|basis=X|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,128,1,1.0,1.498801083243961e-14,1.6289101510049649e-15,1.498801083243961e-14,2.2985086056692694e-17,-0.434489138784879,0.3309271197531737
v2_basis,measurement-basis robustness and scope,SU2-HaarU4-brickwork|n12|d72|i2|dir=gaussian|basis=X|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,128,2,1.0,1.498801083243961e-14,1.6289101510049649e-15,1.498801083243961e-14,2.2985086056692694e-17,-0.434489138784879,0.8370591385434156
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n8|d48|i0|dir=gaussian|basis=X|eta=0,U1-RZ-XY-line|n8|d48|i0,U1-RZ-XY-line,8,6.0,128,1,1.0,2.1094237467877974e-15,3.7975787239785663e-16,1.9984014443252818e-15,1.2836953722228372e-16,-0.1270050118400596,0.614632239221828
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n8|d48|i0|dir=gaussian|basis=X|eta=0,U1-RZ-XY-line|n8|d48|i0,U1-RZ-XY-line,8,6.0,128,2,1.0,2.1094237467877974e-15,3.7975787239785663e-16,1.9984014443252818e-15,1.2836953722228372e-16,-0.1270050118400596,0.9389160462434378
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n8|d48|i8|dir=gaussian|basis=X|eta=0,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,6.0,128,1,1.0,4.218847493575595e-15,1.3808442454723577e-15,4.218847493575595e-15,6.938893903907227e-17,-0.1579149548099453,0.6052591589970855
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n8|d48|i8|dir=gaussian|basis=X|eta=0,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,6.0,128,2,1.0,4.218847493575595e-15,1.3808442454723577e-15,4.218847493575595e-15,6.938893903907227e-17,-0.1579149548099453,0.9829594094254874
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n12|d72|i4|dir=gaussian|basis=X|eta=0,U1-RZ-XY-line|n12|d72|i4,U1-RZ-XY-line,12,6.0,128,1,1.0,1.9984014443252818e-15,1.880699478432937e-15,1.9984014443252818e-15,6.071532165918825e-17,-0.2077347217168692,0.6014650860822398
v2_basis,measurement-basis robustness and scope,U1-RZ-XY-line|n12|d72|i4|dir=gaussian|basis=X|eta=0,U1-RZ-XY-line|n12|d72|i4,U1-RZ-XY-line,12,6.0,128,2,1.0,1.9984014443252818e-15,1.880699478432937e-15,1.9984014443252818e-15,6.071532165918825e-17,-0.2077347217168692,1.3148357084511693
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line|n8|d48|i2|dir=gaussian|basis=Y|eta=0,SU2-CNOT-line|n8|d48|i2,SU2-CNOT-line,8,6.0,128,1,1.0,2.220446049250313e-15,6.297141794121501e-16,2.220446049250313e-15,7.112366251504909e-17,-0.3638243565990106,0.2736337224707984
