profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,mean_physical_minus_rank_baseline,ci95_low,ci95_high,circuits,fraction_positive,median_haar_z
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,-0.0007126324609541405,-0.0010631292748474104,-0.00032243695722381015,10,0.1,-0.6044923176023123
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,2,-0.0010652555714676698,-0.002811652703428273,0.00047428826316272036,10,0.4,-0.5267716107940241
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,8,6.0,gaussian,X,0.0,128,1,-0.0015286903944105802,-0.0025162969542304073,-0.0005549397775452764,10,0.1,-0.9388465825885619
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,8,6.0,gaussian,X,0.0,128,2,-0.0024694512006349797,-0.004463336510669831,-0.00041599396646358936,10,0.2,-0.87572151855954
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,8,6.0,gaussian,Y,0.0,128,1,-0.00023803019496117,-0.0010140015275155966,0.0006321939857483407,10,0.4,-0.40753852831177784
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,8,6.0,gaussian,Y,0.0,128,2,-0.0010378161358916601,-0.002404760831758605,0.00020262248400018012,10,0.4,-0.32205256218823697
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,128,1,-0.00057329913178602,-0.0010550766503736274,-8.046770143987354e-05,10,0.2,-0.37101226577469326
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,128,2,-0.0025132447345852433,-0.003985600814682885,-0.0011384085152809345,10,0.1,-0.8166954725218074
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,12,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,-8.826252483909835e-05,-0.00011954155865898919,-5.8559911468087515e-05,10,0.0,-0.6549687283247572
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,12,6.0,gaussian,RANDOM_LOCAL,0.0,128,2,-0.0002721800234449106,-0.00042167489859558,-0.00015813477731106584,10,0.0,-0.6810560036273317
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,12,6.0,gaussian,X,0.0,128,1,-9.135544540230345e-05,-0.0001424003420205445,-4.4448313077168776e-05,10,0.0,-0.5771333071322774
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,12,6.0,gaussian,X,0.0,128,2,-0.00038639621298213,-0.0005244485657768575,-0.0002649661426735159,10,0.0,-1.1881095804194892
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,12,6.0,gaussian,Y,0.0,128,1,-0.00012100947753625318,-0.0001808907510709129,-6.425654863135095e-05,10,0.1,-1.043943886207066
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,12,6.0,gaussian,Y,0.0,128,2,-0.0003989429647303413,-0.0005477948411749676,-0.0002556570236213002,10,0.0,-1.505868125405586
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,128,1,-2.803295807086855e-06,-4.726212264149822e-05,3.741301639508245e-05,10,0.6,0.0769313257262662
v2_basis,measurement-basis robustness and scope,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,128,2,-0.00023231564911327523,-0.00040099520477850683,-7.997596326967982e-05,10,0.1,-0.5768951441091146
v2_basis,measurement-basis robustness and scope,SU2-HaarU4-brickwork,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,-0.0023618801749211004,-0.0028368858259803947,-0.001871113406454386,10,0.0,-1.551241709691001
v2_basis,measurement-basis robustness and scope,SU2-HaarU4-brickwork,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,2,-0.0031572429948639796,-0.004941641965981532,-0.0014128008734786031,10,0.2,-0.7206261979094488
v2_basis,measurement-basis robustness and scope,SU2-HaarU4-brickwork,8,6.0,gaussian,X,0.0,128,1,-0.0020312249719646397,-0.003158575467916296,-0.0010210942580431148,10,0.1,-0.9036727434308061
