profile,family,n,depth_factor,tangent_count_used,k,factor,reference,comparison,metric,paired_circuits,mean_paired_difference,ci95_low,ci95_high,fraction_positive_differences
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,enhancement,10,-0.004441249867233576,-0.026175341639457592,0.015980877878638552,0.6
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,actual_retention,10,-0.0001393333291680999,-0.0008358773383272356,0.00050360184003128,0.6
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,deff_pairwise,10,-0.01992185417464327,-0.7753511665883578,0.7059741392137925,0.5
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,pairwise_purity,10,8.526715537798304e-07,-2.507690341357017e-05,2.7275943725615696e-05,0.5
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,10,0.005265531201304496,0.0028467289341395597,0.0077603336893448845,0.9
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,10,-0.00013933332916812044,-0.0008196364495699699,0.000510893521334048,0.6
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,enhancement,10,0.010256589905416424,-0.006902780445963004,0.02866412380571052,0.7
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,actual_retention,10,0.0014479891631175885,-0.0009285434504853886,0.00398045750051555,0.7
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,deff_pairwise,10,-0.01992185417464327,-0.7779654924713275,0.7170157235237987,0.5
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,pairwise_purity,10,8.526715537798304e-07,-2.4363081945384486e-05,2.7716255272301246e-05,0.5
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,10,0.005265531201304496,0.0027769012247731203,0.007724892025838812,0.9
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,10,0.001447989163117573,-0.0009694904596467499,0.004046840215347987,0.7
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,enhancement,10,-0.029162961907180162,-0.046167539058466565,-0.01186606636758091,0.1
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,actual_retention,10,-8.545922903201008e-05,-0.00013514651978513588,-3.3653213484028054e-05,0.1
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,deff_pairwise,10,3.0614645165081584,-3.7861350784358043,8.476710996436669,0.8
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,pairwise_purity,10,-3.594555312419977e-06,-9.155883785356479e-06,3.278305336214767e-06,0.2
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,10,0.003481946303278821,0.0028764040832431658,0.004136042766502408,1.0
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,10,-8.545922903201149e-05,-0.00013472103955472552,-3.4302256279477706e-05,0.1
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,enhancement,10,-0.0020928796524107727,-0.013350042921150596,0.009707897299122178,0.3
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,actual_retention,10,-3.9864374331629804e-05,-0.0002580925712834145,0.0001847893667197228,0.3
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,deff_pairwise,10,3.0614645165081584,-3.7657708062925628,8.41349421937755,0.8
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,pairwise_purity,10,-3.594555312419977e-06,-9.223452049146277e-06,3.304628059520498e-06,0.2
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,10,0.003481946303278821,0.0028764256179694726,0.004119006658963486,1.0
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,10,-3.9864374331635374e-05,-0.00025782545200694977,0.0001823869955491255,0.3
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,enhancement,10,-0.02747278146968828,-0.045495259101198025,-0.012807762652080123,0.2
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,actual_retention,10,-0.0008618911833627813,-0.0014180604805086898,-0.0003868504743933902,0.2
