profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,metric,mean,ci95_low,ci95_high,families,circuits,estimator
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,generic_family_balanced,enhancement,0.9509999548657373,0.9414107626623603,0.9605831023197029,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,U1,enhancement,4.2220990427481375,3.3739789434404663,5.091635501011728,1,12,circuit bootstrap
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,generic_family_balanced,actual_retention,0.029835292701670145,0.02953607484781965,0.03014570036738124,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,U1,actual_retention,0.13245800918425527,0.10664821417234882,0.16005963790001024,1,12,circuit bootstrap
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,generic_family_balanced,deff_pairwise,151.79462366637148,150.90528177886168,152.72352131822055,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,U1,deff_pairwise,21.602097342579444,21.122509497707455,22.078423953058483,1,12,circuit bootstrap
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,generic_family_balanced,pairwise_purity,0.006688531711621055,0.0066404259074848366,0.006733386051255204,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,U1,pairwise_purity,0.04636118234227992,0.045371490613687,0.0473917816618156,1,12,circuit bootstrap
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,generic_family_balanced,sample_covariance_purity,0.014448777557624025,0.014401805266922316,0.014493527887420556,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,U1,sample_covariance_purity,0.05381148560523084,0.05279501167498817,0.05481710972416841,1,12,circuit bootstrap
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,generic_family_balanced,trC3_u_stat,6.096320103049903e-05,5.9325572463886033e-05,6.25235179349254e-05,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,U1,trC3_u_stat,0.002713785793672967,0.002547137214059626,0.0028849650718998816,1,12,circuit bootstrap
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,generic_family_balanced,Ffull_over_FQ_mean,0.4955928331890498,0.49446114973174266,0.49666429039144244,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,U1,Ffull_over_FQ_mean,0.4939422214045211,0.4881745989103726,0.49892134619466444,1,12,circuit bootstrap
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,generic_family_balanced,haar_alignment_z,-0.9546909085384172,-1.1396386927499942,-0.7582351131674383,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,U1,haar_alignment_z,29.414569511153427,21.64795908940601,37.43922811825011,1,12,circuit bootstrap
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,generic_family_balanced,physical_minus_rank_baseline,-0.0015372563179376205,-0.0018373173545516376,-0.0012244902850740307,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,1,U1,physical_minus_rank_baseline,0.10108546016464741,0.0745079440430827,0.12834110575538338,1,12,circuit bootstrap
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,2,generic_family_balanced,enhancement,0.9850453175775752,0.9762814992655112,0.9933796154385712,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,2,U1,enhancement,2.721715583383808,2.5388020221429195,2.91110991769486,1,12,circuit bootstrap
v2_basis,measurement-basis robustness and scope,8,6.0,gaussian,RANDOM_LOCAL,0.0,128,2,generic_family_balanced,actual_retention,0.13906522130506938,0.13781924358505324,0.14025970433623633,2,20,equal weight per ansatz family; circuit bootstrap within family
