profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,metric,mean,ci95_low,ci95_high,isotropic_reference
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,N_times_pairwise_purity,1.6890130540788508,1.6330637693597245,1.7441364753837638,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,deff_over_N,0.6008792625808124,0.5816701446634042,0.6216919055209492,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,U1,N_times_pairwise_purity,4.086286677318712,3.8549830479080165,4.348431649853074,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,U1,deff_over_N,0.2469693617104724,0.23229669248263923,0.2600938826954896,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,N_times_pairwise_purity,1.6890130540788508,1.6331451207037786,1.7429976655845605,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,deff_over_N,0.6008792625808124,0.5813648915622348,0.6220636967217092,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,U1,N_times_pairwise_purity,4.086286677318712,3.8562693647614377,4.355796493066813,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,U1,deff_over_N,0.2469693617104724,0.23208781945215717,0.26034764936996496,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,N_times_pairwise_purity,1.7029606059357854,1.683409534633014,1.7246522789129162,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,deff_over_N,0.5952212590399544,0.588434417698888,0.6014612118596511,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,64,1,U1,N_times_pairwise_purity,3.960406802072543,3.8000120554817953,4.134707159543401,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,64,1,U1,deff_over_N,0.2536849583226882,0.24291263690422624,0.2640135986564238,1.0
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,64,2,generic_family_balanced,N_times_pairwise_purity,1.7029606059357854,1.6833276861380515,1.7247380155166567,1.0
