profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,mean,ci95_low,ci95_high,circuits,relative_ci95_halfwidth,jackknife_max_shift,passes_min_circuits,passes_precision_flag,inference_ready
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,1,enhancement,0.9501128109694429,0.8954208994120622,1.0030333548047639,8,0.05663140952856949,0.020787504509465315,True,True,True
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,1,actual_retention,0.029807460736296212,0.02805615689249594,0.0315035514149237,8,0.057827712211491786,0.0006521570042185149,True,True,True
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,1,deff_pairwise,168.73774883039562,161.03503737126294,177.4119782876337,8,0.04852779247645353,3.541160004467912,True,True,True
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,1,pairwise_purity,0.005954200375052675,0.00567099411982705,0.006223850152642421,8,0.04642571613241015,0.00011241893238086824,True,True,True
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,1,sample_covariance_purity,0.037018131613332304,0.03674086478821699,0.037279009353830724,8,0.007268661898375197,0.00010890584074396692,True,True,True
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,1,trC3_u_stat,4.65988653085856e-05,3.607973085975716e-05,5.859147257881419e-05,8,0.2415481747246468,4.186106267096668e-06,True,False,False
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,1,Ffull_over_FQ_mean,0.4900284596265131,0.4863337489938114,0.49265767366163954,8,0.006452609581745612,0.0016256709158251614,True,True,True
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,1,haar_alignment_z,-0.5594011945337738,-1.1714701320379473,0.021618056769038038,8,1.0663976055694253,0.23259227090952322,True,False,False
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,1,physical_minus_rank_baseline,-0.001565088283311575,-0.00330336332486679,7.640097761916699e-05,8,1.079735992698988,0.0006521570042185178,True,False,False
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,2,enhancement,0.9892629178659376,0.9725084862055534,1.0041658428486866,8,0.016000476754665593,0.006339553286954791,True,True,True
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,2,actual_retention,0.13966064722813235,0.1373897115244842,0.1418303315669291,8,0.01589789296619555,0.0008949957581583234,True,True,True
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,2,deff_pairwise,168.73774883039562,161.0949748309862,177.22455936685745,8,0.04779483146976106,3.541160004467912,True,True,True
