profile,analysis_role,job_id,circuit_id,family,n,depth_factor,tangent_count_used,k,regular_fraction,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,theorem_bound_slack_sample
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,32,1,1.0,8.881784197001252e-16,2.0297932603735988e-16,8.881784197001252e-16,6.245004513516506e-17,-0.3761761370295586,0.5087461480592613
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,32,2,1.0,8.881784197001252e-16,2.0297932603735988e-16,8.881784197001252e-16,6.245004513516506e-17,-0.3761761370295586,1.0193077804695674
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,64,1,1.0,8.881784197001252e-16,2.0297932603735988e-16,8.881784197001252e-16,6.245004513516506e-17,-0.3761761370295586,0.3692458890492224
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,64,2,1.0,8.881784197001252e-16,2.0297932603735988e-16,8.881784197001252e-16,6.245004513516506e-17,-0.3761761370295586,0.7322114850651914
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,1,1.0,8.881784197001252e-16,2.0297932603735988e-16,8.881784197001252e-16,6.245004513516506e-17,-0.3761761370295586,0.2755378204373493
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,2,1.0,8.881784197001252e-16,2.0297932603735988e-16,8.881784197001252e-16,6.245004513516506e-17,-0.3761761370295586,0.5461842998472044
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,256,1,1.0,8.881784197001252e-16,2.0297932603735988e-16,8.881784197001252e-16,6.245004513516506e-17,-0.3761761370295586,0.2129312879560955
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,256,2,1.0,8.881784197001252e-16,2.0297932603735988e-16,8.881784197001252e-16,6.245004513516506e-17,-0.3761761370295586,0.426367602544648
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i0,SU2-HaarU4-brickwork,12,6.0,32,1,1.0,2.2870594307278225e-14,3.599551447780049e-15,2.2648549702353197e-14,2.6454533008646308e-17,-0.4231026910813075,0.6237763787098346
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i0,SU2-HaarU4-brickwork,12,6.0,32,2,1.0,2.2870594307278225e-14,3.599551447780049e-15,2.2648549702353197e-14,2.6454533008646308e-17,-0.4231026910813075,1.5778923981633226
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i0,SU2-HaarU4-brickwork,12,6.0,64,1,1.0,2.2870594307278225e-14,3.599551447780049e-15,2.2648549702353197e-14,2.6454533008646308e-17,-0.4231026910813075,0.4502428706132417
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i0,SU2-HaarU4-brickwork,12,6.0,64,2,1.0,2.2870594307278225e-14,3.599551447780049e-15,2.2648549702353197e-14,2.6454533008646308e-17,-0.4231026910813075,1.1385477043544503
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i0,SU2-HaarU4-brickwork,12,6.0,128,1,1.0,2.2870594307278225e-14,3.599551447780049e-15,2.2648549702353197e-14,2.6454533008646308e-17,-0.4231026910813075,0.3301431894000333
v2_convergence,tangent-sample convergence and estimator stability,SU2-HaarU4-brickwork|n12|d72|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i0,SU2-HaarU4-brickwork,12,6.0,128,2,1.0,2.2870594307278225e-14,3.599551447780049e-15,2.2648549702353197e-14,2.6454533008646308e-17,-0.4231026910813075,0.8343743797472298
