profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,mean_physical_minus_rank_baseline,ci95_low,ci95_high,circuits,fraction_positive,median_haar_z
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,1,-0.001565088283311575,-0.003251214664816625,7.567811916455003e-05,8,0.25,-0.5354004808626833
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,32,2,-0.0015158233601029122,-0.0038875831277876706,0.0005756733026234433,8,0.25,-0.23624854688483451
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,64,1,-0.0011883878095921875,-0.002256918821704245,-0.00019204021382512464,8,0.25,-0.4315398437003838
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,64,2,-0.0027484055955296505,-0.004903621100358623,-0.0006186331598940626,8,0.25,-0.7395632221347063
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,128,1,-0.0005382042774715785,-0.0016185840694879503,0.0005415583141972764,8,0.25,-0.29438661748061845
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,128,2,-0.001826168127590648,-0.0033752422862194094,-0.0003333199100832275,8,0.25,-0.5356678938047313
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,256,1,-0.0003295007830097375,-0.0008883648475742625,0.00023341545563933743,8,0.375,-0.3924751788708259
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,256,2,-0.001756504385910625,-0.002790702008847894,-0.0006795697313351891,8,0.125,-0.7031723707882951
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,32,1,-0.00014513294381858174,-0.0002270450457205125,-4.53552821015095e-05,8,0.25,-0.9368250419607622
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,32,2,-0.000480410604101525,-0.0008056991437263649,-0.0001370511238071861,8,0.25,-1.1090945198107849
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,64,1,-6.242402837374081e-05,-0.00013869455584680632,1.3646450156302738e-05,8,0.5,-0.32686525768229735
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,64,2,-0.00034937615088876056,-0.0005969227556048512,-0.00014086581863303373,8,0.0,-0.42897508766599224
v2_convergence,tangent-sample convergence and estimator stability,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,128,1,-2.5721163944992388e-05,-9.369479944941245e-05,5.536514851976659e-05,8,0.25,-0.17996019710772826
