profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,metric,mean,ci95_low,ci95_high,families,circuits,estimator
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,enhancement,0.944260387144997,0.9092811488757794,0.9788156390588622,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,U1,enhancement,4.236184938338066,4.032875588675317,4.4482560458954,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,actual_retention,0.02962385528298025,0.028535822341627687,0.030707061055094253,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,U1,actual_retention,0.42975789229516603,0.40947236911816515,0.4510035442198823,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,deff_pairwise,153.22421195810716,148.25555540052258,158.42882849111015,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,U1,deff_pairwise,17.040885958022592,16.029394392739686,17.969350362571888,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,pairwise_purity,0.006623580604230787,0.006405234322739722,0.006837413354083318,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,U1,pairwise_purity,0.059221546048097276,0.05586892627127893,0.0630081886036118,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,sample_covariance_purity,0.037666593710348584,0.03745492269412794,0.037874057746084856,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,U1,sample_covariance_purity,0.08862087273409422,0.08532745275628982,0.09230804605679167,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,trC3_u_stat,5.992822563872079e-05,5.261347716007638e-05,6.745348429294608e-05,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,U1,trC3_u_stat,0.00416007218870737,0.0035584348125130907,0.004834155571646705,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,Ffull_over_FQ_mean,0.4912597771276661,0.4883027151513442,0.49394275702629187,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,U1,Ffull_over_FQ_mean,0.4730733743872924,0.45341418178119886,0.49051214239253443,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,haar_alignment_z,-0.619309670046838,-1.012550485258703,-0.2384692898520888,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,U1,haar_alignment_z,23.615521567874595,22.43397921615599,24.912538408650864,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,physical_minus_rank_baseline,-0.0017486937366275124,-0.0028124846259334115,-0.0006582651873409235,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,U1,physical_minus_rank_baseline,0.3283086169328473,0.3080206525804443,0.349457681091814,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,enhancement,0.9803830013904455,0.9625845266033333,0.9972952816232534,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,U1,enhancement,1.912275778288235,1.8690220296060982,1.9573982363485645,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,actual_retention,0.13840701196100405,0.135910133092049,0.14082733212562992,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,U1,actual_retention,0.7482818262867008,0.7308476578636837,0.7659465731751295,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,deff_pairwise,153.22421195810716,148.28831708747583,158.5167907100387,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,U1,deff_pairwise,17.040885958022592,16.02209694228745,17.977807832614058,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,pairwise_purity,0.006623580604230787,0.006408944947586669,0.0068377719957439876,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,U1,pairwise_purity,0.059221546048097276,0.05580394253103354,0.0631307419634582,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,sample_covariance_purity,0.037666593710348584,0.037454153387923406,0.03787222166766692,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,U1,sample_covariance_purity,0.08862087273409422,0.08539868646217352,0.09228164057217164,1,10,circuit bootstrap
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,trC3_u_stat,5.992822563872079e-05,5.2599744175756996e-05,6.765104388847271e-05,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,U1,trC3_u_stat,0.00416007218870737,0.00355186835361374,0.004832135675675398,1,10,circuit bootstrap
