profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,mean_enhancement,ci95_low,ci95_high,equivalence_margin,equivalence_low,equivalence_high,ci_entirely_inside_equivalence_band,families,circuits
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,0.944260387144997,0.9083503697669583,0.9786462698747497,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,SU2-CNOT-line,0.9501128109694429,0.8942984054322594,1.002732831459425,0.1,0.9,1.1,False,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,1,SU2-HaarU4-brickwork,0.9384079633205513,0.8959239861981881,0.9843931588615576,0.1,0.9,1.1,False,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,0.9803830013904455,0.9621952917794958,0.9970396347527872,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,SU2-CNOT-line,0.9892629178659376,0.9725084862055533,1.004043369221094,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,32,2,SU2-HaarU4-brickwork,0.9715030849149535,0.9401976516912801,1.000878304863173,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,0.9470985896395494,0.9109650682464855,0.9834618089871281,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,64,1,SU2-CNOT-line,0.9621201385692485,0.928347612226164,0.9944136081555004,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,64,1,SU2-HaarU4-brickwork,0.9320770407098504,0.8692869467788324,0.9942048839248678,0.1,0.9,1.1,False,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,64,2,generic_family_balanced,0.9775830561179198,0.9628925597442992,0.9929979791853336,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,64,2,SU2-CNOT-line,0.9805321270316647,0.9655042082798915,0.9958193101442551,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,64,2,SU2-HaarU4-brickwork,0.974633985204175,0.9496689057842671,1.0017161544260769,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,0.9474117853699071,0.9179376963267124,0.975368416042237,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,128,1,SU2-CNOT-line,0.9828447386555927,0.9479424639653469,1.0178204535694695,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,128,1,SU2-HaarU4-brickwork,0.9119788320842216,0.8669732885885282,0.956066042218627,0.1,0.9,1.1,False,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,0.9798427376724678,0.9685708305331826,0.9915999211122359,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,128,2,SU2-CNOT-line,0.9870646424295659,0.976162012993535,0.9977451462754302,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,128,2,SU2-HaarU4-brickwork,0.9726208329153696,0.9534134080281252,0.9935805536743582,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,256,1,generic_family_balanced,0.964340359706928,0.9418318357221901,0.9859788206813123,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,256,1,SU2-CNOT-line,0.9894971625415643,0.9716734935882545,1.007357487365155,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,256,1,SU2-HaarU4-brickwork,0.9391835568722917,0.8981445989924135,0.9781912552638404,0.1,0.9,1.1,False,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,256,2,generic_family_balanced,0.9826376970937706,0.974008636125484,0.991469304187355,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,256,2,SU2-CNOT-line,0.9875580939331328,0.9802140625919737,0.9950232332535897,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,8,6.0,gaussian,Z,0.0,256,2,SU2-HaarU4-brickwork,0.9777173002544084,0.9618897184332089,0.9938356686072032,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,1,generic_family_balanced,0.9495814739201757,0.9225269210078509,0.9752816291092108,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,1,SU2-CNOT-line,0.9504733829218954,0.9219564462857803,0.9831793028395384,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,1,SU2-HaarU4-brickwork,0.9486895649184559,0.9040111801020965,0.9871577129199247,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,2,generic_family_balanced,0.9682528732199263,0.9569410130998905,0.9800557830304008,0.1,0.9,1.1,True,2,16
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,2,SU2-CNOT-line,0.9747784432846679,0.9577013568763278,0.9928264554145815,0.1,0.9,1.1,True,1,8
v2_convergence,tangent-sample convergence and estimator stability,12,6.0,gaussian,Z,0.0,32,2,SU2-HaarU4-brickwork,0.9617273031551847,0.9468075022167742,0.976628472154261,0.1,0.9,1.1,True,1,8
