profile,family,n,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,k,tangent_count_used,reference_tangent_count,metric,value,reference_value,relative_difference
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,32,256,enhancement,1.0515255854101104,0.9722088243253004,0.0815840785438815
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,32,256,actual_retention,0.0329890379736505,0.0305006689984407,0.08158407854388419
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,32,256,deff_pairwise,154.14037064873855,168.41950603897013,-0.08478314493410023
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,32,256,pairwise_purity,0.0064875930672233,0.0059375545239315,0.09263721976359998
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,32,256,Ffull_over_FQ_mean,0.4918652820562147,0.4891458344269865,0.005559584561144077
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,64,256,enhancement,0.9949816000006912,0.9722088243253004,0.02342374920449299
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,64,256,actual_retention,0.0312151090196295,0.0305006689984407,0.023423749204495338
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,64,256,deff_pairwise,166.66283118932046,168.41950603897013,-0.010430352700614131
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,64,256,pairwise_purity,0.006000138080362,0.0059375545239315,0.01054029166018693
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,64,256,Ffull_over_FQ_mean,0.4879577727635385,0.4891458344269865,-0.0024288495982793044
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,128,256,enhancement,0.988684061976306,0.9722088243253004,0.01694619225703814
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,128,256,actual_retention,0.0310175391992566,0.0305006689984407,0.016946192257039524
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,128,256,deff_pairwise,167.26468927163978,168.41950603897013,-0.006856787521174272
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,128,256,pairwise_purity,0.0059785481583383,0.0059375545239315,0.006904127657535435
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,128,256,Ffull_over_FQ_mean,0.4858236897011856,0.4891458344269865,-0.006791726499506311
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,256,256,enhancement,0.9722088243253004,0.9722088243253004,0.0
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,256,256,actual_retention,0.0305006689984407,0.0305006689984407,0.0
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,256,256,deff_pairwise,168.41950603897013,168.41950603897013,0.0
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,256,256,pairwise_purity,0.0059375545239315,0.0059375545239315,0.0
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,1,256,256,Ffull_over_FQ_mean,0.4891458344269865,0.4891458344269865,0.0
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,32,256,enhancement,0.9991126555489904,0.9950601483193408,0.004072625395052115
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,32,256,actual_retention,0.1410511984304457,0.1404790797627304,0.004072625395052362
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,32,256,deff_pairwise,154.14037064873855,168.41950603897013,-0.08478314493410023
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,32,256,pairwise_purity,0.0064875930672233,0.0059375545239315,0.09263721976359998
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,32,256,Ffull_over_FQ_mean,0.4918652820562147,0.4891458344269865,0.005559584561144077
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,64,256,enhancement,0.9599093536003576,0.9950601483193408,-0.03532529644399183
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,64,256,actual_retention,0.1355166146259328,0.1404790797627304,-0.035325296443991655
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,64,256,deff_pairwise,166.66283118932046,168.41950603897013,-0.010430352700614131
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,64,256,pairwise_purity,0.006000138080362,0.0059375545239315,0.01054029166018693
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,64,256,Ffull_over_FQ_mean,0.4879577727635385,0.4891458344269865,-0.0024288495982793044
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,128,256,enhancement,0.9652717688572942,0.9950601483193408,-0.02993626014704664
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,128,256,actual_retention,0.1362736614857356,0.1404790797627304,-0.029936260147046583
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,128,256,deff_pairwise,167.26468927163978,168.41950603897013,-0.006856787521174272
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,128,256,pairwise_purity,0.0059785481583383,0.0059375545239315,0.006904127657535435
v2_convergence,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,2,128,256,Ffull_over_FQ_mean,0.4858236897011856,0.4891458344269865,-0.006791726499506311
