profile,family,n,depth_factor,tangent_count_used,reference_tangent_count,metric,circuits,median_abs,q95_abs,max_abs
v2_convergence,SU2-CNOT-line,8,6.0,32,256,Ffull_over_FQ_mean,16,0.006618811706083303,0.016871508779750768,0.016871508779750768
v2_convergence,SU2-CNOT-line,8,6.0,32,256,actual_retention,16,0.032147593421121765,0.11370828518523375,0.1566990526729527
v2_convergence,SU2-CNOT-line,8,6.0,32,256,deff_pairwise,16,0.0390064608072779,0.1444966681670986,0.1444966681670986
v2_convergence,SU2-CNOT-line,8,6.0,32,256,enhancement,16,0.03214759342112076,0.11370828518523399,0.15669905267295486
v2_convergence,SU2-CNOT-line,8,6.0,32,256,pairwise_purity,16,0.03895350204956066,0.12625346336612983,0.12625346336612983
v2_convergence,SU2-CNOT-line,8,6.0,64,256,Ffull_over_FQ_mean,16,0.0037954381958587623,0.008856454666728684,0.008856454666728684
v2_convergence,SU2-CNOT-line,8,6.0,64,256,actual_retention,16,0.021962224993145527,0.07235729397744105,0.080286489817393
v2_convergence,SU2-CNOT-line,8,6.0,64,256,deff_pairwise,16,0.013871799437054987,0.028693047239072646,0.028693047239072646
v2_convergence,SU2-CNOT-line,8,6.0,64,256,enhancement,16,0.021962224993145728,0.07235729397744162,0.08028648981739393
v2_convergence,SU2-CNOT-line,8,6.0,64,256,pairwise_purity,16,0.013913917847166495,0.027892720103515862,0.027892720103515862
v2_convergence,SU2-CNOT-line,8,6.0,128,256,Ffull_over_FQ_mean,16,0.0025328780264950506,0.007612884079197872,0.007612884079197872
v2_convergence,SU2-CNOT-line,8,6.0,128,256,actual_retention,16,0.0164559148329975,0.039592000940387395,0.05397110961274455
v2_convergence,SU2-CNOT-line,8,6.0,128,256,deff_pairwise,16,0.011071527608012457,0.0280073419914385,0.0280073419914385
v2_convergence,SU2-CNOT-line,8,6.0,128,256,enhancement,16,0.016455914832996743,0.03959200094038908,0.053971109612746676
v2_convergence,SU2-CNOT-line,8,6.0,128,256,pairwise_purity,16,0.011195586798297501,0.028814355500200044,0.028814355500200044
v2_convergence,SU2-CNOT-line,8,6.0,256,256,Ffull_over_FQ_mean,16,0.0,0.0,0.0
v2_convergence,SU2-CNOT-line,8,6.0,256,256,actual_retention,16,0.0,0.0,0.0
v2_convergence,SU2-CNOT-line,8,6.0,256,256,deff_pairwise,16,0.0,0.0,0.0
v2_convergence,SU2-CNOT-line,8,6.0,256,256,enhancement,16,0.0,0.0,0.0
v2_convergence,SU2-CNOT-line,8,6.0,256,256,pairwise_purity,16,0.0,0.0,0.0
v2_convergence,SU2-CNOT-line,12,6.0,32,256,Ffull_over_FQ_mean,16,0.0023331220968773377,0.005845779807827939,0.005845779807827939
v2_convergence,SU2-CNOT-line,12,6.0,32,256,actual_retention,16,0.034646766820738154,0.08152003405493986,0.09543354493896047
v2_convergence,SU2-CNOT-line,12,6.0,32,256,deff_pairwise,16,0.044051625464107486,0.11194211212024821,0.11194211212024821
