profile,analysis_role,job_id,circuit_id,family,n,depth,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangents,tangent_count_used,parameter_count,regular_tangents,regular_fraction,support_size,score_dimension,FQ_mean,Ffull_mean,Ffull_over_FQ_mean,pairwise_purity,sample_covariance_purity,deff_pairwise,trC3_u_stat,renyi3_dimension_diag,k,readout_rank,actual_retention,rank_baseline,enhancement,physical_minus_rank_baseline,haar_null_mean,haar_null_std,haar_alignment_z,theorem_rhs_sample,theorem_bound_slack_sample,theorem_rhs_u_stat,theorem_bound_slack_u_stat,crossfit_kyfan,sample_lambda_max,sample_spectrum_rank,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,min_circuits_for_inference,max_relative_ci_halfwidth
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n8|d48|i0|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,48,6.0,0,coordinate,Z,0.0,128,128,1152,125,0.9765625,256,255,0.983634337354402,0.4881578613465274,0.4968677095721235,0.0051873219163227,0.0131458233409921,192.77770227703468,3.278862279906817e-05,174.63786452777595,1,8,0.0336382580188218,0.0313725490196078,1.0722194743499458,0.0022657089992139,0.0313725490196078,0.0014798598965329,1.5310293930676393,0.2673554387757428,0.2650897297765289,0.0990370993828025,0.0967713903835885,,,0,3.552713678800501e-15,1.3852462131107537e-15,3.552713678800501e-15,4.81385764583564e-17,-0.1227288290537753,10,0.25
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n8|d48|i0|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,48,6.0,0,coordinate,Z,0.0,128,128,1152,125,0.9765625,256,255,0.983634337354402,0.4881578613465274,0.4968677095721235,0.0051873219163227,0.0131458233409921,192.77770227703468,3.278862279906817e-05,174.63786452777595,2,36,0.1411755140449063,0.1411764705882353,0.9999932244847534,-9.56543328933801e-07,0.1411764705882353,0.0029559728365148,-0.0003235967926084,0.5340339423800281,0.5340329858366992,0.1978234400895956,0.1978224835462666,,,0,3.552713678800501e-15,1.3852462131107537e-15,3.552713678800501e-15,4.81385764583564e-17,-0.1227288290537753,10,0.25
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork|n12|d72|i2|dir=coordinate|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,72,6.0,2,coordinate,Z,0.0,128,128,2592,128,1.0,4096,4095,0.9915405304849256,0.4939219908740412,0.4981272948337351,0.0013793796096306,0.0091811032064304,724.9635945160554,2.83325970281093e-06,594.0962452979628,1,12,0.0027833213460201,0.0029304029304029,0.9498084093293874,-0.0001470815843827,0.0029304029304029,0.0001129158681153,-1.3025767488457507,0.3269993437718357,0.326852262187453,0.1165428418646858,0.116395760280303,,,0,1.5099033134902132e-14,4.344507586002036e-15,1.5099033134902132e-14,2.0816681711721685e-17,-0.3348436948009742,10,0.25
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork|n12|d72|i2|dir=coordinate|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,72,6.0,2,coordinate,Z,0.0,128,128,2592,128,1.0,4096,4095,0.9915405304849256,0.4939219908740412,0.4981272948337351,0.0013793796096306,0.0091811032064304,724.9635945160554,2.83325970281093e-06,594.0962452979628,2,78,0.017736787762395,0.019047619047619,0.9311813575257408,-0.0013108312852239,0.019047619047619,0.0002855438968106,-4.590647181975092,0.8269224550421438,0.8256116237569198,0.2947158602849611,0.2934050289997372,,,0,1.5099033134902132e-14,4.344507586002036e-15,1.5099033134902132e-14,2.0816681711721685e-17,-0.3348436948009742,10,0.25
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n8|d48|i1|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,48,6.0,1,coordinate,Z,0.0,128,128,1152,126,0.984375,256,255,0.9831467262382771,0.4824551431024284,0.4906554164990087,0.0052826156826587,0.0131771980978757,189.3001611460589,3.835299818242502e-05,161.4731583805615,1,8,0.0326840561166774,0.0313725490196078,1.0418042887190924,0.0013115070970695,0.0313725490196078,0.0014823745078345,0.8847339792596699,0.2678097351651958,0.2664982280681262,0.102697518558153,0.1013860114610834,,,0,8.881784197001252e-16,4.3932305493785497e-16,8.881784197001252e-16,5.377642775528102e-17,-0.0284774307320205,10,0.25
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n8|d48|i1|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,48,6.0,1,coordinate,Z,0.0,128,128,1152,126,0.984375,256,255,0.9831467262382771,0.4824551431024284,0.4906554164990087,0.0052826156826587,0.0131771980978757,189.3001611460589,3.835299818242502e-05,161.4731583805615,2,36,0.140885650405519,0.1411764705882353,0.9979400237057596,-0.0002908201827162,0.1411764705882353,0.0029609956922049,-0.0982170232404892,0.5349413848954282,0.5346505647127119,0.2051350103794206,0.2048441901967043,,,0,8.881784197001252e-16,4.3932305493785497e-16,8.881784197001252e-16,5.377642775528102e-17,-0.0284774307320205,10,0.25
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork|n12|d72|i3|dir=coordinate|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i3,SU2-HaarU4-brickwork,12,72,6.0,3,coordinate,Z,0.0,128,128,2592,128,1.0,4096,4095,0.985740885301901,0.4910401899962793,0.4982141714892806,0.001368928550326,0.0091707337960265,730.498315461276,3.3506710433206067e-06,546.3036520125813,1,12,0.002828276610827,0.0029304029304029,0.965149393444722,-0.0001021263195759,0.0029304029304029,0.0001128503414548,-0.9049712943650398,0.3268095814705757,0.3267074551509998,0.1160051239731207,0.1159029976535448,,,0,1.1324274851176595e-14,4.437856417178903e-15,1.1324274851176595e-14,2.3418766925686896e-17,-0.1982505379654751,10,0.25
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork|n12|d72|i3|dir=coordinate|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i3,SU2-HaarU4-brickwork,12,72,6.0,3,coordinate,Z,0.0,128,128,2592,128,1.0,4096,4095,0.985740885301901,0.4910401899962793,0.4982141714892806,0.001368928550326,0.0091707337960265,730.498315461276,3.3506710433206067e-06,546.3036520125813,2,78,0.0186872315546926,0.019047619047619,0.9810796566213638,-0.0003603874929264,0.019047619047619,0.0002853781916861,-1.26284174273115,0.8264425803542548,0.8260821928613283,0.2933560685683045,0.2929956810753781,,,0,1.1324274851176595e-14,4.437856417178903e-15,1.1324274851176595e-14,2.3418766925686896e-17,-0.1982505379654751,10,0.25
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n12|d72|i0|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i0,SU2-CNOT-line,12,72,6.0,0,coordinate,Z,0.0,128,128,2592,128,1.0,4096,4095,0.9968249290760588,0.4915599297709711,0.4931456111376381,0.0005498148080959,0.0083580193799076,1818.7942290297376,3.533295432574148e-07,1682.3254851418033,1,12,0.0027541214188379,0.0029304029304029,0.93984393417845,-0.0001762815115649,0.0029304029304029,0.0001075905476067,-1.6384479444168751,0.311577451873567,0.3114011703620021,0.0604700577226867,0.0602937762111217,,,0,4.440892098500626e-15,9.480431434408262e-16,4.884981308350689e-15,2.7321894746634715e-17,-0.4370884455982242,10,0.25
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n12|d72|i0|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i0,SU2-CNOT-line,12,72,6.0,0,coordinate,Z,0.0,128,128,2592,128,1.0,4096,4095,0.9968249290760588,0.4915599297709711,0.4931456111376381,0.0005498148080959,0.0083580193799076,1818.7942290297376,3.533295432574148e-07,1682.3254851418033,2,78,0.0188717975282991,0.019047619047619,0.9907693702357052,-0.0001758215193199,0.019047619047619,0.000272077120217,-0.6462194218302245,0.7879232675734096,0.7877474460540896,0.1529178866593525,0.1527420651400326,,,0,4.440892098500626e-15,9.480431434408262e-16,4.884981308350689e-15,2.7321894746634715e-17,-0.4370884455982242,10,0.25
