profile,analysis_role,job_id,circuit_id,family,n,depth_factor,tangent_count_used,k,regular_fraction,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,theorem_bound_slack_sample
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n8|d48|i0|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,1,0.9765625,3.552713678800501e-15,1.3852462131107537e-15,3.552713678800501e-15,4.81385764583564e-17,-0.1227288290537753,0.2650897297765289
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n8|d48|i0|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,2,0.9765625,3.552713678800501e-15,1.3852462131107537e-15,3.552713678800501e-15,4.81385764583564e-17,-0.1227288290537753,0.5340329858366992
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork|n12|d72|i2|dir=coordinate|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,128,1,1.0,1.5099033134902132e-14,4.344507586002036e-15,1.5099033134902132e-14,2.0816681711721685e-17,-0.3348436948009742,0.326852262187453
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork|n12|d72|i2|dir=coordinate|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,128,2,1.0,1.5099033134902132e-14,4.344507586002036e-15,1.5099033134902132e-14,2.0816681711721685e-17,-0.3348436948009742,0.8256116237569198
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n8|d48|i1|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,6.0,128,1,0.984375,8.881784197001252e-16,4.3932305493785497e-16,8.881784197001252e-16,5.377642775528102e-17,-0.0284774307320205,0.2664982280681262
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n8|d48|i1|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,6.0,128,2,0.984375,8.881784197001252e-16,4.3932305493785497e-16,8.881784197001252e-16,5.377642775528102e-17,-0.0284774307320205,0.5346505647127119
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork|n12|d72|i3|dir=coordinate|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i3,SU2-HaarU4-brickwork,12,6.0,128,1,1.0,1.1324274851176595e-14,4.437856417178903e-15,1.1324274851176595e-14,2.3418766925686896e-17,-0.1982505379654751,0.3267074551509998
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork|n12|d72|i3|dir=coordinate|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i3,SU2-HaarU4-brickwork,12,6.0,128,2,1.0,1.1324274851176595e-14,4.437856417178903e-15,1.1324274851176595e-14,2.3418766925686896e-17,-0.1982505379654751,0.8260821928613283
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n12|d72|i0|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i0,SU2-CNOT-line,12,6.0,128,1,1.0,4.440892098500626e-15,9.480431434408262e-16,4.884981308350689e-15,2.7321894746634715e-17,-0.4370884455982242,0.3114011703620021
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n12|d72|i0|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i0,SU2-CNOT-line,12,6.0,128,2,1.0,4.440892098500626e-15,9.480431434408262e-16,4.884981308350689e-15,2.7321894746634715e-17,-0.4370884455982242,0.7877474460540896
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,U1-RZ-XY-line|n8|d48|i2|dir=coordinate|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i2,U1-RZ-XY-line,8,6.0,128,1,0.96875,8.881784197001252e-16,5.031644331598289e-16,1.1102230246251563e-15,6.938893903907227e-17,-2.666655526170551e-30,0.2607753397463784
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,U1-RZ-XY-line|n8|d48|i2|dir=coordinate|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i2,U1-RZ-XY-line,8,6.0,128,2,0.96875,8.881784197001252e-16,5.031644331598289e-16,1.1102230246251563e-15,6.938893903907227e-17,-2.666655526170551e-30,0.6022151318196476
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n12|d72|i1|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i1,SU2-CNOT-line,12,6.0,128,1,0.9921875,2.220446049250313e-15,1.1729790045490956e-15,2.220446049250313e-15,3.0357660829594124e-17,-0.0014367814678759,0.3144861371165718
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n12|d72|i1|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i1,SU2-CNOT-line,12,6.0,128,2,0.9921875,2.220446049250313e-15,1.1729790045490956e-15,2.220446049250313e-15,3.0357660829594124e-17,-0.0014367814678759,0.7949143862957633
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,U1-RZ-XY-line|n8|d48|i3|dir=coordinate|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i3,U1-RZ-XY-line,8,6.0,128,1,0.9921875,2.220446049250313e-16,1.2280828408415347e-16,0.0,7.112366251504909e-17,-2.728781569028592e-32,0.1971808524427165
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,U1-RZ-XY-line|n8|d48|i3|dir=coordinate|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i3,U1-RZ-XY-line,8,6.0,128,2,0.9921875,2.220446049250313e-16,1.2280828408415347e-16,0.0,7.112366251504909e-17,-2.728781569028592e-32,0.5279037403376698
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n12|d72|i2|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i2,SU2-CNOT-line,12,6.0,128,1,1.0,2.220446049250313e-15,2.012794395885733e-16,2.220446049250313e-15,3.2959746043559335e-17,-0.471219922280918,0.3156178211449418
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line|n12|d72|i2|dir=coordinate|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i2,SU2-CNOT-line,12,6.0,128,2,1.0,2.220446049250313e-15,2.012794395885733e-16,2.220446049250313e-15,3.2959746043559335e-17,-0.471219922280918,0.7984214345639735
