profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,mean_physical_minus_rank_baseline,ci95_low,ci95_high,circuits,fraction_positive,median_haar_z
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line,8,6.0,coordinate,Z,0.0,128,1,-0.0003813230866237,-0.0015652893104543878,0.000639618148054762,10,0.4,-0.12438345482021
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line,8,6.0,coordinate,Z,0.0,128,2,-0.003311349795173284,-0.005828527141922894,-0.001070341388934304,10,0.1,-0.9511289133468436
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line,12,6.0,coordinate,Z,0.0,128,1,-0.0001107322934998603,-0.00017916626983661982,-4.4739589276920384e-05,10,0.2,-0.842000157364841
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-CNOT-line,12,6.0,coordinate,Z,0.0,128,2,-0.0002302787310339881,-0.0003306143625548673,-0.0001268673847531803,10,0.1,-0.8902908003430184
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork,8,6.0,coordinate,Z,0.0,128,1,-0.0011705762249998599,-0.0022867811890106386,-2.7602208422669647e-06,10,0.3,-0.8955886699047774
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork,8,6.0,coordinate,Z,0.0,128,2,-0.00267818054714069,-0.004116520281713543,-0.0012075170034142445,10,0.2,-0.9718806969264233
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork,12,6.0,coordinate,Z,0.0,128,1,-0.00019059244713240576,-0.00025815471603255825,-0.00010997460700813684,10,0.1,-1.9669237939330677
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,SU2-HaarU4-brickwork,12,6.0,coordinate,Z,0.0,128,2,-0.0008958015660805001,-0.0010610279267731228,-0.0007151207677566281,10,0.0,-3.272930632392284
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,U1-RZ-XY-line,8,6.0,coordinate,Z,0.0,128,1,0.3235121354738843,0.31080700778958287,0.3358403554368761,12,1.0,28.382353472776714
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,U1-RZ-XY-line,8,6.0,coordinate,Z,0.0,128,2,0.3430463800352097,0.3276936808880648,0.35856161356767424,12,1.0,19.19070195276648
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,U1-RZ-XY-line,12,6.0,coordinate,Z,0.0,128,1,0.2777703833595519,0.2677337315279317,0.28796865469330907,12,1.0,310.10511825346714
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,U1-RZ-XY-line,12,6.0,coordinate,Z,0.0,128,2,0.46796386719874333,0.46142028311043576,0.47413088494252387,12,1.0,227.1028189993668
