profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,metric,mean,ci95_low,ci95_high,families,circuits,estimator
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,generic_family_balanced,enhancement,0.9752666047209991,0.949677857567926,1.000764788770596,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,U1,enhancement,4.188905335385431,4.064328818066809,4.3068004256307475,1,12,circuit bootstrap
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,generic_family_balanced,actual_retention,0.03059659936379601,0.02977288927253675,0.03137452780853083,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,U1,actual_retention,0.42496141083620315,0.41241932180711927,0.43711610218603786,1,12,circuit bootstrap
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,generic_family_balanced,deff_pairwise,175.9193244436217,172.51673920173454,179.66650017074718,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,U1,deff_pairwise,17.979243265372016,17.498748163747837,18.406536308684963,1,12,circuit bootstrap
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,generic_family_balanced,pairwise_purity,0.005794756365566475,0.0056827405051206375,0.00591242280375726,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,U1,pairwise_purity,0.05573744256094579,0.05433415677941413,0.057274087537635555,1,12,circuit bootstrap
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,generic_family_balanced,sample_covariance_purity,0.013605210978931725,0.013479310956861867,0.0137263603834802,2,20,equal weight per ansatz family; circuit bootstrap within family
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,U1,sample_covariance_purity,0.06325700572602849,0.061900545562463445,0.06474924520628142,1,12,circuit bootstrap
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,generic_family_balanced,trC3_u_stat,4.508112643310358e-05,4.280801815727892e-05,4.751613027001755e-05,2,20,equal weight per ansatz family; circuit bootstrap within family
