profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,mean_enhancement,ci95_low,ci95_high,equivalence_margin,equivalence_low,equivalence_high,ci_entirely_inside_equivalence_band,families,circuits
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,generic_family_balanced,0.9752666047209991,0.9496714652216183,1.0005085620694465,0.1,0.9,1.1,True,2,20
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,SU2-CNOT-line,0.9878453266138694,0.9509181619922736,1.0202883300608354,0.1,0.9,1.1,True,1,10
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,SU2-HaarU4-brickwork,0.9626878828281289,0.9272467748155829,0.9991543788997607,0.1,0.9,1.1,True,1,10
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,2,generic_family_balanced,0.9787870800376377,0.968868880104474,0.9882673055312482,0.1,0.9,1.1,True,2,20
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,2,SU2-CNOT-line,0.9765446056175223,0.9591310656879993,0.9926121289410557,0.1,0.9,1.1,True,1,10
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,2,SU2-HaarU4-brickwork,0.9810295544577532,0.9708157783964064,0.9912326850030482,0.1,0.9,1.1,True,1,10
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,1,generic_family_balanced,0.9485864661296066,0.9322866550839672,0.9663351253037874,0.1,0.9,1.1,True,2,20
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,1,SU2-CNOT-line,0.9622126048431638,0.9387529212349007,0.98452893322342,0.1,0.9,1.1,True,1,10
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,1,SU2-HaarU4-brickwork,0.9349603274160494,0.9118986843225041,0.9607071701905456,0.1,0.9,1.1,True,1,10
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,2,generic_family_balanced,0.9704403922007427,0.9652833422414756,0.9757597522119469,0.1,0.9,1.1,True,2,20
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,2,SU2-CNOT-line,0.9879103666207145,0.9826690364505574,0.993377167711795,0.1,0.9,1.1,True,1,10
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,2,SU2-HaarU4-brickwork,0.9529704177807711,0.9438706827941027,0.9623570858928844,0.1,0.9,1.1,True,1,10
