profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,contrast,difference,ci95_low,ci95_high,ci_excludes_zero,direction_if_excludes_zero
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,enhancement,U1 minus equal-weight generic-family mean,3.2136387306644316,3.0867136241442314,3.3347157287794778,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,actual_retention,U1 minus equal-weight generic-family mean,0.39436481147240715,0.3817748804545699,0.4065602283713741,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,deff_pairwise,U1 minus equal-weight generic-family mean,-157.94008117824967,-161.6225748814453,-154.37566421505932,True,negative
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.04994268619537931,0.048559336143945746,0.051492405091376814,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.015852389654042898,-0.02119812734443003,-0.010499622963005913,True,negative
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.3242880851296961,0.3113917750274285,0.3364177562845748,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,2,enhancement,U1 minus equal-weight generic-family mean,0.8978870022745649,0.8576621876781878,0.9398841115610335,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,2,actual_retention,U1 minus equal-weight generic-family mean,0.5961690224442184,0.5809875768736132,0.6119417126775422,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,2,deff_pairwise,U1 minus equal-weight generic-family mean,-157.94008117824967,-161.62118949429538,-154.4277467744709,True,negative
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.04994268619537931,0.04854478741395501,0.051482659598821215,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.015852389654042898,-0.0211673695500966,-0.010443230681884404,True,negative
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,8,6.0,coordinate,Z,0.0,128,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.3460411452063667,0.33054883015055114,0.3617749319674219,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,1,enhancement,U1 minus equal-weight generic-family mean,23.35887388304007,22.543814815597695,24.19436877716354,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,1,actual_retention,U1 minus equal-weight generic-family mean,0.2869083026044489,0.2770495362938516,0.29706436755485444,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,1,deff_pairwise,U1 minus equal-weight generic-family mean,-1131.5017510857854,-1227.3682544416042,-1037.7744633899983,True,negative
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.022754049041358616,0.022172425287931175,0.023276825488394607,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.024815582035448425,-0.030075607813109424,-0.01935906955558984,True,negative
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.27792104572986803,0.2679456234158336,0.2884641939405004,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,2,enhancement,U1 minus equal-weight generic-family mean,6.674646522021412,6.581394502742953,6.765128921437334,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,2,actual_retention,U1 minus equal-weight generic-family mean,0.5199018235109493,0.5131566964893717,0.5260655998966977,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,2,deff_pairwise,U1 minus equal-weight generic-family mean,-1131.5017510857854,-1231.970339368544,-1041.3401099827383,True,negative
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.022754049041358616,0.02215450694295201,0.02326875647737091,True,positive
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.024815582035448425,-0.030147626374837838,-0.019107401877512108,True,negative
v2_coordinate,coordinate-direction visibility and conditional visible-score robustness,12,6.0,coordinate,Z,0.0,128,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.46852690734730057,0.4618864400191636,0.4748348846275719,True,positive
