profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,omitted_family,remaining_families,full_family_balanced_mean,leave_one_family_out_mean,absolute_shift
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,enhancement,RY-RZ-CZ-line,2,6.9820282843012444,4.862792992901187,-2.1192352914000576
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,enhancement,SU2-CNOT-line,2,6.9820282843012444,8.828271916047077,1.8462436317458328
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,enhancement,SU2-HaarU4-brickwork,2,6.9820282843012444,7.25501994395547,0.27299165965422567
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,actual_retention,RY-RZ-CZ-line,2,0.2190440246055292,0.15255821154199797,-0.06648581306353121
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,actual_retention,SU2-CNOT-line,2,0.2190440246055292,0.2769653934446141,0.05792136883908494
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,actual_retention,SU2-HaarU4-brickwork,2,0.2190440246055292,0.22760846882997549,0.0085644442244463
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,deff_pairwise,RY-RZ-CZ-line,2,23.06194254304567,25.135920319523173,2.073977776477502
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,deff_pairwise,SU2-CNOT-line,2,23.06194254304567,19.81016343781068,-3.2517791052349914
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,deff_pairwise,SU2-HaarU4-brickwork,2,23.06194254304567,24.239743871803157,1.1778013287574858
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,pairwise_purity,RY-RZ-CZ-line,2,0.04556794780951875,0.04128578066477645,-0.004282167144742298
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,pairwise_purity,SU2-CNOT-line,2,0.04556794780951875,0.05136735385110682,0.005799406041588073
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,pairwise_purity,SU2-HaarU4-brickwork,2,0.04556794780951875,0.04405070891267297,-0.0015172388968457753
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,sample_covariance_purity,RY-RZ-CZ-line,2,0.05550994835316959,0.05127238711618502,-0.004237561236984565
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,sample_covariance_purity,SU2-CNOT-line,2,0.05550994835316959,0.06124894391515778,0.005738995561988196
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,sample_covariance_purity,SU2-HaarU4-brickwork,2,0.05550994835316959,0.05400851402816596,-0.0015014343250036241
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,trC3_u_stat,RY-RZ-CZ-line,2,0.002820867415948553,0.0023349351905266372,-0.0004859322254219156
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,trC3_u_stat,SU2-CNOT-line,2,0.002820867415948553,0.003450893044635141,0.0006300256286865882
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,trC3_u_stat,SU2-HaarU4-brickwork,2,0.002820867415948553,0.0026767740126838794,-0.00014409340326467348
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,Ffull_over_FQ_mean,RY-RZ-CZ-line,2,0.4317338813626342,0.4374520612745204,0.005718179911886223
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,Ffull_over_FQ_mean,SU2-CNOT-line,2,0.4317338813626342,0.4351232245773732,0.0033893432147389935
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,Ffull_over_FQ_mean,SU2-HaarU4-brickwork,2,0.4317338813626342,0.42262635823600897,-0.009107523126625217
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,haar_alignment_z,RY-RZ-CZ-line,2,51.477376921712896,35.17626628286744,-16.301110638845458
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,haar_alignment_z,SU2-CNOT-line,2,51.477376921712896,65.63502803139858,14.15765110968568
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,haar_alignment_z,SU2-HaarU4-brickwork,2,51.477376921712896,53.62083645087266,2.143459529159763
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,physical_minus_rank_baseline,RY-RZ-CZ-line,2,0.18767147558592132,0.1211856625223901,-0.06648581306353121
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,physical_minus_rank_baseline,SU2-CNOT-line,2,0.18767147558592132,0.24559284442500626,0.05792136883908494
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,physical_minus_rank_baseline,SU2-HaarU4-brickwork,2,0.18767147558592132,0.19623591981036762,0.0085644442244463
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,enhancement,RY-RZ-CZ-line,2,3.3812973237559354,2.7793667508395448,-0.6019305729163906
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,enhancement,SU2-CNOT-line,2,3.3812973237559354,3.8466365764396766,0.4653392526837412
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,enhancement,SU2-HaarU4-brickwork,2,3.3812973237559354,3.5178886439885844,0.13659132023264897
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,actual_retention,RY-RZ-CZ-line,2,0.4773596221773085,0.3923811883538181,-0.0849784338234904
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,actual_retention,SU2-CNOT-line,2,0.4773596221773085,0.5430545754973661,0.06569495332005765
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,actual_retention,SU2-HaarU4-brickwork,2,0.4773596221773085,0.4966431026807413,0.019283480503432815
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,deff_pairwise,RY-RZ-CZ-line,2,23.06194254304567,25.135920319523173,2.073977776477502
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,deff_pairwise,SU2-CNOT-line,2,23.06194254304567,19.81016343781068,-3.2517791052349914
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,deff_pairwise,SU2-HaarU4-brickwork,2,23.06194254304567,24.239743871803157,1.1778013287574858
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,pairwise_purity,RY-RZ-CZ-line,2,0.04556794780951875,0.04128578066477645,-0.004282167144742298
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,pairwise_purity,SU2-CNOT-line,2,0.04556794780951875,0.05136735385110682,0.005799406041588073
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,pairwise_purity,SU2-HaarU4-brickwork,2,0.04556794780951875,0.04405070891267297,-0.0015172388968457753
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,sample_covariance_purity,RY-RZ-CZ-line,2,0.05550994835316959,0.05127238711618502,-0.004237561236984565
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,sample_covariance_purity,SU2-CNOT-line,2,0.05550994835316959,0.06124894391515778,0.005738995561988196
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,sample_covariance_purity,SU2-HaarU4-brickwork,2,0.05550994835316959,0.05400851402816596,-0.0015014343250036241
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,trC3_u_stat,RY-RZ-CZ-line,2,0.002820867415948553,0.0023349351905266372,-0.0004859322254219156
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,trC3_u_stat,SU2-CNOT-line,2,0.002820867415948553,0.003450893044635141,0.0006300256286865882
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,trC3_u_stat,SU2-HaarU4-brickwork,2,0.002820867415948553,0.0026767740126838794,-0.00014409340326467348
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,Ffull_over_FQ_mean,RY-RZ-CZ-line,2,0.4317338813626342,0.4374520612745204,0.005718179911886223
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,Ffull_over_FQ_mean,SU2-CNOT-line,2,0.4317338813626342,0.4351232245773732,0.0033893432147389935
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,Ffull_over_FQ_mean,SU2-HaarU4-brickwork,2,0.4317338813626342,0.42262635823600897,-0.009107523126625217
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,haar_alignment_z,RY-RZ-CZ-line,2,46.96731202938787,37.166407334170046,-9.800904695217824
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,haar_alignment_z,SU2-CNOT-line,2,46.96731202938787,53.90674803293691,6.939436003549041
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,haar_alignment_z,SU2-HaarU4-brickwork,2,46.96731202938787,49.82878072105666,2.86146869166879
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,physical_minus_rank_baseline,RY-RZ-CZ-line,2,0.33618315158907325,0.2512047177655828,-0.08497843382349046
