profile,analysis_role,job_id,circuit_id,family,n,depth_factor,tangent_count_used,k,regular_fraction,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,theorem_bound_slack_sample
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d4|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d4|i0,RY-RZ-CZ-line,8,0.5,96,1,1.0,9.992007221626409e-16,4.997930709674001e-16,1.1102230246251563e-15,1.3877787807814454e-16,-0.2215062890596165,0.3892970075899349
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d4|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d4|i0,RY-RZ-CZ-line,8,0.5,96,2,1.0,9.992007221626409e-16,4.997930709674001e-16,1.1102230246251563e-15,1.3877787807814454e-16,-0.2215062890596165,0.8633997786959879
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d16|i8|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d16|i8,RY-RZ-CZ-line,8,2.0,96,1,1.0,1.7763568394002505e-15,8.812668438527305e-16,1.7763568394002505e-15,5.2041704279304207e-17,-0.3184486141750037,0.4089188405797607
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d16|i8|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d16|i8,RY-RZ-CZ-line,8,2.0,96,2,1.0,1.7763568394002505e-15,8.812668438527305e-16,1.7763568394002505e-15,5.2041704279304207e-17,-0.3184486141750037,0.8298039634359315
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d64|i4|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d64|i4,RY-RZ-CZ-line,8,8.0,96,1,1.0,1.1102230246251563e-16,5.0814741077666325e-17,2.220446049250313e-16,4.163336342344337e-17,-0.3363053400251917,0.3285680478881301
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d64|i4|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d64|i4,RY-RZ-CZ-line,8,8.0,96,2,1.0,1.1102230246251563e-16,5.0814741077666325e-17,2.220446049250313e-16,4.163336342344337e-17,-0.3363053400251917,0.6539068447776619
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n12|d24|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n12|d24|i0,RY-RZ-CZ-line,12,2.0,96,1,1.0,6.661338147750939e-16,3.0018736905232353e-16,5.551115123125784e-16,6.245004513516506e-17,-0.3378932208644118,0.4320472381370409
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n12|d24|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n12|d24|i0,RY-RZ-CZ-line,12,2.0,96,2,1.0,6.661338147750939e-16,3.0018736905232353e-16,5.551115123125784e-16,6.245004513516506e-17,-0.3378932208644118,1.1073635226722502
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n12|d72|i8|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n12|d72|i8,RY-RZ-CZ-line,12,6.0,96,1,1.0,7.549516567451064e-15,1.263315051176664e-15,7.771561172376096e-15,3.0357660829594124e-17,-0.4245796201666525,0.3850652573154838
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n12|d72|i8|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n12|d72|i8,RY-RZ-CZ-line,12,6.0,96,2,1.0,7.549516567451064e-15,1.263315051176664e-15,7.771561172376096e-15,3.0357660829594124e-17,-0.4245796201666525,0.973384867199898
