profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,mean_physical_minus_rank_baseline,ci95_low,ci95_high,circuits,fraction_positive,median_haar_z
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,0.5,gaussian,Z,0.0,96,1,0.32064310171298377,0.2682840830209064,0.36966963864916474,12,1.0,83.28713964398636
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,0.5,gaussian,Z,0.0,96,2,0.5061400192360541,0.4302349322796856,0.5589046705824015,12,1.0,69.16935377346586
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,1.0,gaussian,Z,0.0,96,1,0.1470188029686181,0.1238033690208937,0.17998347872356035,12,1.0,45.73429801339774
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,1.0,gaussian,Z,0.0,96,2,0.2649849226461886,0.23319753787812708,0.3073834723931394,12,1.0,42.02275740022213
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,2.0,gaussian,Z,0.0,96,1,0.054761013131579515,0.03895754437838142,0.07262527716908224,12,1.0,17.069051830219365
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,2.0,gaussian,Z,0.0,96,2,0.10316670157364895,0.07739420314661007,0.13561450873087247,12,1.0,15.788750002170064
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,4.0,gaussian,Z,0.0,96,1,-0.00020163590705210005,-0.0010519766370985912,0.000708091435531093,12,0.4166666666666667,-0.29233258619651137
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,4.0,gaussian,Z,0.0,96,2,-0.0010693119815774585,-0.0038955592818042026,0.001700679007176756,12,0.5,-0.008003971573272012
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,6.0,gaussian,Z,0.0,96,1,-0.0032542853650468664,-0.004324437924580345,-0.002091799024188626,12,0.08333333333333333,-2.0717570196202297
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,6.0,gaussian,Z,0.0,96,2,-0.007475185950673434,-0.009379787267172186,-0.005540717680704869,12,0.0,-1.9162040844312016
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,8.0,gaussian,Z,0.0,96,1,-0.003046242762204525,-0.003802442599287789,-0.0023016060411963695,12,0.0,-1.533559385919536
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,8.0,gaussian,Z,0.0,96,2,-0.006340426504698341,-0.007623921439794449,-0.00508759152054187,12,0.0,-1.6212242203070457
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,12,0.5,gaussian,Z,0.0,96,1,0.22792980316251021,0.20236630525407812,0.26093406020653975,12,1.0,980.4690490250966
