profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,mean_enhancement,ci95_low,ci95_high,equivalence_margin,equivalence_low,equivalence_high,ci_entirely_inside_equivalence_band,families,circuits
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,generic_family_balanced,6.9820282843012444,6.365850252500324,7.57304521037083,0.1,0.9,1.1,False,3,36
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,RY-RZ-CZ-line,11.22049886710136,9.561360883116953,12.779553514254811,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,SU2-CNOT-line,3.28954102080958,2.8692376418543812,3.735164842429803,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,SU2-HaarU4-brickwork,6.436044964992793,5.709260174646548,7.202963532601817,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,generic_family_balanced,3.3812973237559354,3.176160866664552,3.554923275773711,0.1,0.9,1.1,False,3,36
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,RY-RZ-CZ-line,4.585158469588716,4.055251670968503,4.9618699228939604,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,SU2-CNOT-line,2.450618818388452,2.2285154000685,2.69082956863788,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,SU2-HaarU4-brickwork,3.1081146832906374,2.8733489568748043,3.3355984773553904,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,1.0,gaussian,Z,0.0,96,1,generic_family_balanced,3.0756827918996787,2.8177175180434797,3.4341441490849784,0.1,0.9,1.1,False,3,36
v2_depth,prespecified depth-onset and saturation study,8,1.0,gaussian,Z,0.0,96,1,RY-RZ-CZ-line,5.686224344624702,4.9512609536883945,6.7305754377099944,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,1.0,gaussian,Z,0.0,96,1,SU2-CNOT-line,1.2985148812906686,1.1946398436420171,1.4065083279745838,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,1.0,gaussian,Z,0.0,96,1,SU2-HaarU4-brickwork,2.2423091497836647,2.0413028645172395,2.4463238981256623,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,1.0,gaussian,Z,0.0,96,2,generic_family_balanced,1.8249793968916472,1.7404058328926457,1.9314042046902116,0.1,0.9,1.1,False,3,36
v2_depth,prespecified depth-onset and saturation study,8,1.0,gaussian,Z,0.0,96,2,RY-RZ-CZ-line,2.8769765354105026,2.6506746273804023,3.1713071941627327,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,1.0,gaussian,Z,0.0,96,2,SU2-CNOT-line,1.0757542269129436,1.019077772197856,1.1310173752000372,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,1.0,gaussian,Z,0.0,96,2,SU2-HaarU4-brickwork,1.5222074283514953,1.4365940240287047,1.6015225298552942,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,1,generic_family_balanced,1.5492501576766686,1.3839434836432418,1.7439526059206425,0.1,0.9,1.1,False,3,36
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,1,RY-RZ-CZ-line,2.7455072935690983,2.2509252162157933,3.3344772408246928,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,1,SU2-CNOT-line,0.9269054134829694,0.904887004881769,0.9483684943386863,0.1,0.9,1.1,True,1,12
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,1,SU2-HaarU4-brickwork,0.9753377659779378,0.9190390446554589,1.0342028656569735,0.1,0.9,1.1,True,1,12
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,2,generic_family_balanced,1.2124699951171942,1.1491188519945559,1.286096663371775,0.1,0.9,1.1,False,3,36
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,2,RY-RZ-CZ-line,1.7307641361466806,1.5467129552679837,1.951036479672261,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,2,SU2-CNOT-line,0.9400924857603404,0.9283677015979529,0.9521175179475496,0.1,0.9,1.1,True,1,12
v2_depth,prespecified depth-onset and saturation study,8,2.0,gaussian,Z,0.0,96,2,SU2-HaarU4-brickwork,0.9665533634445618,0.941909486259196,0.9908269000929939,0.1,0.9,1.1,True,1,12
v2_depth,prespecified depth-onset and saturation study,8,4.0,gaussian,Z,0.0,96,1,generic_family_balanced,0.958190637981709,0.9411417201255039,0.9752851320149665,0.1,0.9,1.1,True,3,36
v2_depth,prespecified depth-onset and saturation study,8,4.0,gaussian,Z,0.0,96,1,RY-RZ-CZ-line,0.993572855462714,0.967392424055034,1.0227998898801884,0.1,0.9,1.1,True,1,12
v2_depth,prespecified depth-onset and saturation study,8,4.0,gaussian,Z,0.0,96,1,SU2-CNOT-line,0.9617186834567185,0.9274823295576906,0.9969392743219772,0.1,0.9,1.1,True,1,12
v2_depth,prespecified depth-onset and saturation study,8,4.0,gaussian,Z,0.0,96,1,SU2-HaarU4-brickwork,0.9192803750256945,0.8925942315243325,0.9445851095704384,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,4.0,gaussian,Z,0.0,96,2,generic_family_balanced,0.9781855730392207,0.9685654629922448,0.9881320257600197,0.1,0.9,1.1,True,3,36
v2_depth,prespecified depth-onset and saturation study,8,4.0,gaussian,Z,0.0,96,2,RY-RZ-CZ-line,0.9924257067971595,0.972399644199279,1.0118592762599292,0.1,0.9,1.1,True,1,12
v2_depth,prespecified depth-onset and saturation study,8,4.0,gaussian,Z,0.0,96,2,SU2-CNOT-line,0.9843637146166156,0.9728180890175492,0.9973487268212093,0.1,0.9,1.1,True,1,12
v2_depth,prespecified depth-onset and saturation study,8,4.0,gaussian,Z,0.0,96,2,SU2-HaarU4-brickwork,0.957767297703887,0.9395881075826115,0.9756513646090084,0.1,0.9,1.1,True,1,12
v2_depth,prespecified depth-onset and saturation study,8,6.0,gaussian,Z,0.0,96,1,generic_family_balanced,0.937787359079246,0.920320167825747,0.9562054341186331,0.1,0.9,1.1,True,3,36
v2_depth,prespecified depth-onset and saturation study,8,6.0,gaussian,Z,0.0,96,1,RY-RZ-CZ-line,0.8962696539891298,0.8611722682073814,0.9332020578411405,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,6.0,gaussian,Z,0.0,96,1,SU2-CNOT-line,0.9970787871089692,0.9661069402919893,1.0263235980871022,0.1,0.9,1.1,True,1,12
v2_depth,prespecified depth-onset and saturation study,8,6.0,gaussian,Z,0.0,96,1,SU2-HaarU4-brickwork,0.920013636139639,0.8928964037365947,0.9442195167440256,0.1,0.9,1.1,False,1,12
v2_depth,prespecified depth-onset and saturation study,8,6.0,gaussian,Z,0.0,96,2,generic_family_balanced,0.9700750563320398,0.9617196898821925,0.9782226276366225,0.1,0.9,1.1,True,3,36
