profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,contrast,difference,ci95_low,ci95_high,ci_excludes_zero,direction_if_excludes_zero
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,enhancement,U1 minus equal-weight generic-family mean,0.5057629399340877,-0.26976447603176423,1.3229739000738365,False,none
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,actual_retention,U1 minus equal-weight generic-family mean,0.5413601819737933,0.4877654643544604,0.5927148773977127,True,positive
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,deff_pairwise,U1 minus equal-weight generic-family mean,-15.3099490153397,-16.23215953166526,-14.452188244601746,True,negative
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.0852267497027594,0.07771080406711084,0.09306443645372425,True,positive
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,0.008890518744985976,-0.020055230689168414,0.03813307093070001,False,none
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.4711902118118154,0.42009634784361144,0.5219725739610432,True,positive
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,enhancement,U1 minus equal-weight generic-family mean,-0.8973109389659117,-1.0731887071520658,-0.6879881172668942,True,negative
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,actual_retention,U1 minus equal-weight generic-family mean,0.49553605284267016,0.4674193163688838,0.5278906072412632,True,positive
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,deff_pairwise,U1 minus equal-weight generic-family mean,-15.3099490153397,-16.245370888053642,-14.448019027713878,True,negative
v2_depth,prespecified depth-onset and saturation study,8,0.5,gaussian,Z,0.0,96,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.0852267497027594,0.07774429272409986,0.09317341053027668,True,positive
