profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,mean_regular_fraction,ci95_low,ci95_high,median_regular_fraction,minimum_regular_fraction,circuits
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,0.5,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,1.0,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,2.0,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,4.0,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,6.0,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,8,8.0,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,12,0.5,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,12,1.0,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,12,2.0,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,12,4.0,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,12,6.0,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line,12,8.0,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
v2_depth,prespecified depth-onset and saturation study,SU2-CNOT-line,8,0.5,gaussian,Z,0.0,96,1.0,1.0,1.0,1.0,1.0,12
