profile,analysis_role,job_id,circuit_id,family,n,depth,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangents,tangent_count_used,parameter_count,regular_tangents,regular_fraction,support_size,score_dimension,FQ_mean,Ffull_mean,Ffull_over_FQ_mean,pairwise_purity,sample_covariance_purity,deff_pairwise,trC3_u_stat,renyi3_dimension_diag,k,readout_rank,actual_retention,rank_baseline,enhancement,physical_minus_rank_baseline,haar_null_mean,haar_null_std,haar_alignment_z,theorem_rhs_sample,theorem_bound_slack_sample,theorem_rhs_u_stat,theorem_bound_slack_u_stat,crossfit_kyfan,sample_lambda_max,sample_spectrum_rank,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,min_circuits_for_inference,max_relative_ci_halfwidth
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d4|i2|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d4|i2,RY-RZ-CZ-line,8,4,0.5,2,gaussian,Z,0.0,96,96,64,96,1.0,256,255,0.8892956659242053,0.35787032138077407,0.4097077493431425,0.050662362676063256,0.0605512963981876,19.73851883683419,0.0029693922651487024,18.351273741871406,1,8,0.3074304047541979,0.03137254901960784,9.799344151540058,0.2760578557345901,0.03137254901960784,0.0036667153336938287,75.2875068314864,0.6624385789507259,0.3863807232161358,0.6018266607328512,0.3257688049982611,,,0,0.0,1.3243750325320034e-16,0.0,9.020562075079397e-17,-0.20094873043297323,10,0.2
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d4|i2|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d4|i2,RY-RZ-CZ-line,8,4,0.5,2,gaussian,Z,0.0,96,96,64,96,1.0,256,255,0.8892956659242053,0.35787032138077407,0.4097077493431425,0.050662362676063256,0.0605512963981876,19.73851883683419,0.0029693922651487024,18.351273741871406,2,36,0.6243629425934174,0.1411764705882353,4.42257084337004,0.4831864720051821,0.1411764705882353,0.007324146664846074,65.97170893973856,1.3231998852225209,0.8400134132173387,1.202129516168767,0.7189430441635849,,,0,0.0,1.3243750325320034e-16,0.0,9.020562075079397e-17,-0.20094873043297323,10,0.2
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d16|i10|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d16|i10,RY-RZ-CZ-line,8,16,2.0,10,gaussian,Z,0.0,96,96,256,96,1.0,256,255,0.9217269103588847,0.41458671343512415,0.45055148302126,0.02408164078480009,0.03424745702662509,41.525409706766425,0.0009182047314227639,33.00123835313197,1,8,0.08667364239990398,0.03137254901960784,2.7627223514969392,0.05530109338029614,0.03137254901960784,0.002683253620180165,20.609715371066187,0.4847637608469335,0.42946266746663736,0.3952477633622115,0.33994666998191536,,,0,1.7763568394002505e-15,6.83797981359088e-16,1.7763568394002505e-15,7.632783294297951e-17,-0.34072678702325443,10,0.2
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d16|i10|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d16|i10,RY-RZ-CZ-line,8,16,2.0,10,gaussian,Z,0.0,96,96,256,96,1.0,256,255,0.9217269103588847,0.41458671343512415,0.45055148302126,0.02408164078480009,0.03424745702662509,41.525409706766425,0.0009182047314227639,33.00123835313197,2,36,0.23940001596338592,0.1411764705882353,1.6957501130739836,0.09822354537515063,0.1411764705882353,0.005359713330508492,18.3262684621664,0.9683001158065283,0.8700765704313776,0.7894947723964579,0.6912712270213073,,,0,1.7763568394002505e-15,6.83797981359088e-16,1.7763568394002505e-15,7.632783294297951e-17,-0.34072678702325443,10,0.2
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d64|i6|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d64|i6,RY-RZ-CZ-line,8,64,8.0,6,gaussian,Z,0.0,96,96,1024,96,1.0,256,255,0.9839529423898971,0.479003423118659,0.48658476899947506,0.00789456526471797,0.018228996876543824,126.66941959035466,8.82109412642629e-05,106.47282369514305,1,8,0.027891064135654037,0.03137254901960784,0.8890276693239725,-0.003481484883953806,0.03137254901960784,0.0018430441807183293,-1.888986124356982,0.33296928092547706,0.32948779604152323,0.1754617589222129,0.1719802740382591,,,0,6.661338147750939e-16,1.388754219929333e-16,6.661338147750939e-16,5.204170427930421e-17,-0.4025005206553478,10,0.2
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n8|d64|i6|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n8|d64|i6,RY-RZ-CZ-line,8,64,8.0,6,gaussian,Z,0.0,96,96,1024,96,1.0,256,255,0.9839529423898971,0.479003423118659,0.48658476899947506,0.00789456526471797,0.018228996876543824,126.66941959035466,8.82109412642629e-05,106.47282369514305,2,36,0.13715638856826037,0.1411764705882353,0.9715244190251776,-0.004020082019974919,0.1411764705882353,0.0036814218342315582,-1.0919916817449014,0.6650954945907348,0.6610754125707599,0.35047925444584244,0.34645917242586755,,,0,6.661338147750939e-16,1.388754219929333e-16,6.661338147750939e-16,5.204170427930421e-17,-0.4025005206553478,10,0.2
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n12|d24|i2|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n12|d24|i2,RY-RZ-CZ-line,12,24,2.0,2,gaussian,Z,0.0,96,96,576,96,1.0,4096,4095,0.9467642009847256,0.43489597029977595,0.45942845055897247,0.007233460157961236,0.017574778281315803,138.2464240021268,8.518628166050851e-05,108.34657047895695,1,12,0.023735969864563323,0.0029304029304029304,8.099899716282234,0.020805566934160392,0.0029304029304029304,0.0001572417906068045,132.31575940384928,0.45536524848235865,0.43455968154819824,0.289180467515253,0.2683749005810926,,,0,8.881784197001252e-16,2.697550783457151e-16,5.551115123125783e-16,5.551115123125783e-17,-0.3677063625806086,10,0.2
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n12|d24|i2|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n12|d24|i2,RY-RZ-CZ-line,12,24,2.0,2,gaussian,Z,0.0,96,96,576,96,1.0,4096,4095,0.9467642009847256,0.43489597029977595,0.45942845055897247,0.007233460157961236,0.017574778281315803,138.2464240021268,8.518628166050851e-05,108.34657047895695,2,78,0.06825832730910279,0.01904761904761905,3.583562183727896,0.04921070826148374,0.01904761904761905,0.00039763617267234586,123.75812776478362,1.1515367121918365,1.1023260039303528,0.7312853273332595,0.6820746190717757,,,0,8.881784197001252e-16,2.697550783457151e-16,5.551115123125783e-16,5.551115123125783e-17,-0.3677063625806086,10,0.2
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n12|d72|i10|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n12|d72|i10,RY-RZ-CZ-line,12,72,6.0,10,gaussian,Z,0.0,96,96,1728,96,1.0,4096,4095,0.9840479000512615,0.48109960718162165,0.48893370856566437,0.0023534231222783176,0.012745574964754591,424.91296636531445,9.93883835669245e-06,317.1992752190672,1,12,0.0025924019499697615,0.0029304029304029304,0.8846571654271811,-0.00033800098043316887,0.0029304029304029304,0.00013354890859060433,-2.5309153328187404,0.386751713461324,0.3864137124808908,0.15886001404413688,0.15852201306370373,,,0,3.1086244689504383e-15,6.305729156026547e-16,3.1086244689504383e-15,2.5153490401663703e-17,-0.4373976509169054,10,0.2
v2_depth,prespecified depth-onset and saturation study,RY-RZ-CZ-line|n12|d72|i10|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n12|d72|i10,RY-RZ-CZ-line,12,72,6.0,10,gaussian,Z,0.0,96,96,1728,96,1.0,4096,4095,0.9840479000512615,0.48109960718162165,0.48893370856566437,0.0023534231222783176,0.012745574964754591,424.91296636531445,9.93883835669245e-06,317.1992752190672,2,78,0.01751339942192733,0.01904761904761905,0.9194534696511847,-0.0015342196256917205,0.01904761904761905,0.0003377211406179374,-4.542859303638847,0.978025437905295,0.9764912182796033,0.40172836833907277,0.40019414871338105,,,0,3.1086244689504383e-15,6.305729156026547e-16,3.1086244689504383e-15,2.5153490401663703e-17,-0.4373976509169054,10,0.2
