profile,analysis_role,job_id,circuit_id,family,n,depth_factor,tangent_count_used,k,regular_fraction,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,theorem_bound_slack_sample
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,1,1.0,3.996802888650564e-15,5.646631501530517e-16,3.996802888650564e-15,6.938893903907227e-17,-0.3572259161131533,0.272334686266644
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,2,1.0,3.996802888650564e-15,5.646631501530517e-16,3.996802888650564e-15,6.938893903907227e-17,-0.3572259161131533,0.543267795134227
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line|n12|d72|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i6,SU2-CNOT-line,12,6.0,128,1,1.0,1.1102230246251563e-16,4.324866022235167e-17,0.0,2.6020852139652106e-17,-0.4440056075814846,0.3201805343957444
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line|n12|d72|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n12|d72|i6,SU2-CNOT-line,12,6.0,128,2,1.0,1.1102230246251563e-16,4.324866022235167e-17,0.0,2.6020852139652106e-17,-0.4440056075814846,0.809906344048307
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-HaarU4-brickwork|n12|d72|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,128,1,1.0,1.4432899320127035e-14,1.9793225267944333e-15,1.4432899320127035e-14,2.40692882291782e-17,-0.4097369516949926,0.3313506394687354
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-HaarU4-brickwork|n12|d72|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n12|d72|i2,SU2-HaarU4-brickwork,12,6.0,128,2,1.0,1.4432899320127035e-14,1.9793225267944333e-15,1.4432899320127035e-14,2.40692882291782e-17,-0.4097369516949926,0.8373905937844662
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,U1-RZ-XY-line|n8|d48|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,6.0,128,1,1.0,8.881784197001252e-16,5.315505243189588e-16,8.881784197001252e-16,8.326672684688674e-17,-0.1349371135979392,0.2774641131106141
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,U1-RZ-XY-line|n8|d48|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i8,U1-RZ-XY-line,8,6.0,128,2,1.0,8.881784197001252e-16,5.315505243189588e-16,8.881784197001252e-16,8.326672684688674e-17,-0.1349371135979392,0.6126043441146556
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line|n8|d48|i0|dir=rademacher|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,1,1.0,3.552713678800501e-15,6.059415733233703e-16,3.552713678800501e-15,5.637851296924623e-17,-0.3759324107639721,0.2733206764024527
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line|n8|d48|i0|dir=rademacher|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,128,2,1.0,3.552713678800501e-15,6.059415733233703e-16,3.552713678800501e-15,5.637851296924623e-17,-0.3759324107639721,0.5418264395373307
