profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,mean_physical_minus_rank_baseline,ci95_low,ci95_high,circuits,fraction_positive,median_haar_z
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,128,1,-0.0005593930648855499,-0.0013780179952211852,0.00029935672443459513,10,0.2,-0.3942630079485334
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,128,2,-0.0011653231122307592,-0.002787122333373004,0.0002759787570334858,10,0.5,-0.09535549025532694
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line,8,6.0,rademacher,Z,0.0,128,1,-0.00122086714375861,-0.0018831963446640813,-0.000406096399272049,10,0.1,-0.9313238663068009
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line,8,6.0,rademacher,Z,0.0,128,2,-0.0030465431947079,-0.004449226201731594,-0.001501528904182131,10,0.1,-1.2148949613187983
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,128,1,-0.00010426295849240666,-0.00015315468932932343,-5.7963874379920384e-05,10,0.1,-0.9210503541786919
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,128,2,-0.00042623130035675065,-0.0005583119867350519,-0.0002821694452531978,10,0.1,-1.791130920911545
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line,12,6.0,rademacher,Z,0.0,128,1,-0.0001269178004975185,-0.00015948561412815022,-8.575921200637441e-05,10,0.1,-1.3738305796267278
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-CNOT-line,12,6.0,rademacher,Z,0.0,128,2,-0.00031164797949747685,-0.00048408024570754585,-0.00014196003072015095,10,0.2,-1.3134061341151009
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-HaarU4-brickwork,8,6.0,gaussian,Z,0.0,128,1,-0.0018451461330816585,-0.002815951556406186,-0.0008304703347583355,10,0.2,-1.387470453083753
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-HaarU4-brickwork,8,6.0,gaussian,Z,0.0,128,2,-0.00291911209207356,-0.004455892850370657,-0.0015106327942173035,10,0.1,-0.7943839758567169
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-HaarU4-brickwork,8,6.0,rademacher,Z,0.0,128,1,-0.0014386726947131097,-0.0027325256254843527,-0.00015453072851705354,10,0.2,-0.7430754405861485
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-HaarU4-brickwork,8,6.0,rademacher,Z,0.0,128,2,-0.0036822096495040197,-0.006081083831692154,-0.0014712204033298312,10,0.1,-1.0209061187176198
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,128,1,-0.0002089073317266637,-0.0002657542426108657,-0.00014392538278218558,10,0.0,-2.1260187553684307
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,128,2,-0.0007506859525067799,-0.0008786742258323302,-0.0006142693324879743,10,0.0,-2.661185036795033
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-HaarU4-brickwork,12,6.0,rademacher,Z,0.0,128,1,-0.00021287210607882304,-0.0002708295234353818,-0.00015668399262850976,10,0.0,-2.0015539601422576
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,SU2-HaarU4-brickwork,12,6.0,rademacher,Z,0.0,128,2,-0.0006573596825294201,-0.0007808830961726198,-0.0005173861553302143,10,0.0,-2.458731510674742
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,128,1,0.31929930345698243,0.30749075831259254,0.3315356008904252,12,1.0,26.722869173210043
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,128,2,0.34392325911296195,0.3289701049698992,0.3595487027530154,12,1.0,18.338990794847515
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,U1-RZ-XY-line,8,6.0,rademacher,Z,0.0,128,1,0.33095836831826825,0.3177087850726756,0.34310221215624137,12,1.0,29.506748030288556
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,U1-RZ-XY-line,8,6.0,rademacher,Z,0.0,128,2,0.3497654619814862,0.3350523778411779,0.36391102798055985,12,1.0,18.753647776459907
