profile,family,n,depth_factor,tangent_count_used,k,factor,reference,comparison,metric,paired_circuits,mean_paired_difference,ci95_low,ci95_high,fraction_positive_differences
v2_directions,SU2-CNOT-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,enhancement,10,-0.021084486264078196,-0.047584378573095866,0.001137262970706193,0.2
v2_directions,SU2-CNOT-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,actual_retention,10,-0.0006614740788730405,-0.0014837986067257707,3.719373322567854e-05,0.2
v2_directions,SU2-CNOT-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,deff_pairwise,10,-1.8367901063120655,-3.8472332518645125,0.567406867558264,0.2
v2_directions,SU2-CNOT-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,pairwise_purity,10,6.315553761255003e-05,-1.749692414925001e-05,0.00012768585967147837,0.8
v2_directions,SU2-CNOT-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,Ffull_over_FQ_mean,10,-0.0015323922200447648,-0.003913351086670905,0.0005794627501746998,0.5
v2_directions,SU2-CNOT-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,physical_minus_rank_baseline,10,-0.00066147407887306,-0.0015217665430343021,3.05373480094901e-05,0.2
v2_directions,SU2-CNOT-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,enhancement,10,-0.013325308917546564,-0.024779601024318157,-0.001906243325627635,0.3
v2_directions,SU2-CNOT-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,actual_retention,10,-0.0018812200824771725,-0.0035056057354059256,-0.00025003641497007423,0.3
v2_directions,SU2-CNOT-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,deff_pairwise,10,-1.8367901063120655,-3.8302004860404164,0.5521227466037912,0.2
v2_directions,SU2-CNOT-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,pairwise_purity,10,6.315553761255003e-05,-1.3853623424087398e-05,0.00012944832309040398,0.8
v2_directions,SU2-CNOT-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,Ffull_over_FQ_mean,10,-0.0015323922200447648,-0.004022901126827743,0.0005652826463613383,0.5
v2_directions,SU2-CNOT-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,physical_minus_rank_baseline,10,-0.0018812200824771404,-0.003505518605449959,-0.0002604024518791871,0.3
v2_directions,SU2-CNOT-line,12,6.0,128,1,direction_sampler,gaussian,rademacher,enhancement,10,-0.007730964834249576,-0.030377795454005135,0.01577824531095805,0.4
v2_directions,SU2-CNOT-line,12,6.0,128,1,direction_sampler,gaussian,rademacher,actual_retention,10,-2.265484200514008e-05,-8.851830033775588e-05,4.599705701993882e-05,0.4
v2_directions,SU2-CNOT-line,12,6.0,128,1,direction_sampler,gaussian,rademacher,deff_pairwise,10,-9.59178582592357,-25.194286108919393,3.7435216771280784,0.4
v2_directions,SU2-CNOT-line,12,6.0,128,1,direction_sampler,gaussian,rademacher,pairwise_purity,10,1.0348161655710084e-05,-3.5559919696574398e-06,2.682074545285364e-05,0.6
v2_directions,SU2-CNOT-line,12,6.0,128,1,direction_sampler,gaussian,rademacher,Ffull_over_FQ_mean,10,-0.00013610393030581426,-0.0007066612394419286,0.00042292637664652973,0.4
v2_directions,SU2-CNOT-line,12,6.0,128,1,direction_sampler,gaussian,rademacher,physical_minus_rank_baseline,10,-2.2654842005111834e-05,-8.913649645731819e-05,4.5229541866884564e-05,0.4
v2_directions,SU2-CNOT-line,12,6.0,128,2,direction_sampler,gaussian,rademacher,enhancement,10,0.006015624345113058,-0.0015826019711923669,0.013015850945178105,0.8
v2_directions,SU2-CNOT-line,12,6.0,128,2,direction_sampler,gaussian,rademacher,actual_retention,10,0.00011458332085928987,-2.9457392835239953e-05,0.00024691255530409785,0.8
v2_directions,SU2-CNOT-line,12,6.0,128,2,direction_sampler,gaussian,rademacher,deff_pairwise,10,-9.59178582592357,-25.125725683234084,3.481471699164888,0.4
v2_directions,SU2-CNOT-line,12,6.0,128,2,direction_sampler,gaussian,rademacher,pairwise_purity,10,1.0348161655710084e-05,-3.662946934108682e-06,2.6438483551014317e-05,0.6
v2_directions,SU2-CNOT-line,12,6.0,128,2,direction_sampler,gaussian,rademacher,Ffull_over_FQ_mean,10,-0.00013610393030581426,-0.0007031645243473801,0.0004216400492480205,0.4
v2_directions,SU2-CNOT-line,12,6.0,128,2,direction_sampler,gaussian,rademacher,physical_minus_rank_baseline,10,0.00011458332085927379,-2.9834349431321758e-05,0.0002478242758951759,0.8
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,1,direction_sampler,gaussian,rademacher,enhancement,10,0.01295634084799716,-0.018322563544316647,0.03852580389210698,0.7
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,1,direction_sampler,gaussian,rademacher,actual_retention,10,0.0004064734383685292,-0.000570985461983174,0.0012126862774368983,0.7
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,1,direction_sampler,gaussian,rademacher,deff_pairwise,10,1.226051985679686,-1.5659244683665918,3.926804405902222,0.6
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,1,direction_sampler,gaussian,rademacher,pairwise_purity,10,-6.56960162322401e-05,-0.00021237537306153677,9.135459466676777e-05,0.4
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,1,direction_sampler,gaussian,rademacher,Ffull_over_FQ_mean,10,-0.002180182999337238,-0.00410630510691864,-0.00021974578306962065,0.2
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,1,direction_sampler,gaussian,rademacher,physical_minus_rank_baseline,10,0.00040647343836854857,-0.0005889442782431346,0.001223640722570971,0.7
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,2,direction_sampler,gaussian,rademacher,enhancement,10,-0.005405274365132451,-0.017503767789753474,0.0075302574469597395,0.3
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,2,direction_sampler,gaussian,rademacher,actual_retention,10,-0.0007630975574304727,-0.002459520592725176,0.0010955363885797008,0.3
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,2,direction_sampler,gaussian,rademacher,deff_pairwise,10,1.226051985679686,-1.5980872398901262,3.879815468771549,0.6
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,2,direction_sampler,gaussian,rademacher,pairwise_purity,10,-6.56960162322401e-05,-0.000212252873717932,8.836378799051992e-05,0.4
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,2,direction_sampler,gaussian,rademacher,Ffull_over_FQ_mean,10,-0.002180182999337238,-0.00408434854531416,-0.0002000364745130102,0.2
v2_directions,SU2-HaarU4-brickwork,8,6.0,128,2,direction_sampler,gaussian,rademacher,physical_minus_rank_baseline,10,-0.00076309755743046,-0.0024389022968580795,0.00108228367001833,0.3
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,1,direction_sampler,gaussian,rademacher,enhancement,10,-0.001352979247670627,-0.02937931771500284,0.025158309087453378,0.6
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,1,direction_sampler,gaussian,rademacher,actual_retention,10,-3.964774352129908e-06,-8.506694502943368e-05,7.180092825591645e-05,0.6
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,1,direction_sampler,gaussian,rademacher,deff_pairwise,10,-0.9503928582714252,-10.530032154225903,8.876134281978612,0.5
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,1,direction_sampler,gaussian,rademacher,pairwise_purity,10,2.3896880771200144e-06,-2.388616859872027e-05,2.7623949192374737e-05,0.5
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,1,direction_sampler,gaussian,rademacher,Ffull_over_FQ_mean,10,0.000147730018451242,-0.0004030609406721885,0.0006479296996214494,0.5
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,1,direction_sampler,gaussian,rademacher,physical_minus_rank_baseline,10,-3.964774352159398e-06,-8.648621946448067e-05,7.3942823133122e-05,0.6
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,2,direction_sampler,gaussian,rademacher,enhancement,10,0.004899629173811692,-0.0053324955646127745,0.0164975644705729,0.4
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,2,direction_sampler,gaussian,rademacher,actual_retention,10,9.332626997736008e-05,-0.00010304635546139598,0.0003143217135623964,0.4
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,2,direction_sampler,gaussian,rademacher,deff_pairwise,10,-0.9503928582714252,-10.296649496125918,8.669743536491916,0.5
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,2,direction_sampler,gaussian,rademacher,pairwise_purity,10,2.3896880771200144e-06,-2.3407654903429997e-05,2.6879945451845e-05,0.5
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,2,direction_sampler,gaussian,rademacher,Ffull_over_FQ_mean,10,0.000147730018451242,-0.00040319931909916227,0.0006620369765089473,0.5
v2_directions,SU2-HaarU4-brickwork,12,6.0,128,2,direction_sampler,gaussian,rademacher,physical_minus_rank_baseline,10,9.332626997736e-05,-0.00010290541588868247,0.00031219284649600945,0.4
v2_directions,U1-RZ-XY-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,enhancement,12,0.11492506791838786,0.025429046496958735,0.21750581965851537,0.6666666666666666
v2_directions,U1-RZ-XY-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,actual_retention,12,0.011659064861285701,0.0025102812575818136,0.022348610561258687,0.6666666666666666
v2_directions,U1-RZ-XY-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,deff_pairwise,12,0.002929106133942483,-0.27727041555514237,0.2530875886898167,0.6666666666666666
v2_directions,U1-RZ-XY-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,pairwise_purity,12,-5.6034491017584176e-05,-0.0008985407829849181,0.0008965820454786432,0.3333333333333333
v2_directions,U1-RZ-XY-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,Ffull_over_FQ_mean,12,0.003202466341174446,-0.00218705172483317,0.0090540157200446,0.5833333333333334
v2_directions,U1-RZ-XY-line,8,6.0,128,1,direction_sampler,gaussian,rademacher,physical_minus_rank_baseline,12,0.011659064861285725,0.0024587733481637682,0.022421344735011766,0.6666666666666666
v2_directions,U1-RZ-XY-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,enhancement,12,0.014930073997339829,-0.0006425759727497561,0.03248625400916114,0.5833333333333334
v2_directions,U1-RZ-XY-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,actual_retention,12,0.005842202868524243,-0.0002415129934447085,0.012736886827385531,0.5833333333333334
v2_directions,U1-RZ-XY-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,deff_pairwise,12,0.002929106133942483,-0.2799195021374325,0.25702320311606275,0.6666666666666666
v2_directions,U1-RZ-XY-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,pairwise_purity,12,-5.6034491017584176e-05,-0.0009070533585598563,0.0008848197518617054,0.3333333333333333
v2_directions,U1-RZ-XY-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,Ffull_over_FQ_mean,12,0.003202466341174446,-0.0020802593205613666,0.008938027816756256,0.5833333333333334
v2_directions,U1-RZ-XY-line,8,6.0,128,2,direction_sampler,gaussian,rademacher,physical_minus_rank_baseline,12,0.005842202868524234,-0.0005757120452131364,0.012440496820006407,0.5833333333333334
v2_directions,U1-RZ-XY-line,12,6.0,128,1,direction_sampler,gaussian,rademacher,enhancement,12,0.3782978195969413,-0.20172426868468987,0.9450293621410316,0.6666666666666666
v2_directions,U1-RZ-XY-line,12,6.0,128,1,direction_sampler,gaussian,rademacher,actual_retention,12,0.004508424718923483,-0.0026084654273960286,0.011100707231872729,0.6666666666666666
v2_directions,U1-RZ-XY-line,12,6.0,128,1,direction_sampler,gaussian,rademacher,deff_pairwise,12,-0.12134775126299324,-0.7725552326415346,0.5785827198017401,0.3333333333333333
v2_directions,U1-RZ-XY-line,12,6.0,128,1,direction_sampler,gaussian,rademacher,pairwise_purity,12,8.948997180934122e-05,-0.0003658578580815919,0.0005053761115560206,0.6666666666666666
v2_directions,U1-RZ-XY-line,12,6.0,128,1,direction_sampler,gaussian,rademacher,Ffull_over_FQ_mean,12,0.0021817777183280366,-0.00030324972936504374,0.004519650648966591,0.6666666666666666
