profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,contrast,difference,ci95_low,ci95_high,ci_excludes_zero,direction_if_excludes_zero
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,1,enhancement,U1 minus equal-weight generic-family mean,3.1857011918292875,3.064482238295691,3.3075389830150694,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,1,actual_retention,U1 minus equal-weight generic-family mean,0.39057829939867716,0.3786881498486256,0.4028495154453147,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,1,deff_pairwise,U1 minus equal-weight generic-family mean,-136.4604079171742,-137.78056755066353,-135.07336763937803,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.052425658507613083,0.05099735118098404,0.054101385278172445,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.023303462584468804,-0.030112319871941007,-0.01607084212141506,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.32050157305596605,0.3087597164166285,0.33281431439912956,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,2,enhancement,U1 minus equal-weight generic-family mean,0.8933807035261474,0.8539212016271401,0.935120424652921,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,2,actual_retention,U1 minus equal-weight generic-family mean,0.5960933539529659,0.581128629228929,0.6121780232713647,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,2,deff_pairwise,U1 minus equal-weight generic-family mean,-136.4604079171742,-137.79350076553771,-135.0795812778421,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.052425658507613083,0.050957785393015854,0.05409281653876303,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.023303462584468804,-0.03009621847238007,-0.0162446344202627,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,gaussian,Z,0.0,128,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.34596547671511413,0.33040489582552807,0.362186617064566,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,1,enhancement,U1 minus equal-weight generic-family mean,3.304690332455716,3.171181225302493,3.429000685275711,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,1,actual_retention,U1 minus equal-weight generic-family mean,0.40236486458021514,0.38885294029799583,0.4147904234648556,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,1,deff_pairwise,U1 minus equal-weight generic-family mean,-136.1521097507241,-137.65189534481888,-134.71236969392208,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.05237089425590533,0.05121275181728352,0.053628328566147146,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.018244708633603446,-0.02545491887354924,-0.011705507053427796,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.3322881382375041,0.31878195576828305,0.3447014443961867,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,2,enhancement,U1 minus equal-weight generic-family mean,0.9176760691648266,0.8782465631177376,0.9567265173423124,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,2,actual_retention,U1 minus equal-weight generic-family mean,0.6032577156414438,0.5883607129746355,0.617977826153846,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,2,deff_pairwise,U1 minus equal-weight generic-family mean,-136.1521097507241,-137.68507663337863,-134.70040821292807,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.05237089425590533,0.05121066082268984,0.05362137055418252,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.018244708633603446,-0.02556843291022247,-0.011772502097505582,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,8,6.0,rademacher,Z,0.0,128,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.3531298384035922,0.3387185785726797,0.3678650475514032,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,1,enhancement,U1 minus equal-weight generic-family mean,23.68029636139623,22.909701355993988,24.450782251654477,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,1,actual_retention,U1 minus equal-weight generic-family mean,0.29072074178881663,0.28104266074888506,0.30000519183525076,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,1,deff_pairwise,U1 minus equal-weight generic-family mean,-764.7103053077559,-770.6734661524632,-759.2374214028879,True,negative
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.02404819859743748,0.02360553531568768,0.02444921125893371,True,positive
v2_directions,dense tangent-ensemble robustness: Gaussian versus Rademacher,12,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.029575136461730656,-0.03303172502304427,-0.026471471071488138,True,negative
