profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,omitted_family,remaining_families,full_family_balanced_mean,leave_one_family_out_mean,absolute_shift
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,enhancement,RY-RZ-CZ-line,2,0.9217211574449119,0.9454889966669422,0.023767839222030296
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,enhancement,SU2-CNOT-line,2,0.9217211574449119,0.9020989200803475,-0.019622237364564366
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,enhancement,SU2-HaarU4-brickwork,2,0.9217211574449119,0.917575555587446,-0.00414560185746593
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,actual_retention,RY-RZ-CZ-line,2,0.0007876516025287055,0.0008079622751227583,2.0310672594052773e-05
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,actual_retention,SU2-CNOT-line,2,0.0007876516025287055,0.0007708835305575208,-1.6768071971184776e-05
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,actual_retention,SU2-HaarU4-brickwork,2,0.0007876516025287055,0.0007841090019058375,-3.5426006228679975e-06
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,deff_pairwise,RY-RZ-CZ-line,2,1084.444399739682,1308.0000473907278,223.55564765104577
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,deff_pairwise,SU2-CNOT-line,2,1084.444399739682,804.963558162738,-279.48084157694404
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,deff_pairwise,SU2-HaarU4-brickwork,2,1084.444399739682,1140.3695936655802,55.92519392589816
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,pairwise_purity,RY-RZ-CZ-line,2,0.0010696156540752223,0.0008187289401652291,-0.00025088671390999316
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,pairwise_purity,SU2-CNOT-line,2,0.0010696156540752223,0.0013000978012786542,0.0002304821472034319
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,pairwise_purity,SU2-HaarU4-brickwork,2,0.0010696156540752223,0.0010900202207817834,2.0404566706561144e-05
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,sample_covariance_purity,RY-RZ-CZ-line,2,0.011475140491011929,0.011226867180371834,-0.0002482733106400955
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,sample_covariance_purity,SU2-CNOT-line,2,0.011475140491011929,0.011703221782515327,0.00022808129150339758
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,sample_covariance_purity,SU2-HaarU4-brickwork,2,0.011475140491011929,0.011495332510148634,2.0192019136704847e-05
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,trC3_u_stat,RY-RZ-CZ-line,2,2.145179604333703e-06,1.080903896336443e-06,-1.06427570799726e-06
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,trC3_u_stat,SU2-CNOT-line,2,2.145179604333703e-06,2.9484704816756072e-06,8.032908773419043e-07
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,trC3_u_stat,SU2-HaarU4-brickwork,2,2.145179604333703e-06,2.406164434989059e-06,2.609848306553561e-07
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,Ffull_over_FQ_mean,RY-RZ-CZ-line,2,0.4941052235849008,0.49598993441700046,0.0018847108320996786
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,Ffull_over_FQ_mean,SU2-CNOT-line,2,0.4941052235849008,0.49318420596769585,-0.0009210176172049223
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,Ffull_over_FQ_mean,SU2-HaarU4-brickwork,2,0.4941052235849008,0.49314153037000596,-0.0009636932148948119
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,haar_alignment_z,RY-RZ-CZ-line,2,-1.925347856561969,-1.36210523786539,0.5632426186965791
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,haar_alignment_z,SU2-CNOT-line,2,-1.925347856561969,-2.3945431539027857,-0.46919529734081666
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,haar_alignment_z,SU2-HaarU4-brickwork,2,-1.925347856561969,-2.019395177917731,-0.09404732135576199
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,physical_minus_rank_baseline,RY-RZ-CZ-line,2,-6.689274221882725e-05,-4.658206962478102e-05,2.0310672594046227e-05
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,physical_minus_rank_baseline,SU2-CNOT-line,2,-6.689274221882725e-05,-8.366081419000515e-05,-1.6768071971177905e-05
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,physical_minus_rank_baseline,SU2-HaarU4-brickwork,2,-6.689274221882725e-05,-7.043534284169558e-05,-3.5426006228683364e-06
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,enhancement,RY-RZ-CZ-line,2,0.9545896718947188,0.9681912362202524,0.01360156432553361
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,enhancement,SU2-CNOT-line,2,0.9545896718947188,0.9424431538749737,-0.01214651801974509
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,enhancement,SU2-HaarU4-brickwork,2,0.9545896718947188,0.9531346255889303,-0.001455046305788521
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,actual_retention,RY-RZ-CZ-line,2,0.006118044042540714,0.006205217591596509,8.717354905579504e-05
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,actual_retention,SU2-CNOT-line,2,0.006118044042540714,0.006040196005424608,-7.784803711610548e-05
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,actual_retention,SU2-HaarU4-brickwork,2,0.006118044042540714,0.006108718530601025,-9.32551193968869e-06
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,deff_pairwise,RY-RZ-CZ-line,2,1084.444399739682,1308.0000473907278,223.55564765104577
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,deff_pairwise,SU2-CNOT-line,2,1084.444399739682,804.963558162738,-279.48084157694404
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,deff_pairwise,SU2-HaarU4-brickwork,2,1084.444399739682,1140.3695936655802,55.92519392589816
