profile,analysis_role,job_id,circuit_id,family,n,depth,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangents,tangent_count_used,parameter_count,regular_tangents,regular_fraction,support_size,score_dimension,FQ_mean,Ffull_mean,Ffull_over_FQ_mean,pairwise_purity,sample_covariance_purity,deff_pairwise,trC3_u_stat,renyi3_dimension_diag,k,readout_rank,actual_retention,rank_baseline,enhancement,physical_minus_rank_baseline,haar_null_mean,haar_null_std,haar_alignment_z,theorem_rhs_sample,theorem_bound_slack_sample,theorem_rhs_u_stat,theorem_bound_slack_u_stat,crossfit_kyfan,sample_lambda_max,sample_spectrum_rank,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,min_circuits_for_inference,max_relative_ci_halfwidth
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i0,RY-RZ-CZ-line,14,84,6.0,0,gaussian,Z,0.0,96,96,2352,96,1.0,16384,16383,0.9830495827771756,0.4802169304058674,0.4884936622964437,0.0015571944586411,0.0119576403496969,642.1805539127163,4.0822313020052684e-06,494.93845209960216,1,14,0.0007234344153084,0.0008545443447476,0.8465732875713379,-0.0001311099294391,0.0008545443447476,3.5212604374064325e-05,-3.723380640816746,0.4079339335259134,0.4078028235964743,0.1446660936025082,0.1445349836730691,,,0,3.1086244689504387e-15,4.666471338396599e-16,3.1086244689504387e-15,9.54097911787244e-18,-0.4524564751204561,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i0,RY-RZ-CZ-line,14,84,6.0,0,gaussian,Z,0.0,96,96,2352,96,1.0,16384,16383,0.9830495827771756,0.4802169304058674,0.4884936622964437,0.0015571944586411,0.0119576403496969,642.1805539127163,4.0822313020052684e-06,494.93845209960216,2,105,0.0059165006024188,0.006409082585607,0.9231431368517018,-0.0004925819831881,0.006409082585607,9.616526367064548e-05,-5.12224439871735,1.114063414934938,1.1135708329517495,0.3950816272406762,0.3945890452574881,,,0,3.1086244689504387e-15,4.666471338396599e-16,3.1086244689504387e-15,9.54097911787244e-18,-0.4524564751204561,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n14|d84|i8|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n14|d84|i8,SU2-CNOT-line,14,84,6.0,8,gaussian,Z,0.0,96,96,3528,96,1.0,16384,16383,0.9965237594210016,0.493739736625709,0.4954679843516694,0.0006074368278528,0.0110177760275627,1646.2617249183745,5.152803308495823e-07,1393.0869294442932,1,14,0.0008470702768308,0.0008545443447476,0.9912537389513982,-7.474067916768931e-06,0.0008545443447476,3.3793043877880435e-05,-0.2211717874180951,0.3914884899871556,0.3914810159192388,0.0874244493682697,0.0874169753003529,,,0,2.664535259100376e-15,2.827608047949299e-16,2.4424906541753444e-15,1.0191500421363743e-17,-0.4688816449887364,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n14|d84|i8|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n14|d84|i8,SU2-CNOT-line,14,84,6.0,8,gaussian,Z,0.0,96,96,3528,96,1.0,16384,16383,0.9965237594210016,0.493739736625709,0.4954679843516694,0.0006074368278528,0.0110177760275627,1646.2617249183745,5.152803308495823e-07,1393.0869294442932,2,105,0.0063074848399515,0.006409082585607,0.9841478488850168,-0.0001015977456554,0.006409082585607,9.228845842324651e-05,-1.1008716300093535,1.0691510762369747,1.0690494784913191,0.2387552802243997,0.2386536824787443,,,0,2.664535259100376e-15,2.827608047949299e-16,2.4424906541753444e-15,1.0191500421363743e-17,-0.4688816449887364,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-HaarU4-brickwork|n16|d96|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n16|d96|i4,SU2-HaarU4-brickwork,16,96,6.0,4,gaussian,Z,0.0,96,96,4608,96,1.0,65536,65535,0.9915636255534525,0.4922477675037834,0.4964384313080742,0.0007215978355166,0.0111307478580633,1385.81346947083,8.555840799839345e-07,1081.1069332020547,1,16,0.0002205811464768,0.0002441443503471,0.903486589647519,-2.3563203870293658e-05,0.0002441443503471,9.099334570023537e-06,-2.5895524215495143,0.4216685912394421,0.4216450280355718,0.1062951637649953,0.106271600561125,,,0,3.8191672047105385e-14,5.123885280286102e-15,3.7858605139717844e-14,5.854691731421724e-18,-0.451991166588734,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-HaarU4-brickwork|n16|d96|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n16|d96|i4,SU2-HaarU4-brickwork,16,96,6.0,4,gaussian,Z,0.0,96,96,4608,96,1.0,65536,65535,0.9915636255534525,0.4922477675037834,0.4964384313080742,0.0007215978355166,0.0111307478580633,1385.81346947083,8.555840799839345e-07,1081.1069332020547,2,136,0.0019508389498042,0.0020752269779507,0.9400605189369377,-0.0001243880281464,0.0020752269779507,2.650458571526823e-05,-4.693075737259238,1.2282383106079466,1.2281139225798,0.3096170667698073,0.3094926787416608,,,0,3.8191672047105385e-14,5.123885280286102e-15,3.7858605139717844e-14,5.854691731421724e-18,-0.451991166588734,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n16|d96|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n16|d96|i8,U1-RZ-XY-line,16,96,6.0,8,gaussian,Z,0.0,96,96,2256,96,1.0,12870,12869,0.7749869590191021,0.3712552243606726,0.4802494766266707,0.0151702145592879,0.0254288581576287,65.91864578393508,0.0002991622716548,57.81580658452115,1,15,0.2276416484284378,0.0011655917320693,195.3013582417044,0.2264760566963684,0.0011655917320693,6.772430445258691e-05,3344.0883376649817,0.616298664799852,0.3898226081034834,0.4755247113572291,0.2490486546608606,,,0,4.440892098500626e-16,4.901167101852097e-16,1.3322676295501878e-15,4.163336342344337e-17,-0.2403840949828201,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n16|d96|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n16|d96|i8,U1-RZ-XY-line,16,96,6.0,8,gaussian,Z,0.0,96,96,2256,96,1.0,12870,12869,0.7749869590191021,0.3712552243606726,0.4802494766266707,0.0151702145592879,0.0254288581576287,65.91864578393508,0.0002991622716548,57.81580658452115,2,119,0.4417667328567656,0.0092470277410832,47.77391668179593,0.4325197051156824,0.0092470277410832,0.0001899802037757,2276.6567069594603,1.728840877315975,1.2963211722002923,1.3339418144532953,0.9014221093376128,,,0,4.440892098500626e-16,4.901167101852097e-16,1.3322676295501878e-15,4.163336342344337e-17,-0.2403840949828201,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i1|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i1,RY-RZ-CZ-line,14,84,6.0,1,gaussian,Z,0.0,96,96,2352,96,1.0,16384,16383,0.9888325456680944,0.485099201836546,0.4905813249514718,0.0016814755017493,0.0120806267986061,594.7157713327598,4.763780212820265e-06,458.1673549868728,1,14,0.0007478239548822,0.0008545443447476,0.8751142752025274,-0.0001067203898653,0.0008545443447476,3.539414941845276e-05,-3.015198602561901,0.4100371117879581,0.4099303913980928,0.1505547288876985,0.1504480084978331,,,0,2.886579864025407e-15,4.813902889391893e-16,2.55351295663786e-15,1.3010426069826053e-17,-0.4564073099169141,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i1|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i1,RY-RZ-CZ-line,14,84,6.0,1,gaussian,Z,0.0,96,96,2352,96,1.0,16384,16383,0.9888325456680944,0.485099201836546,0.4905813249514718,0.0016814755017493,0.0120806267986061,594.7157713327598,4.763780212820265e-06,458.1673549868728,2,105,0.0060834641737028,0.006409082585607,0.9491942243597472,-0.0003256184119042,0.006409082585607,9.66610613366248e-05,-3.368661665841082,1.1198071733337025,1.119481554921798,0.4111634301895568,0.4108378117776526,,,0,2.886579864025407e-15,4.813902889391893e-16,2.55351295663786e-15,1.3010426069826053e-17,-0.4564073099169141,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n14|d84|i9|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n14|d84|i9,SU2-CNOT-line,14,84,6.0,9,gaussian,Z,0.0,96,96,3528,96,1.0,16384,16383,0.9952409127188137,0.4932736500630228,0.4956545803826418,0.0006214151396653,0.0110316087319605,1609.2301847335916,5.225901158373832e-07,1383.3096428208337,1,14,0.0008084193276957,0.0008545443447476,0.946023846117134,-4.6125017051829725e-05,0.0008545443447476,3.381436873658312e-05,-1.3640655962306327,0.3917355359994318,0.39168941098238,0.0885356622017271,0.0884895371846753,,,0,1.2212453270876722e-15,1.344765745068934e-16,8.881784197001252e-16,9.75781955236954e-18,-0.4487406716217983,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n14|d84|i9|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n14|d84|i9,SU2-CNOT-line,14,84,6.0,9,gaussian,Z,0.0,96,96,3528,96,1.0,16384,16383,0.9952409127188137,0.4932736500630228,0.4956545803826418,0.0006214151396653,0.0110316087319605,1609.2301847335916,5.225901158373832e-07,1383.3096428208337,2,105,0.0063925582644667,0.006409082585607,0.9974217337786484,-1.6524321140323935e-05,0.006409082585607,9.234669639502784e-05,-0.1789378698468919,1.069825756378692,1.0698092320575516,0.2417899911474675,0.2417734668263272,,,0,1.2212453270876722e-15,1.344765745068934e-16,8.881784197001252e-16,9.75781955236954e-18,-0.4487406716217983,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-HaarU4-brickwork|n16|d96|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n16|d96|i5,SU2-HaarU4-brickwork,16,96,6.0,5,gaussian,Z,0.0,96,96,4608,96,1.0,65536,65535,0.9969991293097582,0.4955679548238675,0.4970552657596669,0.0007484735595476,0.0111573436266357,1336.0525395236496,8.930308042617233e-07,1058.1976193018352,1,16,0.0002217254433391,0.0002441443503471,0.9081735580768232,-2.241890700802366e-05,0.0002441443503471,9.110213948055248e-06,-2.460854062906987,0.4221727481063966,0.4221503291993885,0.1082985154072971,0.1082760965002891,,,0,3.186340080674199e-14,3.877297388697636e-15,3.2751579226442124e-14,5.854691731421724e-18,-0.4729657087039247,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-HaarU4-brickwork|n16|d96|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n16|d96|i5,SU2-HaarU4-brickwork,16,96,6.0,5,gaussian,Z,0.0,96,96,4608,96,1.0,65536,65535,0.9969991293097582,0.4955679548238675,0.4970552657596669,0.0007484735595476,0.0111573436266357,1336.0525395236496,8.930308042617233e-07,1058.1976193018352,2,136,0.0019531700078273,0.0020752269779507,0.9411837975217952,-0.0001220569701233,0.0020752269779507,2.653627522018217e-05,-4.599627080689605,1.2297068211667468,1.229584764196623,0.3154524391162792,0.3153303821461558,,,0,3.186340080674199e-14,3.877297388697636e-15,3.2751579226442124e-14,5.854691731421724e-18,-0.4729657087039247,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n16|d96|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n16|d96|i9,U1-RZ-XY-line,16,96,6.0,9,gaussian,Z,0.0,96,96,2256,96,1.0,12870,12869,0.7733687546477196,0.3631446046045233,0.469813695574215,0.0141262454719322,0.0243957637482662,70.79021824921013,0.0002516635194723,63.03617711091032,1,15,0.2257178498160461,0.0011655917320693,193.6508672855132,0.2245522580839768,0.0011655917320693,6.63300225786946e-05,3385.378888082931,0.603610545458057,0.3790582873740802,0.4587836826077092,0.2342314245237323,,,0,2.220446049250313e-16,3.415462980194562e-16,4.440892098500626e-16,5.551115123125783e-17,-0.2657927568585335,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n16|d96|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n16|d96|i9,U1-RZ-XY-line,16,96,6.0,9,gaussian,Z,0.0,96,96,2256,96,1.0,12870,12869,0.7733687546477196,0.3631446046045233,0.469813695574215,0.0141262454719322,0.0243957637482662,70.79021824921013,0.0002516635194723,63.03617711091032,2,119,0.4373732236117715,0.0092470277410832,47.29879003915872,0.4281261958706883,0.0092470277410832,0.0001860689645734,2300.900619574163,1.6932481677625926,1.2651219718919042,1.2869798843314908,0.8588536884608025,,,0,2.220446049250313e-16,3.415462980194562e-16,4.440892098500626e-16,5.551115123125783e-17,-0.2657927568585335,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i10|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i10,RY-RZ-CZ-line,14,84,6.0,10,gaussian,Z,0.0,96,96,2352,96,1.0,16384,16383,0.9848512496467048,0.4829209574114075,0.4903575033252637,0.0014814331049496,0.011882668176773,675.0220422771001,3.4177344369753698e-06,540.9172641747759,1,14,0.0007667667872347,0.0008545443447476,0.8972814482333745,-8.777755751283379e-05,0.0008545443447476,3.510147440627693e-05,-2.5006800710666783,0.4066465057511729,0.4065587281936601,0.1409557592531673,0.1408679816956544,,,0,6.661338147750939e-16,1.5222415688082298e-16,1.1102230246251563e-15,1.5178830414797062e-17,-0.4439401607884651,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i10|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i10,RY-RZ-CZ-line,14,84,6.0,10,gaussian,Z,0.0,96,96,2352,96,1.0,16384,16383,0.9848512496467048,0.4829209574114075,0.4903575033252637,0.0014814331049496,0.011882668176773,675.0220422771001,3.4177344369753698e-06,540.9172641747759,2,105,0.0059415344679326,0.006409082585607,0.9270491351251516,-0.0004675481176743,0.006409082585607,9.586176886121708e-05,-4.877315776962665,1.1105474628031489,1.1100799146854743,0.3849487419470957,0.3844811938294213,,,0,6.661338147750939e-16,1.5222415688082298e-16,1.1102230246251563e-15,1.5178830414797062e-17,-0.4439401607884651,12,0.2
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n16|d96|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i6,SU2-CNOT-line,16,96,6.0,6,gaussian,Z,0.0,96,96,4608,96,1.0,65536,65535,0.9985879789704908,0.4953980774443884,0.4960923354772837,0.0004307797406057,0.0108429591183078,2321.371934979488,2.948865196460041e-07,1841.50346387438,1,16,0.000229503285207,0.0002441443503471,0.9400311122528622,-1.4641065140065702e-05,0.0002441443503471,8.980767628557382e-06,-1.6302687861012564,0.4161741284530854,0.4161594873879454,0.0815273472325116,0.0815127061673716,,,0,4.218847493575595e-15,3.602828050526168e-16,3.996802888650564e-15,5.0957502106818716e-18,-0.4809685901155155,12,0.2
