profile,analysis_role,job_id,circuit_id,family,n,depth_factor,tangent_count_used,k,regular_fraction,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,theorem_bound_slack_sample
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i0,RY-RZ-CZ-line,14,6.0,96,1,1.0,3.1086244689504387e-15,4.666471338396599e-16,3.1086244689504387e-15,9.54097911787244e-18,-0.4524564751204561,0.4078028235964743
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i0,RY-RZ-CZ-line,14,6.0,96,2,1.0,3.1086244689504387e-15,4.666471338396599e-16,3.1086244689504387e-15,9.54097911787244e-18,-0.4524564751204561,1.1135708329517495
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n14|d84|i8|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n14|d84|i8,SU2-CNOT-line,14,6.0,96,1,1.0,2.664535259100376e-15,2.827608047949299e-16,2.4424906541753444e-15,1.0191500421363743e-17,-0.4688816449887364,0.3914810159192388
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n14|d84|i8|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n14|d84|i8,SU2-CNOT-line,14,6.0,96,2,1.0,2.664535259100376e-15,2.827608047949299e-16,2.4424906541753444e-15,1.0191500421363743e-17,-0.4688816449887364,1.0690494784913191
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-HaarU4-brickwork|n16|d96|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n16|d96|i4,SU2-HaarU4-brickwork,16,6.0,96,1,1.0,3.8191672047105385e-14,5.123885280286102e-15,3.7858605139717844e-14,5.854691731421724e-18,-0.451991166588734,0.4216450280355718
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-HaarU4-brickwork|n16|d96|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n16|d96|i4,SU2-HaarU4-brickwork,16,6.0,96,2,1.0,3.8191672047105385e-14,5.123885280286102e-15,3.7858605139717844e-14,5.854691731421724e-18,-0.451991166588734,1.2281139225798
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n16|d96|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n16|d96|i8,U1-RZ-XY-line,16,6.0,96,1,1.0,4.440892098500626e-16,4.901167101852097e-16,1.3322676295501878e-15,4.163336342344337e-17,-0.2403840949828201,0.3898226081034834
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n16|d96|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n16|d96|i8,U1-RZ-XY-line,16,6.0,96,2,1.0,4.440892098500626e-16,4.901167101852097e-16,1.3322676295501878e-15,4.163336342344337e-17,-0.2403840949828201,1.2963211722002923
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i1|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i1,RY-RZ-CZ-line,14,6.0,96,1,1.0,2.886579864025407e-15,4.813902889391893e-16,2.55351295663786e-15,1.3010426069826053e-17,-0.4564073099169141,0.4099303913980928
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i1|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i1,RY-RZ-CZ-line,14,6.0,96,2,1.0,2.886579864025407e-15,4.813902889391893e-16,2.55351295663786e-15,1.3010426069826053e-17,-0.4564073099169141,1.119481554921798
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n14|d84|i9|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n14|d84|i9,SU2-CNOT-line,14,6.0,96,1,1.0,1.2212453270876722e-15,1.344765745068934e-16,8.881784197001252e-16,9.75781955236954e-18,-0.4487406716217983,0.39168941098238
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n14|d84|i9|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n14|d84|i9,SU2-CNOT-line,14,6.0,96,2,1.0,1.2212453270876722e-15,1.344765745068934e-16,8.881784197001252e-16,9.75781955236954e-18,-0.4487406716217983,1.0698092320575516
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-HaarU4-brickwork|n16|d96|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n16|d96|i5,SU2-HaarU4-brickwork,16,6.0,96,1,1.0,3.186340080674199e-14,3.877297388697636e-15,3.2751579226442124e-14,5.854691731421724e-18,-0.4729657087039247,0.4221503291993885
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-HaarU4-brickwork|n16|d96|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n16|d96|i5,SU2-HaarU4-brickwork,16,6.0,96,2,1.0,3.186340080674199e-14,3.877297388697636e-15,3.2751579226442124e-14,5.854691731421724e-18,-0.4729657087039247,1.229584764196623
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n16|d96|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n16|d96|i9,U1-RZ-XY-line,16,6.0,96,1,1.0,2.220446049250313e-16,3.415462980194562e-16,4.440892098500626e-16,5.551115123125783e-17,-0.2657927568585335,0.3790582873740802
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n16|d96|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n16|d96|i9,U1-RZ-XY-line,16,6.0,96,2,1.0,2.220446049250313e-16,3.415462980194562e-16,4.440892098500626e-16,5.551115123125783e-17,-0.2657927568585335,1.2651219718919042
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i10|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i10,RY-RZ-CZ-line,14,6.0,96,1,1.0,6.661338147750939e-16,1.5222415688082298e-16,1.1102230246251563e-15,1.5178830414797062e-17,-0.4439401607884651,0.4065587281936601
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i10|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i10,RY-RZ-CZ-line,14,6.0,96,2,1.0,6.661338147750939e-16,1.5222415688082298e-16,1.1102230246251563e-15,1.5178830414797062e-17,-0.4439401607884651,1.1100799146854743
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n16|d96|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i6,SU2-CNOT-line,16,6.0,96,1,1.0,4.218847493575595e-15,3.602828050526168e-16,3.996802888650564e-15,5.0957502106818716e-18,-0.4809685901155155,0.4161594873879454
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n16|d96|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i6,SU2-CNOT-line,16,6.0,96,2,1.0,4.218847493575595e-15,3.602828050526168e-16,3.996802888650564e-15,5.0957502106818716e-18,-0.4809685901155155,1.2121918448260656
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n14|d84|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n14|d84|i2,U1-RZ-XY-line,14,6.0,96,1,1.0,3.3306690738754696e-15,1.2702602231536174e-15,3.552713678800501e-15,4.163336342344337e-17,-0.2360527495333169,0.3550364504154546
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n14|d84|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n14|d84|i2,U1-RZ-XY-line,14,6.0,96,2,1.0,3.3306690738754696e-15,1.2702602231536174e-15,3.552713678800501e-15,4.163336342344337e-17,-0.2360527495333169,1.170931513411816
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i11|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i11,RY-RZ-CZ-line,14,6.0,96,1,1.0,2.4424906541753444e-15,3.003290117683961e-16,2.220446049250313e-15,1.1275702593849246e-17,-0.4465387613206117,0.4086386143947622
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i11|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i11,RY-RZ-CZ-line,14,6.0,96,2,1.0,2.4424906541753444e-15,3.003290117683961e-16,2.220446049250313e-15,1.1275702593849246e-17,-0.4465387613206117,1.1158154142940138
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n16|d96|i7|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i7,SU2-CNOT-line,16,6.0,96,1,1.0,1.7763568394002505e-15,2.485313881356283e-16,2.220446049250313e-15,6.1257422745431e-18,-0.4765264696548407,0.4161098146588951
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n16|d96|i7|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i7,SU2-CNOT-line,16,6.0,96,2,1.0,1.7763568394002505e-15,2.485313881356283e-16,2.220446049250313e-15,6.1257422745431e-18,-0.4765264696548407,1.2120472289979856
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n14|d84|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n14|d84|i3,U1-RZ-XY-line,14,6.0,96,1,1.0,4.440892098500626e-16,2.172745481809025e-16,4.440892098500626e-16,5.551115123125783e-17,-0.2403987161102643,0.3452072257212717
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n14|d84|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n14|d84|i3,U1-RZ-XY-line,14,6.0,96,2,1.0,4.440892098500626e-16,2.172745481809025e-16,4.440892098500626e-16,5.551115123125783e-17,-0.2403987161102643,1.1326440279069545
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n16|d96|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n16|d96|i0,RY-RZ-CZ-line,16,6.0,96,1,1.0,8.881784197001252e-16,1.024003554061269e-16,4.440892098500626e-16,7.101524229780054e-18,-0.460942199973348,0.4286435270211218
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n16|d96|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n16|d96|i0,RY-RZ-CZ-line,16,6.0,96,2,1.0,8.881784197001252e-16,1.024003554061269e-16,4.440892098500626e-16,7.101524229780054e-18,-0.460942199973348,1.2484585500291538
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n16|d96|i8|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i8,SU2-CNOT-line,16,6.0,96,1,1.0,4.773959005888173e-15,4.339307877463901e-16,4.440892098500626e-15,6.0715321659188256e-18,-0.4829037053674459,0.4161921342446855
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n16|d96|i8|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i8,SU2-CNOT-line,16,6.0,96,2,1.0,4.773959005888173e-15,4.339307877463901e-16,4.440892098500626e-15,6.0715321659188256e-18,-0.4829037053674459,1.2122690073101268
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n14|d84|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n14|d84|i4,U1-RZ-XY-line,14,6.0,96,1,1.0,3.219646771412954e-15,1.3556911177415093e-15,2.7755575615628917e-15,5.551115123125783e-17,-0.2462835764517343,0.3415449912646565
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n14|d84|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n14|d84|i4,U1-RZ-XY-line,14,6.0,96,2,1.0,3.219646771412954e-15,1.3556911177415093e-15,2.7755575615628917e-15,5.551115123125783e-17,-0.2462835764517343,1.1187628664156994
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n16|d96|i1|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n16|d96|i1,RY-RZ-CZ-line,16,6.0,96,1,1.0,5.551115123125783e-15,8.228552548791224e-16,6.661338147750939e-15,7.37257477290143e-18,-0.4404622424659732,0.4281985925433443
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n16|d96|i1|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n16|d96|i1,RY-RZ-CZ-line,16,6.0,96,2,1.0,5.551115123125783e-15,8.228552548791224e-16,6.661338147750939e-15,7.37257477290143e-18,-0.4404622424659732,1.2472030209515814
