profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,metric,mean,ci95_low,ci95_high,families,circuits,estimator
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,generic_family_balanced,enhancement,0.9217211574449119,0.9095141233359249,0.9338746634995675,3,36,equal weight per ansatz family; circuit bootstrap within family
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,U1,enhancement,71.0250501816698,69.81673089977903,72.17979237119863,1,16,circuit bootstrap
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,generic_family_balanced,actual_retention,0.0007876516025287055,0.0007774097111516642,0.000798117678901228,3,36,equal weight per ansatz family; circuit bootstrap within family
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,U1,actual_retention,0.26911269378073654,0.26455109313911374,0.273457037939338,1,16,circuit bootstrap
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,generic_family_balanced,deff_pairwise,1084.444399739682,1076.3390558578403,1092.7249543819985,3,36,equal weight per ansatz family; circuit bootstrap within family
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,U1,deff_pairwise,52.35186303629633,51.430593909897695,53.12650826035982,1,16,circuit bootstrap
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,generic_family_balanced,pairwise_purity,0.0010696156540752223,0.0010571468995399203,0.0010823222705396132,3,36,equal weight per ansatz family; circuit bootstrap within family
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,U1,pairwise_purity,0.01912388507986997,0.018828935039106036,0.019492530560407773,1,16,circuit bootstrap
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,generic_family_balanced,sample_covariance_purity,0.011475140491011929,0.011462885005260033,0.01148771731209331,3,36,equal weight per ansatz family; circuit bootstrap within family
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,U1,sample_covariance_purity,0.029341344610287996,0.029054177381327588,0.02969117527680228,1,16,circuit bootstrap
