profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,contrast,difference,ci95_low,ci95_high,ci_excludes_zero,direction_if_excludes_zero
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,enhancement,U1 minus equal-weight generic-family mean,70.10332902422489,68.89541813487726,71.24799479631781,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,actual_retention,U1 minus equal-weight generic-family mean,0.26832504217820785,0.26361361448968257,0.2727134424662212,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,deff_pairwise,U1 minus equal-weight generic-family mean,-1032.0925367033856,-1040.5038998477955,-1023.956879841516,True,negative
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.018054269425794744,0.017762077835517504,0.018405665665274035,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.01707357003439952,-0.02098946313505527,-0.013455764033797361,True,negative
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.2653906037191081,0.2607371359354927,0.2697904256766456,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,enhancement,U1 minus equal-weight generic-family mean,17.815472298202522,17.65097862397949,17.968044438165073,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,actual_retention,U1 minus equal-weight generic-family mean,0.48624732387024033,0.4819135507235579,0.4904444430747048,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,deff_pairwise,U1 minus equal-weight generic-family mean,-1032.0925367033856,-1040.3808876425992,-1023.7877168893664,True,negative
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.018054269425794744,0.01776128275086328,0.018406286728001858,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.01707357003439952,-0.021138392601888586,-0.013286253720001136,True,negative
v2_large_n,large-n finite-size extension; not an asymptotic proof,14,6.0,gaussian,Z,0.0,96,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.466424987044597,0.4619056195078012,0.4704013262264478,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,1,enhancement,U1 minus equal-weight generic-family mean,204.35852997916086,200.03234652155092,208.85494593607183,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,1,actual_retention,U1 minus equal-weight generic-family mean,0.23904501412941154,0.23400691745447236,0.24433044572777396,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,1,deff_pairwise,U1 minus equal-weight generic-family mean,-1459.4415305131645,-1473.5389370549954,-1445.7797499050278,True,negative
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.013945153094636452,0.013657836714425654,0.014240615509247009,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.019710416919462903,-0.022399925669765876,-0.01684502230808899,True,negative
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.2381235667476893,0.23289780132735827,0.24341063341633806,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,2,enhancement,U1 minus equal-weight generic-family mean,46.69187305260016,46.34275898964972,47.058598570532,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,2,actual_retention,U1 minus equal-weight generic-family mean,0.43858975456832133,0.43517742671892107,0.44199118391294634,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,2,deff_pairwise,U1 minus equal-weight generic-family mean,-1459.4415305131645,-1473.3680123692075,-1446.06964000123,True,negative
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.013945153094636452,0.013654167535709156,0.01423285334548856,True,positive
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.019710416919462903,-0.02241209062399728,-0.016878186556273943,True,negative
v2_large_n,large-n finite-size extension; not an asymptotic proof,16,6.0,gaussian,Z,0.0,96,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.43141795380518877,0.4280781326231626,0.43474451639559586,True,positive
