profile,analysis_role,job_id,circuit_id,family,n,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,regular_tangents,regular_fraction
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i0,RY-RZ-CZ-line,14,6.0,0,gaussian,Z,0.0,96,96,1.0
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n14|d84|i8|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n14|d84|i8,SU2-CNOT-line,14,6.0,8,gaussian,Z,0.0,96,96,1.0
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-HaarU4-brickwork|n16|d96|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n16|d96|i4,SU2-HaarU4-brickwork,16,6.0,4,gaussian,Z,0.0,96,96,1.0
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n16|d96|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n16|d96|i8,U1-RZ-XY-line,16,6.0,8,gaussian,Z,0.0,96,96,1.0
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i1|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i1,RY-RZ-CZ-line,14,6.0,1,gaussian,Z,0.0,96,96,1.0
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n14|d84|i9|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n14|d84|i9,SU2-CNOT-line,14,6.0,9,gaussian,Z,0.0,96,96,1.0
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-HaarU4-brickwork|n16|d96|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n16|d96|i5,SU2-HaarU4-brickwork,16,6.0,5,gaussian,Z,0.0,96,96,1.0
v2_large_n,large-n finite-size extension; not an asymptotic proof,U1-RZ-XY-line|n16|d96|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n16|d96|i9,U1-RZ-XY-line,16,6.0,9,gaussian,Z,0.0,96,96,1.0
v2_large_n,large-n finite-size extension; not an asymptotic proof,RY-RZ-CZ-line|n14|d84|i10|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n14|d84|i10,RY-RZ-CZ-line,14,6.0,10,gaussian,Z,0.0,96,96,1.0
v2_large_n,large-n finite-size extension; not an asymptotic proof,SU2-CNOT-line|n16|d96|i6|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n16|d96|i6,SU2-CNOT-line,16,6.0,6,gaussian,Z,0.0,96,96,1.0
