profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,mean,ci95_low,ci95_high,circuits,relative_ci95_halfwidth,jackknife_max_shift,passes_min_circuits,passes_precision_flag,inference_ready
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,1,enhancement,0.9292457387753762,0.9097393317825632,0.9501880012465581,12,0.02176424802189622,0.005763751046209187,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,1,actual_retention,6.380648462082442e-05,6.24368569051794e-05,6.519717616865869e-05,12,0.021630397598948747,3.957668861337779e-07,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,1,deff_pairwise,1789.6603915969229,1743.9758274987623,1831.8886726811932,12,0.02456132057098994,14.88234256931355,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,1,pairwise_purity,0.0005598511337186834,0.0005467900124267368,0.0005745018989855174,12,0.024749335037254138,5.0156527049378735e-06,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,1,sample_covariance_purity,0.016176103459754315,0.016163000794802467,0.016190350552052587,12,0.0008453753191603001,4.9372831314245524e-06,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,1,trC3_u_stat,4.6885238721046587e-07,4.199931976537716e-07,5.196333129814486e-07,12,0.10625957982266708,1.5510794278514365e-08,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,1,Ffull_over_FQ_mean,0.497277633619756,0.4971168314196586,0.497435410056646,12,0.00032032270853244035,3.9519604634941086e-05,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,1,haar_alignment_z,-1.6694722261722312,-2.122696980625431,-1.1793372953696981,12,0.2825323088538794,0.13599517012362483,True,False,False
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,1,physical_minus_rank_baseline,-4.858328095898907e-06,-6.195483750681612e-06,-3.453530357650676e-06,12,0.28219104791888383,3.9576688613377195e-07,True,False,False
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,2,enhancement,0.9584184295480891,0.9525008829500359,0.9662005184200775,12,0.007147001271929433,0.0032054775899552634,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,2,actual_retention,0.0006251914087071166,0.0006212505178983084,0.0006302451198950104,12,0.007193478566270303,2.0909834246257523e-06,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,2,deff_pairwise,1789.6603915969229,1743.8227649135697,1832.1276934233406,12,0.02467086183624368,14.88234256931355,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,2,pairwise_purity,0.0005598511337186834,0.0005464990361149088,0.0005749198738705512,12,0.02538249549202796,5.0156527049378735e-06,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,2,sample_covariance_purity,0.016176103459754315,0.01616296188228046,0.01619101020482655,12,0.0008669678274459986,4.9372831314245524e-06,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,2,trC3_u_stat,4.6885238721046587e-07,4.189536282653516e-07,5.182726495538828e-07,12,0.10591715430889685,1.5510794278514365e-08,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,2,Ffull_over_FQ_mean,0.497277633619756,0.4971172357692574,0.4974341680014672,12,0.000318667290445785,3.9519604634941086e-05,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,2,haar_alignment_z,-3.0241752152447554,-3.4580325412313213,-2.4377248663298094,12,0.16869189155412997,0.23309121466351046,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork,18,6.0,gaussian,Z,0.0,64,2,physical_minus_rank_baseline,-2.7124312101703114e-05,-3.1067941925205584e-05,-2.194021490015583e-05,12,0.16825729977639933,2.0909834246283544e-06,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line,18,6.0,gaussian,Z,0.0,64,1,enhancement,615.4756327726393,599.3242579948087,632.1571722723761,16,0.026672797856886147,4.574724609383679,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line,18,6.0,gaussian,Z,0.0,64,1,actual_retention,0.21520569647946,0.20958042343265648,0.22099452448229512,16,0.026519049533449593,0.001599586958998006,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line,18,6.0,gaussian,Z,0.0,64,1,deff_pairwise,85.39897169562077,83.18134909773755,87.53849392147323,16,0.025510522768736766,0.5887028832080574,True,True,True
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line,18,6.0,gaussian,Z,0.0,64,1,pairwise_purity,0.011742567858231556,0.01144501184628309,0.012061268425519661,16,0.026240281796820714,8.784302286004957e-05,True,True,True
