profile,analysis_role,job_id,circuit_id,family,n,depth,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangents,tangent_count_used,parameter_count,regular_tangents,regular_fraction,support_size,score_dimension,FQ_mean,Ffull_mean,Ffull_over_FQ_mean,pairwise_purity,sample_covariance_purity,deff_pairwise,trC3_u_stat,renyi3_dimension_diag,k,readout_rank,actual_retention,rank_baseline,enhancement,physical_minus_rank_baseline,haar_null_mean,haar_null_std,haar_alignment_z,theorem_rhs_sample,theorem_bound_slack_sample,theorem_rhs_u_stat,theorem_bound_slack_u_stat,crossfit_kyfan,sample_lambda_max,sample_spectrum_rank,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,min_circuits_for_inference,max_relative_ci_halfwidth
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i0,SU2-HaarU4-brickwork,18,108,6.0,0,gaussian,Z,0.0,64,64,5832,64,1.0,262144,262143,0.9989443149754866,0.4968758968981502,0.4974012101427607,0.0005723315737479,0.0161883888929081,1747.2389186068808,6.394711242741237e-07,1250.5168005238036,1,18,6.794657336885664e-05,6.866481271672331e-05,0.9895399212573438,-7.182393478666696e-07,6.866481271672331e-05,2.911708435589887e-06,-0.246672825852895,0.5397243107976879,0.53972359255834,0.1011563188677684,0.1011556006284206,,,0,2.475797344914099e-14,2.2206500887647017e-15,2.4313884239290928e-14,3.198396408832238e-18,-0.4772963677369576,12,0.25
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i0,SU2-HaarU4-brickwork,18,108,6.0,0,gaussian,Z,0.0,64,64,5832,64,1.0,262144,262143,0.9989443149754866,0.4968758968981502,0.4974012101427607,0.0005723315737479,0.0161883888929081,1747.2389186068808,6.394711242741237e-07,1250.5168005238036,2,171,0.0006328028043217,0.0006523157208088,0.9700866990251868,-1.951291648715804e-05,0.0006523157208088,8.971868580232685e-06,-2.174899945608875,1.6630564814957176,1.6630369685792306,0.3116937080129958,0.3116741950965086,,,0,2.475797344914099e-14,2.2206500887647017e-15,2.4313884239290928e-14,3.198396408832238e-18,-0.4772963677369576,12,0.25
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i1,SU2-HaarU4-brickwork,18,108,6.0,1,gaussian,Z,0.0,64,64,5832,64,1.0,262144,262143,0.9978561772514212,0.4961369508749732,0.4972027064625214,0.0005774844198492,0.016193461225789,1731.6484490804114,4.993615337024424e-07,1415.117355724776,1,18,6.424923935027167e-05,6.866481271672331e-05,0.9356937972776816,-4.415573366451639e-06,6.866481271672331e-05,2.9121646724136134e-06,-1.516251264318784,0.53980888042775,0.5398044648543835,0.1016137082679008,0.1016092926945344,,,0,4.052314039881821e-14,6.256467076650927e-15,4.007905118896815e-14,4.282598581317743e-18,-0.4617873373335654,12,0.25
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i1,SU2-HaarU4-brickwork,18,108,6.0,1,gaussian,Z,0.0,64,64,5832,64,1.0,262144,262143,0.9978561772514212,0.4961369508749732,0.4972027064625214,0.0005774844198492,0.016193461225789,1731.6484490804114,4.993615337024424e-07,1415.117355724776,2,171,0.0006223858081248,0.0006523157208088,0.9541174438554352,-2.992991268399537e-05,0.0006523157208088,8.973274386107307e-06,-3.335450516294672,1.6633170665177346,1.6632871366050506,0.3131030653297588,0.3130731354170748,,,0,4.052314039881821e-14,6.256467076650927e-15,4.007905118896815e-14,4.282598581317743e-18,-0.4617873373335654,12,0.25
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i10|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i10,SU2-HaarU4-brickwork,18,108,6.0,10,gaussian,Z,0.0,64,64,5832,64,1.0,262144,262143,0.9942998414557632,0.494797873244529,0.4976446586559252,0.0005252946436119,0.0161420869148055,1903.6935026102865,4.020036610258728e-07,1577.193562933451,1,18,6.022136686496975e-05,6.866481271672331e-05,0.877033876337987,-8.443445851753561e-06,6.866481271672331e-05,2.9075404413931624e-06,-2.903982256462731,0.5389517170284288,0.5389432735825771,0.0968813410337848,0.096872897587933,,,0,3.4638958368304884e-14,4.448807641870217e-15,3.4527936065842375e-14,3.469446951953614e-18,-0.4600928737906797,12,0.25
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i10|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i10,SU2-HaarU4-brickwork,18,108,6.0,10,gaussian,Z,0.0,64,64,5832,64,1.0,262144,262143,0.9942998414557632,0.494797873244529,0.4976446586559252,0.0005252946436119,0.0161420869148055,1903.6935026102865,4.020036610258728e-07,1577.193562933451,2,171,0.0006174142225805,0.0006523157208088,0.9464960032159818,-3.4901498228322365e-05,0.0006523157208088,8.959025709113068e-06,-3.8956801064674655,1.660675882642146,1.6606409811439176,0.2985211874264216,0.2984862859281933,,,0,3.4638958368304884e-14,4.448807641870217e-15,3.4527936065842375e-14,3.469446951953614e-18,-0.4600928737906797,12,0.25
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i11|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i11,SU2-HaarU4-brickwork,18,108,6.0,11,gaussian,Z,0.0,64,64,5832,64,1.0,262144,262143,0.9884194085513056,0.4915795821041938,0.4973365113483985,0.0005515669063324,0.0161679486734209,1813.0166776128783,4.1587372903681973e-07,1550.6695422176963,1,18,5.984550421167963e-05,6.866481271672331e-05,0.8715600005867964,-8.81930850504368e-06,6.866481271672331e-05,2.909869191564853e-06,-3.030826447666152,0.5393833821862697,0.5393745628777646,0.0992918047868671,0.099282985478362,,,0,3.874678355941796e-14,3.0882449065328626e-15,3.907985046680551e-14,3.089976191583688e-18,-0.4582752868046604,12,0.25
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i11|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i11,SU2-HaarU4-brickwork,18,108,6.0,11,gaussian,Z,0.0,64,64,5832,64,1.0,262144,262143,0.9884194085513056,0.4915795821041938,0.4973365113483985,0.0005515669063324,0.0161679486734209,1813.0166776128783,4.1587372903681973e-07,1550.6695422176963,2,171,0.0006269953020227,0.0006523157208088,0.9611837980008038,-2.5320418786168404e-05,0.0006523157208088,8.96620130411469e-06,-2.823985088818894,1.66200597566227,1.661980655243484,0.3059485670863249,0.3059232466675387,,,0,3.874678355941796e-14,3.0882449065328626e-15,3.907985046680551e-14,3.089976191583688e-18,-0.4582752868046604,12,0.25
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i0,U1-RZ-XY-line,18,108,6.0,0,gaussian,Z,0.0,64,64,2862,64,1.0,48620,48619,0.7382311187770929,0.3532376865667547,0.4788405354428595,0.0119320829118989,0.0273706441164005,83.80766437708665,0.0001884693845329,72.84161964523781,1,17,0.2150986718054912,0.0003496575412904,615.1695485006576,0.2147490142642008,0.0003496575412904,1.9830437646950196e-05,10829.262474559053,0.681754148290852,0.4670051340266512,0.449916600932039,0.2351675866678382,,,0,1.1102230246251563e-15,1.7356756611792294e-16,0.0,5.551115123125783e-17,-0.2538386524183879,12,0.25
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i0,U1-RZ-XY-line,18,108,6.0,0,gaussian,Z,0.0,64,64,2862,64,1.0,48620,48619,0.7382311187770929,0.3532376865667547,0.4788405354428595,0.0119320829118989,0.0273706441164005,83.80766437708665,0.0001884693845329,72.84161964523781,2,152,0.4062942954779828,0.0031263497809498,129.95804178844767,0.4031679456970329,0.0031263497809498,5.92141679334585e-05,6808.639887502769,2.0357344272951576,1.632566481598125,1.343461886114142,0.9402939404171088,,,0,1.1102230246251563e-15,1.7356756611792294e-16,0.0,5.551115123125783e-17,-0.2538386524183879,12,0.25
