profile,analysis_role,job_id,circuit_id,family,n,depth_factor,tangent_count_used,k,regular_fraction,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,theorem_bound_slack_sample
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i0,SU2-HaarU4-brickwork,18,6.0,64,1,1.0,2.475797344914099e-14,2.2206500887647017e-15,2.4313884239290928e-14,3.198396408832238e-18,-0.4772963677369576,0.53972359255834
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i0,SU2-HaarU4-brickwork,18,6.0,64,2,1.0,2.475797344914099e-14,2.2206500887647017e-15,2.4313884239290928e-14,3.198396408832238e-18,-0.4772963677369576,1.6630369685792306
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i1,SU2-HaarU4-brickwork,18,6.0,64,1,1.0,4.052314039881821e-14,6.256467076650927e-15,4.007905118896815e-14,4.282598581317743e-18,-0.4617873373335654,0.5398044648543835
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i1,SU2-HaarU4-brickwork,18,6.0,64,2,1.0,4.052314039881821e-14,6.256467076650927e-15,4.007905118896815e-14,4.282598581317743e-18,-0.4617873373335654,1.6632871366050506
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i10|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i10,SU2-HaarU4-brickwork,18,6.0,64,1,1.0,3.4638958368304884e-14,4.448807641870217e-15,3.4527936065842375e-14,3.469446951953614e-18,-0.4600928737906797,0.5389432735825771
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i10|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i10,SU2-HaarU4-brickwork,18,6.0,64,2,1.0,3.4638958368304884e-14,4.448807641870217e-15,3.4527936065842375e-14,3.469446951953614e-18,-0.4600928737906797,1.6606409811439176
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i11|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i11,SU2-HaarU4-brickwork,18,6.0,64,1,1.0,3.874678355941796e-14,3.0882449065328626e-15,3.907985046680551e-14,3.089976191583688e-18,-0.4582752868046604,0.5393745628777646
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i11|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i11,SU2-HaarU4-brickwork,18,6.0,64,2,1.0,3.874678355941796e-14,3.0882449065328626e-15,3.907985046680551e-14,3.089976191583688e-18,-0.4582752868046604,1.661980655243484
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i0,U1-RZ-XY-line,18,6.0,64,1,1.0,1.1102230246251563e-15,1.7356756611792294e-16,0.0,5.551115123125783e-17,-0.2538386524183879,0.4670051340266512
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i0,U1-RZ-XY-line,18,6.0,64,2,1.0,1.1102230246251563e-15,1.7356756611792294e-16,0.0,5.551115123125783e-17,-0.2538386524183879,1.632566481598125
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i1,U1-RZ-XY-line,18,6.0,64,1,1.0,4.440892098500626e-16,3.150098840487455e-16,6.661338147750939e-16,6.245004513516506e-17,-0.2750650473717338,0.4576477122394092
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i1,U1-RZ-XY-line,18,6.0,64,2,1.0,4.440892098500626e-16,3.150098840487455e-16,6.661338147750939e-16,6.245004513516506e-17,-0.2750650473717338,1.6136865356075805
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i2,U1-RZ-XY-line,18,6.0,64,1,1.0,2.220446049250313e-15,1.2082080800004176e-15,3.552713678800501e-15,6.938893903907227e-17,-0.2940284867494517,0.4720310243507162
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i2,U1-RZ-XY-line,18,6.0,64,2,1.0,2.220446049250313e-15,1.2082080800004176e-15,3.552713678800501e-15,6.938893903907227e-17,-0.2940284867494517,1.6210539756123188
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i3,U1-RZ-XY-line,18,6.0,64,1,1.0,6.661338147750939e-16,4.95309647439914e-16,1.3322676295501878e-15,4.8572257327350605e-17,-0.2698716835851581,0.4675276368152564
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i3,U1-RZ-XY-line,18,6.0,64,2,1.0,6.661338147750939e-16,4.95309647439914e-16,1.3322676295501878e-15,4.8572257327350605e-17,-0.2698716835851581,1.6246273471582096
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i4,U1-RZ-XY-line,18,6.0,64,1,1.0,7.771561172376097e-16,4.800983154177583e-16,7.771561172376097e-16,5.551115123125783e-17,-0.2926857138016337,0.455821281502443
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i4,U1-RZ-XY-line,18,6.0,64,2,1.0,7.771561172376097e-16,4.800983154177583e-16,7.771561172376097e-16,5.551115123125783e-17,-0.2926857138016337,1.631611440666406
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i5|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i5,U1-RZ-XY-line,18,6.0,64,1,1.0,1.1102230246251563e-15,4.2855592099931573e-16,8.881784197001252e-16,5.551115123125783e-17,-0.2919177738290212,0.477342756788402
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i5|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i5,U1-RZ-XY-line,18,6.0,64,2,1.0,1.1102230246251563e-15,4.2855592099931573e-16,8.881784197001252e-16,5.551115123125783e-17,-0.2919177738290212,1.6740714079055137
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i6,U1-RZ-XY-line,18,6.0,64,1,1.0,2.664535259100376e-15,1.2393803486548602e-15,3.1086244689504387e-15,5.551115123125783e-17,-0.2673368939083994,0.4423811363262597
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i6,U1-RZ-XY-line,18,6.0,64,2,1.0,2.664535259100376e-15,1.2393803486548602e-15,3.1086244689504387e-15,5.551115123125783e-17,-0.2673368939083994,1.625015807400691
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i7|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i7,U1-RZ-XY-line,18,6.0,64,1,1.0,1.1102230246251563e-16,3.798240483029155e-16,4.440892098500626e-16,6.938893903907227e-17,-0.2193806465552988,0.4676804360274552
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i7|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i7,U1-RZ-XY-line,18,6.0,64,2,1.0,1.1102230246251563e-16,3.798240483029155e-16,4.440892098500626e-16,6.938893903907227e-17,-0.2193806465552988,1.670709441259537
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i2,SU2-HaarU4-brickwork,18,6.0,64,1,1.0,4.0412118096355704e-14,3.891201707387563e-15,4.030109579389318e-14,2.818925648462312e-18,-0.4586164893672353,0.5390507798183743
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i2,SU2-HaarU4-brickwork,18,6.0,64,2,1.0,4.0412118096355704e-14,3.891201707387563e-15,4.030109579389318e-14,2.818925648462312e-18,-0.4586164893672353,1.6609952025684684
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i8,U1-RZ-XY-line,18,6.0,64,1,1.0,2.220446049250313e-16,1.7426145643510156e-16,2.220446049250313e-16,5.551115123125783e-17,-0.268412737754682,0.4719996354463025
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i8,U1-RZ-XY-line,18,6.0,64,2,1.0,2.220446049250313e-16,1.7426145643510156e-16,2.220446049250313e-16,5.551115123125783e-17,-0.268412737754682,1.6237476261040635
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i9,U1-RZ-XY-line,18,6.0,64,1,1.0,1.3322676295501878e-15,8.134968198334144e-16,1.5543122344752194e-15,1.3877787807814454e-16,-0.2705023527450589,0.4631446856214664
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i9,U1-RZ-XY-line,18,6.0,64,2,1.0,1.3322676295501878e-15,8.134968198334144e-16,1.5543122344752194e-15,1.3877787807814454e-16,-0.2705023527450589,1.6131350564671258
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i10|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i10,U1-RZ-XY-line,18,6.0,64,1,1.0,2.4424906541753444e-15,6.511835178978461e-16,1.7763568394002505e-15,7.63278329429795e-17,-0.2948573607012784,0.4542635888650634
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i10|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i10,U1-RZ-XY-line,18,6.0,64,2,1.0,2.4424906541753444e-15,6.511835178978461e-16,1.7763568394002505e-15,7.63278329429795e-17,-0.2948573607012784,1.6345626636070136
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i11|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i11,U1-RZ-XY-line,18,6.0,64,1,1.0,1.7763568394002505e-15,8.985417288344889e-16,2.220446049250313e-15,4.163336342344337e-17,-0.2769814759608905,0.468048191858319
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i11|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i11,U1-RZ-XY-line,18,6.0,64,2,1.0,1.7763568394002505e-15,8.985417288344889e-16,2.220446049250313e-15,4.163336342344337e-17,-0.2769814759608905,1.6160291987034665
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i12|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i12,U1-RZ-XY-line,18,6.0,64,1,1.0,6.661338147750939e-16,3.093735293209714e-16,6.661338147750939e-16,4.163336342344337e-17,-0.3162698925132474,0.4820807910220101
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i12|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i12,U1-RZ-XY-line,18,6.0,64,2,1.0,6.661338147750939e-16,3.093735293209714e-16,6.661338147750939e-16,4.163336342344337e-17,-0.3162698925132474,1.653519513755248
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i13|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i13,U1-RZ-XY-line,18,6.0,64,1,1.0,6.661338147750939e-16,6.172516780384483e-16,1.3322676295501878e-15,6.245004513516506e-17,-0.2874446008978548,0.4670732647560736
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i13|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i13,U1-RZ-XY-line,18,6.0,64,2,1.0,6.661338147750939e-16,6.172516780384483e-16,1.3322676295501878e-15,6.245004513516506e-17,-0.2874446008978548,1.6530687881817794
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i14|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i14,U1-RZ-XY-line,18,6.0,64,1,1.0,3.774758283725532e-15,9.196729342801195e-16,3.1086244689504387e-15,4.8572257327350605e-17,-0.2878000764468542,0.4693158089385791
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i14|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i14,U1-RZ-XY-line,18,6.0,64,2,1.0,3.774758283725532e-15,9.196729342801195e-16,3.1086244689504387e-15,4.8572257327350605e-17,-0.2878000764468542,1.6183624058213355
