profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,metric,mean,ci95_low,ci95_high,families,circuits,estimator
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,enhancement,0.9292457387753762,0.9094103405976071,0.9493640487840986,1,12,equal weight per ansatz family; circuit bootstrap within family
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,U1,enhancement,615.4756327726393,599.2784415244239,632.5635270861301,1,16,circuit bootstrap
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,actual_retention,6.380648462082442e-05,6.243813759965118e-05,6.520220190428209e-05,1,12,equal weight per ansatz family; circuit bootstrap within family
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,U1,actual_retention,0.21520569647946,0.20943996296996037,0.22109785402549686,1,16,circuit bootstrap
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,deff_pairwise,1789.6603915969229,1743.6725142121836,1831.8677093927945,1,12,equal weight per ansatz family; circuit bootstrap within family
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,U1,deff_pairwise,85.39897169562077,83.18679551232836,87.49919919180391,1,16,circuit bootstrap
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,pairwise_purity,0.0005598511337186834,0.0005463808754654279,0.0005746286467333898,1,12,equal weight per ansatz family; circuit bootstrap within family
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,U1,pairwise_purity,0.011742567858231556,0.01144459612660721,0.012064078822307572,1,16,circuit bootstrap
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,generic_family_balanced,sample_covariance_purity,0.016176103459754315,0.016163246372605685,0.016190999104812722,1,12,equal weight per ansatz family; circuit bootstrap within family
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,U1,sample_covariance_purity,0.027184090235446712,0.026893605616446128,0.027500067762322677,1,16,circuit bootstrap
