profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,contrast,difference,ci95_low,ci95_high,ci_excludes_zero,direction_if_excludes_zero
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,enhancement,U1 minus equal-weight generic-family mean,614.5463870338639,598.52871206987,631.9068568499722,True,positive
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,actual_retention,U1 minus equal-weight generic-family mean,0.21514188999483919,0.20960108243233255,0.22121315172529332,True,positive
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,deff_pairwise,U1 minus equal-weight generic-family mean,-1704.2614199013021,-1746.6444755853008,-1658.229028612051,True,negative
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.011182716724512872,0.010889863579214962,0.011508062239534466,True,positive
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.021017281954473832,-0.023875551212905466,-0.018233110150909018,True,negative
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.2148608972662655,0.20909127054328022,0.22087610422867499,True,positive
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,2,enhancement,U1 minus equal-weight generic-family mean,127.2185350259636,125.58673898489391,128.7453076573269,True,positive
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,2,actual_retention,U1 minus equal-weight generic-family mean,0.40010079894974904,0.3951272254481718,0.4048235587280925,True,positive
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,2,deff_pairwise,U1 minus equal-weight generic-family mean,-1704.2614199013021,-1746.9551179065297,-1659.3716257447907,True,negative
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.011182716724512872,0.010884390184633738,0.011506003334217823,True,positive
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.021017281954473832,-0.023908188125343358,-0.018204103976667153,True,negative
v2_n18,targeted n=18 stress test; infer only if precision flags pass,18,6.0,gaussian,Z,0.0,64,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.397626764889608,0.39265396229380317,0.4022449223974642,True,positive
