profile,analysis_role,job_id,circuit_id,family,n,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,regular_tangents,regular_fraction
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i0,SU2-HaarU4-brickwork,18,6.0,0,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i1,SU2-HaarU4-brickwork,18,6.0,1,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i10|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i10,SU2-HaarU4-brickwork,18,6.0,10,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i11|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i11,SU2-HaarU4-brickwork,18,6.0,11,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i0,U1-RZ-XY-line,18,6.0,0,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i1,U1-RZ-XY-line,18,6.0,1,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i2,U1-RZ-XY-line,18,6.0,2,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i3,U1-RZ-XY-line,18,6.0,3,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i4,U1-RZ-XY-line,18,6.0,4,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i5|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i5,U1-RZ-XY-line,18,6.0,5,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i6,U1-RZ-XY-line,18,6.0,6,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i7|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i7,U1-RZ-XY-line,18,6.0,7,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i2,SU2-HaarU4-brickwork,18,6.0,2,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i8|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i8,U1-RZ-XY-line,18,6.0,8,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i9|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i9,U1-RZ-XY-line,18,6.0,9,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i10|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i10,U1-RZ-XY-line,18,6.0,10,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i11|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i11,U1-RZ-XY-line,18,6.0,11,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i12|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i12,U1-RZ-XY-line,18,6.0,12,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i13|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i13,U1-RZ-XY-line,18,6.0,13,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i14|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i14,U1-RZ-XY-line,18,6.0,14,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,U1-RZ-XY-line|n18|d108|i15|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n18|d108|i15,U1-RZ-XY-line,18,6.0,15,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i3,SU2-HaarU4-brickwork,18,6.0,3,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i4|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i4,SU2-HaarU4-brickwork,18,6.0,4,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i5|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i5,SU2-HaarU4-brickwork,18,6.0,5,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i6|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i6,SU2-HaarU4-brickwork,18,6.0,6,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i7|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i7,SU2-HaarU4-brickwork,18,6.0,7,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i8|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i8,SU2-HaarU4-brickwork,18,6.0,8,gaussian,Z,0.0,64,64,1.0
v2_n18,targeted n=18 stress test; infer only if precision flags pass,SU2-HaarU4-brickwork|n18|d108|i9|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n18|d108|i9,SU2-HaarU4-brickwork,18,6.0,9,gaussian,Z,0.0,64,64,1.0
