profile,analysis_role,job_id,circuit_id,family,n,depth,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangents,tangent_count_used,parameter_count,regular_tangents,regular_fraction,support_size,score_dimension,FQ_mean,Ffull_mean,Ffull_over_FQ_mean,pairwise_purity,sample_covariance_purity,deff_pairwise,trC3_u_stat,renyi3_dimension_diag,k,readout_rank,actual_retention,rank_baseline,enhancement,physical_minus_rank_baseline,haar_null_mean,haar_null_std,haar_alignment_z,theorem_rhs_sample,theorem_bound_slack_sample,theorem_rhs_u_stat,theorem_bound_slack_u_stat,crossfit_kyfan,sample_lambda_max,sample_spectrum_rank,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,min_circuits_for_inference,max_relative_ci_halfwidth
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,48,6.0,0,gaussian,Z,0.0,160,160,1152,160,1.0,256,255,0.9881257255907194,0.4853142018458938,0.4913636932823332,0.0058597677111649,0.0120731441629701,170.65522889152118,4.4254212479627866e-05,150.32205064569266,1,8,0.0320531500816454,0.0313725490196078,1.0216941588524475,0.0006806010620375,0.0313725490196078,0.0013911556899233,0.4892342869798162,0.2513299000508149,0.2506492989887773,0.1225526119819694,0.1218720109199318,,,0,1.9984014443252818e-15,3.3740483093649286e-16,2.220446049250313e-15,5.551115123125783e-17,-0.3920784974185924,4,0.3
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,48,6.0,0,gaussian,Z,0.0,160,160,1152,160,1.0,256,255,0.9881257255907194,0.4853142018458938,0.4913636932823332,0.0058597677111649,0.0120731441629701,170.65522889152118,4.4254212479627866e-05,150.32205064569266,2,36,0.1454005890860243,0.1411764705882353,1.0299208393593389,0.004224118497789,0.1411764705882353,0.0027787890194272,1.5201292607164807,0.5020234410667721,0.497799322568983,0.244794924783999,0.2405708062862099,,,0,1.9984014443252818e-15,3.3740483093649286e-16,2.220446049250313e-15,5.551115123125783e-17,-0.3920784974185924,4,0.3
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,48,6.0,1,gaussian,Z,0.0,160,160,1152,160,1.0,256,255,0.9832289118694564,0.4803171062228674,0.4883380998993475,0.0059042498589868,0.0121173482973681,169.36952599963382,4.58334417597752e-05,147.7096144593616,1,8,0.0299698935587992,0.0313725490196078,0.9552903571867256,-0.0014026554608086,0.0313725490196078,0.0013949225500834,-1.0055436129587896,0.2520104310613951,0.2506077756005865,0.1239509408567506,0.1225482853959419,,,0,9.992007221626409e-16,1.8504964996880726e-16,8.881784197001252e-16,7.28583859910259e-17,-0.4014508127813159,4,0.3
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,48,6.0,1,gaussian,Z,0.0,160,160,1152,160,1.0,256,255,0.9832289118694564,0.4803171062228674,0.4883380998993475,0.0059042498589868,0.0121173482973681,169.36952599963382,4.58334417597752e-05,147.7096144593616,2,36,0.1347454777153279,0.1411764705882353,0.9544471338169064,-0.0064309928729073,0.1411764705882353,0.0027863132021814,-2.3080653201055625,0.5033827800058122,0.4969517871329048,0.2475880420108737,0.2411570491379664,,,0,9.992007221626409e-16,1.8504964996880726e-16,8.881784197001252e-16,7.28583859910259e-17,-0.4014508127813159,4,0.3
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i2,SU2-HaarU4-brickwork,8,48,6.0,2,gaussian,Z,0.0,160,160,1152,160,1.0,256,255,0.9834645422045596,0.4855542681117359,0.4938270623231807,0.0073733999078675,0.0135773161584433,135.6226452512072,7.363442523926053e-05,116.53585031313656,1,8,0.028300276611823,0.0313725490196078,0.9020713170018606,-0.0030722724077847,0.0313725490196078,0.001514076813123,-2.029139064251136,0.2735371582546744,0.2704648858468896,0.1635491005016965,0.1604768280939117,,,0,4.329869796038111e-15,8.899554112628464e-16,4.329869796038111e-15,5.377642775528102e-17,-0.3161271012499609,4,0.3
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i2,SU2-HaarU4-brickwork,8,48,6.0,2,gaussian,Z,0.0,160,160,1152,160,1.0,256,255,0.9834645422045596,0.4855542681117359,0.4938270623231807,0.0073733999078675,0.0135773161584433,135.6226452512072,7.363442523926053e-05,116.53585031313656,2,36,0.1361389342678034,0.1411764705882353,0.9643174510636076,-0.0050375363204318,0.1411764705882353,0.0030243200335883,-1.6656756773372656,0.5463817294276307,0.541344193107199,0.3266841000638467,0.3216465637434148,,,0,4.329869796038111e-15,8.899554112628464e-16,4.329869796038111e-15,5.377642775528102e-17,-0.3161271012499609,4,0.3
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i3,SU2-HaarU4-brickwork,8,48,6.0,3,gaussian,Z,0.0,160,160,1152,160,1.0,256,255,0.9779577592004708,0.4805605645867787,0.4913203395327194,0.0074185663143395,0.0136222002748749,134.79693482918296,7.846910652041336e-05,112.88874532492324,1,8,0.0290658871762242,0.0313725490196078,0.9264751537421484,-0.0023066618433835,0.0313725490196078,0.0015175917770438,-1.5199488283185223,0.2741721810183371,0.2718655191749535,0.1646156239373456,0.162308962093962,,,0,8.326672684688674e-15,1.7295379146861508e-15,8.326672684688674e-15,6.938893903907227e-17,-0.3659796238628822,4,0.3
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i3,SU2-HaarU4-brickwork,8,48,6.0,3,gaussian,Z,0.0,160,160,1152,160,1.0,256,255,0.9779577592004708,0.4805605645867787,0.4913203395327194,0.0074185663143395,0.0136222002748749,134.79693482918296,7.846910652041336e-05,112.88874532492324,2,36,0.1383076475282223,0.1411764705882353,0.9796791699915748,-0.0028688230600129,0.1411764705882353,0.0030313410616569,-0.9463874244638192,0.5476501670982192,0.5447813440382063,0.3288144465329086,0.3259456234728956,,,0,8.326672684688674e-15,1.7295379146861508e-15,8.326672684688674e-15,6.938893903907227e-17,-0.3659796238628822,4,0.3
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i0,SU2-HaarU4-brickwork,10,60,6.0,0,gaussian,Z,0.0,160,160,1800,160,1.0,1024,1023,0.9905954592387144,0.4905507300531189,0.4951246709235376,0.0030230765117619,0.0092541822835634,330.78884907784106,1.3038853322457325e-05,276.9365643415499,1,10,0.0089344008255657,0.0097751710654936,0.9139892044553798,-0.0008407702399278,0.0097751710654936,0.0003955689699245,-2.125470660876531,0.2862823668872565,0.2854415966473287,0.1423223001536313,0.1414815299137034,,,0,1.7763568394002505e-14,3.2405171114014266e-15,1.7985612998927536e-14,5.551115123125783e-17,-0.4010853124205515,4,0.3
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i0,SU2-HaarU4-brickwork,10,60,6.0,0,gaussian,Z,0.0,160,160,1800,160,1.0,1024,1023,0.9905954592387144,0.4905507300531189,0.4951246709235376,0.0030230765117619,0.0092541822835634,330.78884907784106,1.3038853322457325e-05,276.9365643415499,2,55,0.052079088157356,0.053763440860215,0.968671039726822,-0.001684352702859,0.053763440860215,0.00090685221293,-1.8573618488693704,0.6563098161720154,0.6546254634691564,0.3262775967190248,0.3245932440161658,,,0,1.7763568394002505e-14,3.2405171114014266e-15,1.7985612998927536e-14,5.551115123125783e-17,-0.4010853124205515,4,0.3
