profile,analysis_role,job_id,circuit_id,family,n,depth_factor,tangent_count_used,k,regular_fraction,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,theorem_bound_slack_sample
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,160,1,1.0,1.9984014443252818e-15,3.3740483093649286e-16,2.220446049250313e-15,5.551115123125783e-17,-0.3920784974185924,0.2506492989887773
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,160,2,1.0,1.9984014443252818e-15,3.3740483093649286e-16,2.220446049250313e-15,5.551115123125783e-17,-0.3920784974185924,0.497799322568983
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,6.0,160,1,1.0,9.992007221626409e-16,1.8504964996880726e-16,8.881784197001252e-16,7.28583859910259e-17,-0.4014508127813159,0.2506077756005865
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,6.0,160,2,1.0,9.992007221626409e-16,1.8504964996880726e-16,8.881784197001252e-16,7.28583859910259e-17,-0.4014508127813159,0.4969517871329048
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i2,SU2-HaarU4-brickwork,8,6.0,160,1,1.0,4.329869796038111e-15,8.899554112628464e-16,4.329869796038111e-15,5.377642775528102e-17,-0.3161271012499609,0.2704648858468896
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i2,SU2-HaarU4-brickwork,8,6.0,160,2,1.0,4.329869796038111e-15,8.899554112628464e-16,4.329869796038111e-15,5.377642775528102e-17,-0.3161271012499609,0.541344193107199
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i3,SU2-HaarU4-brickwork,8,6.0,160,1,1.0,8.326672684688674e-15,1.7295379146861508e-15,8.326672684688674e-15,6.938893903907227e-17,-0.3659796238628822,0.2718655191749535
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i3,SU2-HaarU4-brickwork,8,6.0,160,2,1.0,8.326672684688674e-15,1.7295379146861508e-15,8.326672684688674e-15,6.938893903907227e-17,-0.3659796238628822,0.5447813440382063
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i0,SU2-HaarU4-brickwork,10,6.0,160,1,1.0,1.7763568394002505e-14,3.2405171114014266e-15,1.7985612998927536e-14,5.551115123125783e-17,-0.4010853124205515,0.2854415966473287
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i0,SU2-HaarU4-brickwork,10,6.0,160,2,1.0,1.7763568394002505e-14,3.2405171114014266e-15,1.7985612998927536e-14,5.551115123125783e-17,-0.4010853124205515,0.6546254634691564
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i1,SU2-HaarU4-brickwork,10,6.0,160,1,1.0,4.440892098500626e-15,9.792978806121603e-16,4.551914400963142e-15,6.938893903907227e-17,-0.3928438593830319,0.2863560137673658
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i1,SU2-HaarU4-brickwork,10,6.0,160,2,1.0,4.440892098500626e-15,9.792978806121603e-16,4.551914400963142e-15,6.938893903907227e-17,-0.3928438593830319,0.6564040259957021
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i2,SU2-HaarU4-brickwork,10,6.0,160,1,1.0,1.63202784619898e-14,3.533658971883942e-15,1.6209256159527282e-14,4.6837533851373785e-17,-0.4012054450228291,0.2844294502402442
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i2,SU2-HaarU4-brickwork,10,6.0,160,2,1.0,1.63202784619898e-14,3.533658971883942e-15,1.6209256159527282e-14,4.6837533851373785e-17,-0.4012054450228291,0.652639776830916
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i3,SU2-HaarU4-brickwork,10,6.0,160,1,1.0,1.3211653993039364e-14,2.395653365662972e-15,1.3322676295501878e-14,4.163336342344337e-17,-0.3943538013016199,0.2859480977606215
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i3,SU2-HaarU4-brickwork,10,6.0,160,2,1.0,1.3211653993039364e-14,2.395653365662972e-15,1.3322676295501878e-14,4.163336342344337e-17,-0.3943538013016199,0.6554814467879848
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i0,U1-RZ-XY-line,8,6.0,160,1,1.0,4.440892098500626e-16,3.9252311467094383e-16,4.440892098500626e-16,9.020562075079396e-17,-0.1467677902089798,0.2191620908054935
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i0,U1-RZ-XY-line,8,6.0,160,2,1.0,4.440892098500626e-16,3.9252311467094383e-16,4.440892098500626e-16,9.020562075079396e-17,-0.1467677902089798,0.5687499408725532
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i1,U1-RZ-XY-line,8,6.0,160,1,1.0,8.881784197001252e-16,4.441434166503682e-16,8.881784197001252e-16,8.326672684688674e-17,-0.1625899124136314,0.2551724506187351
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i1,U1-RZ-XY-line,8,6.0,160,2,1.0,8.881784197001252e-16,4.441434166503682e-16,8.881784197001252e-16,8.326672684688674e-17,-0.1625899124136314,0.5890293989325441
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i2,U1-RZ-XY-line,8,6.0,160,1,1.0,1.1102230246251563e-15,4.651129766017029e-16,8.881784197001252e-16,1.52655665885959e-16,-0.1359154439856892,0.2624506760786788
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i2,U1-RZ-XY-line,8,6.0,160,2,1.0,1.1102230246251563e-15,4.651129766017029e-16,8.881784197001252e-16,1.52655665885959e-16,-0.1359154439856892,0.6067568124406437
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i3,U1-RZ-XY-line,8,6.0,160,1,1.0,9.992007221626409e-16,5.134781488891349e-16,1.1102230246251563e-15,6.245004513516506e-17,-0.1447652398122603,0.2417410820125729
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i3,U1-RZ-XY-line,8,6.0,160,2,1.0,9.992007221626409e-16,5.134781488891349e-16,1.1102230246251563e-15,6.245004513516506e-17,-0.1447652398122603,0.5491669898451816
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i2,SU2-CNOT-line,8,6.0,160,1,1.0,9.992007221626409e-16,1.6223374714482604e-16,1.1102230246251563e-15,7.199102425303751e-17,-0.3665068294035227,0.2490528491870222
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i2,SU2-CNOT-line,8,6.0,160,2,1.0,9.992007221626409e-16,1.6223374714482604e-16,1.1102230246251563e-15,7.199102425303751e-17,-0.3665068294035227,0.4975254812898484
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i4,U1-RZ-XY-line,8,6.0,160,1,1.0,4.440892098500626e-16,3.169373497427319e-16,4.440892098500626e-16,6.938893903907227e-17,-0.1652568484778839,0.2249615177719367
