profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,mean_physical_minus_rank_baseline,ci95_low,ci95_high,circuits,fraction_positive,median_haar_z
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,160,1,-0.000649005996571675,-0.0014918192607431002,0.00019380726759975003,4,0.25,-0.6089129974726647
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,160,2,-0.00235008061364525,-0.006544793131878251,0.00184463190458775,4,0.25,-1.251037248288421
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line,10,6.0,gaussian,Z,0.0,160,1,-5.667778025499999e-05,-0.00026772657377365,0.00022046445548935004,4,0.25,-0.3272260841251655
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line,10,6.0,gaussian,Z,0.0,160,2,-0.00043068992889675004,-0.00077597289001625,0.00014969767311527496,4,0.25,-0.7857580342905587
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork,8,6.0,gaussian,Z,0.0,160,1,-0.0025668080665596253,-0.00322143573457675,-0.0019063423172223,4,0.0,-1.7745439462848291
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork,8,6.0,gaussian,Z,0.0,160,2,-0.00481686448545645,-0.006676670202108926,-0.0032785652489333503,4,0.0,-1.4313236586673983
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork,10,6.0,gaussian,Z,0.0,160,1,-0.0008519007440446249,-0.0010412233776766501,-0.0006686282044663749,4,0.0,-2.136376328172661
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork,10,6.0,gaussian,Z,0.0,160,2,-0.0017819348995926749,-0.0019876115114113,-0.00157625828777405,4,0.0,-2.0134838628769574
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,160,1,0.32687895364835423,0.31018672225856336,0.34582103664498515,6,1.0,28.074260798106884
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,160,2,0.339610655324011,0.32536857161008187,0.3490300778373095,6,1.0,18.625566427917043
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line,10,6.0,gaussian,Z,0.0,160,1,0.3234361675753307,0.31146098718631465,0.33542760347777784,6,1.0,98.03890395366142
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line,10,6.0,gaussian,Z,0.0,160,2,0.46559144010364845,0.4539037880899997,0.47458368505608234,6,1.0,69.67299207597281
