profile,analysis_role,job_id,circuit_id,family,n,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,regular_tangents,regular_fraction
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,0,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,6.0,1,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i2,SU2-HaarU4-brickwork,8,6.0,2,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n8|d48|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n8|d48|i3,SU2-HaarU4-brickwork,8,6.0,3,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i0,SU2-HaarU4-brickwork,10,6.0,0,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i1,SU2-HaarU4-brickwork,10,6.0,1,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i2|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i2,SU2-HaarU4-brickwork,10,6.0,2,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-HaarU4-brickwork|n10|d60|i3|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i3,SU2-HaarU4-brickwork,10,6.0,3,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i0,U1-RZ-XY-line,8,6.0,0,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i1,U1-RZ-XY-line,8,6.0,1,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i2,U1-RZ-XY-line,8,6.0,2,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i3|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i3,U1-RZ-XY-line,8,6.0,3,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,SU2-CNOT-line|n8|d48|i2|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i2,SU2-CNOT-line,8,6.0,2,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i4|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i4,U1-RZ-XY-line,8,6.0,4,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n8|d48|i5|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n8|d48|i5,U1-RZ-XY-line,8,6.0,5,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n10|d60|i0|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n10|d60|i0,U1-RZ-XY-line,10,6.0,0,gaussian,Z,0.0,160,160,1.0
v2_orientation,Monte Carlo calibration of the analytic rank-matched Haar orientation null,U1-RZ-XY-line|n10|d60|i1|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n10|d60|i1,U1-RZ-XY-line,10,6.0,1,gaussian,Z,0.0,160,160,1.0
