profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,metric,mean,ci95_low,ci95_high,isotropic_reference
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,N_times_pairwise_purity,1.3499833261524046,1.3402069950168678,1.3594158942504821,1.0
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,deff_over_N,0.7457436252085514,0.7408568424314641,0.7506060284861447,1.0
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,U1,N_times_pairwise_purity,2.0261091527947093,1.9683610818592134,2.085291426380216,1.0
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,U1,deff_over_N,0.4956475971335542,0.48121919560663495,0.5091881519026744,1.0
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,N_times_pairwise_purity,1.3499833261524046,1.3401963963044659,1.3596744141683803,1.0
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,deff_over_N,0.7457436252085514,0.7409329876625482,0.7505718980475012,1.0
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,U1,N_times_pairwise_purity,2.0261091527947093,1.9690880167491063,2.0847769801923466,1.0
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,U1,deff_over_N,0.4956475971335542,0.48141294291602965,0.5095488963158117,1.0
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,N_times_pairwise_purity,1.8030155811523838,1.791150359329716,1.8151111457922093,1.0
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,deff_over_N,0.568635708381224,0.5655032706998098,0.5718285274131292,1.0
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,U1,N_times_pairwise_purity,4.056580361348831,3.969000558006192,4.151852143151984,1.0
