profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,mean,ci95_low,ci95_high,circuits,relative_ci95_halfwidth,jackknife_max_shift,passes_min_circuits,passes_precision_flag,inference_ready
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,1,enhancement,0.9336939175186365,0.9015408399091854,0.9649875367159517,16,0.03397617549838001,0.008773742988742894,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,1,actual_retention,0.08892323023987009,0.08579642648799338,0.09189132743091637,16,0.03427057770214834,0.0008355945703564654,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,1,deff_pairwise,41.42710294094671,40.421112226444514,42.486112399639005,16,0.024923299320955376,0.2734436869711274,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,1,pairwise_purity,0.02420101967710734,0.023598226380638,0.024822720647420346,16,0.025298402363199624,0.00015914772204227504,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,1,sample_covariance_purity,0.03182444921087994,0.031248200749281325,0.032414560118191584,16,0.01832489481878466,0.0001579043804638275,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,1,trC3_u_stat,0.0007742341070384687,0.0007212249463938126,0.0008307533603280846,16,0.07073339506653245,1.5086251673782059e-05,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,0.47769861806649977,0.4752104197324255,0.4800538790713279,16,0.005069576460683993,0.0006980469738493977,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,1,haar_alignment_z,-0.9547349051561913,-1.4147564670785258,-0.5169065175730132,16,0.47020903114390034,0.11521548120867275,True,False,False
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,-0.0063148649982250615,-0.00942161202453792,-0.0034009717358007194,16,0.4767038005111304,0.0008355945703564689,True,False,False
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,2,enhancement,0.9781070460097794,0.9643207023503858,0.9916147270070708,16,0.01395247318176055,0.003168085708148416,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,2,actual_retention,0.3260356820032597,0.321334546377553,0.3305631930149597,16,0.0141528169259008,0.0010560285693828608,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,2,deff_pairwise,41.42710294094671,40.3707679357684,42.47071026803908,16,0.025345029982715588,0.2734436869711274,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,2,pairwise_purity,0.02420101967710734,0.02360685444633162,0.024805954420626084,16,0.02477374900506232,0.00015914772204227504,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,2,sample_covariance_purity,0.03182444921087994,0.031230126760322073,0.03242615621248333,16,0.018791047163706498,0.0001579043804638275,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,2,trC3_u_stat,0.0007742341070384687,0.000720468463471598,0.0008294586283897168,16,0.07038579412047496,1.5086251673782059e-05,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,2,Ffull_over_FQ_mean,0.47769861806649977,0.47517219165580854,0.4800774892015673,16,0.005134301587068739,0.0006980469738493977,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,2,haar_alignment_z,-0.692201041759557,-1.1342450217118323,-0.26040792445425603,16,0.6312018073797643,0.10128073722411524,True,False,False
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,2,physical_minus_rank_baseline,-0.007297651330073486,-0.011841233593261022,-0.0028273100568470336,16,0.6175907239681194,0.0010560285693828348,True,False,False
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,8,6.0,gaussian,Z,0.0,128,1,enhancement,0.9000647958693823,0.8723796097246717,0.9277755361358366,16,0.03077329913656797,0.007926218777221217,True,True,True
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,8,6.0,gaussian,Z,0.0,128,1,actual_retention,0.028237326929235473,0.027368356108885366,0.02911670884969938,16,0.0309581842713989,0.0002486656871285159,True,True,True
