profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,omitted_family,remaining_families,full_family_balanced_mean,leave_one_family_out_mean,absolute_shift
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,enhancement,RY-RZ-CZ-line,4,0.959778278839968,0.966299369170301,0.00652109033033299
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,enhancement,SU2-CNOT-line,4,0.959778278839968,0.9511662869478669,-0.008611991892101156
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,enhancement,SU2-CZ-random-matching,4,0.959778278839968,0.96540107252645,0.005622793686481997
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,enhancement,SU2-CZ-ring,4,0.959778278839968,0.952881144822831,-0.0068971340171369855
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,enhancement,SU2-HaarU4-brickwork,4,0.959778278839968,0.9631435207323915,0.0033652418924234873
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,actual_retention,RY-RZ-CZ-line,4,0.09140745512761597,0.09202851134955244,0.000621056221936464
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,actual_retention,SU2-CNOT-line,4,0.09140745512761597,0.09058726542360633,-0.0008201897040096412
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,actual_retention,SU2-CZ-random-matching,4,0.09140745512761597,0.0919429592882333,0.0005355041606173311
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,actual_retention,SU2-CZ-ring,4,0.09140745512761597,0.09075058522122197,-0.0006568699063940059
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,actual_retention,SU2-HaarU4-brickwork,4,0.09140745512761597,0.09172795435546581,0.0003204992278498381
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,deff_pairwise,RY-RZ-CZ-line,4,46.981848388138744,48.37053474993675,1.3886863617980083
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,deff_pairwise,SU2-CNOT-line,4,46.981848388138744,45.96699123240239,-1.014857155736351
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,deff_pairwise,SU2-CZ-random-matching,4,46.981848388138744,46.611413955295944,-0.3704344328427993
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,deff_pairwise,SU2-CZ-ring,4,46.981848388138744,46.39720961907513,-0.5846387690636163
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,deff_pairwise,SU2-HaarU4-brickwork,4,46.981848388138744,47.5630923839835,0.5812439958447584
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,pairwise_purity,RY-RZ-CZ-line,4,0.021428306764323883,0.020735128536128015,-0.0006931782281958676
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,pairwise_purity,SU2-CNOT-line,4,0.021428306764323883,0.02188503982185557,0.0004567330575316886
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,pairwise_purity,SU2-CZ-random-matching,4,0.021428306764323883,0.021623441073312797,0.0001951343089889139
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,pairwise_purity,SU2-CZ-ring,4,0.021428306764323883,0.021714070985706647,0.00028576422138276367
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,pairwise_purity,SU2-HaarU4-brickwork,4,0.021428306764323883,0.021183853404616378,-0.0002444533597075055
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,sample_covariance_purity,RY-RZ-CZ-line,4,0.0290733981177276,0.028385635344439518,-0.0006877627732880809
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,sample_covariance_purity,SU2-CNOT-line,4,0.0290733981177276,0.029526562948247324,0.00045316483051972486
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,sample_covariance_purity,SU2-CZ-random-matching,4,0.0290733981177276,0.029267007939927543,0.00019360982219994438
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,sample_covariance_purity,SU2-CZ-ring,4,0.0290733981177276,0.029356929806130815,0.00028353168840321644
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,sample_covariance_purity,SU2-HaarU4-brickwork,4,0.0290733981177276,0.028830854549892815,-0.00024254356783478398
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,trC3_u_stat,RY-RZ-CZ-line,4,0.0005723489045619913,0.0005218776039428719,-5.04713006191194e-05
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,trC3_u_stat,SU2-CNOT-line,4,0.0005723489045619913,0.0006028376780943406,3.048877353234935e-05
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,trC3_u_stat,SU2-CZ-random-matching,4,0.0005723489045619913,0.0005880385505693374,1.5689646007346187e-05
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,trC3_u_stat,SU2-CZ-ring,4,0.0005723489045619913,0.0005924152159747515,2.0066311412760278e-05
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,trC3_u_stat,SU2-HaarU4-brickwork,4,0.0005723489045619913,0.0005565754742286547,-1.5773430333336524e-05
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,RY-RZ-CZ-line,4,0.4880235340563678,0.4906047630538348,0.0025812289974670444
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,SU2-CNOT-line,4,0.4880235340563678,0.487877171966624,-0.00014636208974377896
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,SU2-CZ-random-matching,4,0.4880235340563678,0.4876664845778904,-0.000357049478477367
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,SU2-CZ-ring,4,0.4880235340563678,0.48680563113617265,-0.0012179029201951352
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,SU2-HaarU4-brickwork,4,0.4880235340563678,0.48716361954731713,-0.0008599145090506521
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,haar_alignment_z,RY-RZ-CZ-line,4,-0.6254459475096817,-0.5431237080980544,0.08232223941162731
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,haar_alignment_z,SU2-CNOT-line,4,-0.6254459475096817,-0.7571873812111303,-0.13174143370144853
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,haar_alignment_z,SU2-CZ-random-matching,4,-0.6254459475096817,-0.5243659696274621,0.10107997788221967
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,haar_alignment_z,SU2-CZ-ring,4,-0.6254459475096817,-0.7275660480277419,-0.1021201005180602
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,haar_alignment_z,SU2-HaarU4-brickwork,4,-0.6254459475096817,-0.5749866305840201,0.050459316925661635
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,RY-RZ-CZ-line,4,-0.003830640110479201,-0.003209583888542737,0.000621056221936464
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,SU2-CNOT-line,4,-0.003830640110479201,-0.00465082981448884,-0.0008201897040096386
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,SU2-CZ-random-matching,4,-0.003830640110479201,-0.0032951359498618743,0.0005355041606173267
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,SU2-CZ-ring,4,-0.003830640110479201,-0.004487510016873203,-0.0006568699063940016
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,SU2-HaarU4-brickwork,4,-0.003830640110479201,-0.003510140882629355,0.0003204992278498459
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,enhancement,RY-RZ-CZ-line,4,0.9781187966607681,0.9781217343235152,2.9376627471711103e-06
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,enhancement,SU2-CNOT-line,4,0.9781187966607681,0.9747139950712111,-0.003404801589556916
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,enhancement,SU2-CZ-random-matching,4,0.9781187966607681,0.9809863796899408,0.002867583029172782
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,enhancement,SU2-CZ-ring,4,0.9781187966607681,0.9797784611788215,0.0016596645180534386
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,enhancement,SU2-HaarU4-brickwork,4,0.9781187966607681,0.9769934130403513,-0.0011253836204168088
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,actual_retention,RY-RZ-CZ-line,4,0.32603959888692263,0.3260405781078384,9.792209157422072e-07
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,actual_retention,SU2-CNOT-line,4,0.32603959888692263,0.32490466502373705,-0.0011349338631855832
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,actual_retention,SU2-CZ-random-matching,4,0.32603959888692263,0.3269954598966469,0.0009558610097242792
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,actual_retention,SU2-CZ-ring,4,0.32603959888692263,0.32659282039294046,0.0005532215060178314
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,actual_retention,SU2-HaarU4-brickwork,4,0.32603959888692263,0.3256644710134504,-0.0003751278734722141
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,deff_pairwise,RY-RZ-CZ-line,4,46.981848388138744,48.37053474993675,1.3886863617980083
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,deff_pairwise,SU2-CNOT-line,4,46.981848388138744,45.96699123240239,-1.014857155736351
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,deff_pairwise,SU2-CZ-random-matching,4,46.981848388138744,46.611413955295944,-0.3704344328427993
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,deff_pairwise,SU2-CZ-ring,4,46.981848388138744,46.39720961907513,-0.5846387690636163
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,deff_pairwise,SU2-HaarU4-brickwork,4,46.981848388138744,47.5630923839835,0.5812439958447584
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,pairwise_purity,RY-RZ-CZ-line,4,0.021428306764323883,0.020735128536128015,-0.0006931782281958676
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,pairwise_purity,SU2-CNOT-line,4,0.021428306764323883,0.02188503982185557,0.0004567330575316886
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,pairwise_purity,SU2-CZ-random-matching,4,0.021428306764323883,0.021623441073312797,0.0001951343089889139
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,pairwise_purity,SU2-CZ-ring,4,0.021428306764323883,0.021714070985706647,0.00028576422138276367
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,pairwise_purity,SU2-HaarU4-brickwork,4,0.021428306764323883,0.021183853404616378,-0.0002444533597075055
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,sample_covariance_purity,RY-RZ-CZ-line,4,0.0290733981177276,0.028385635344439518,-0.0006877627732880809
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,sample_covariance_purity,SU2-CNOT-line,4,0.0290733981177276,0.029526562948247324,0.00045316483051972486
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,sample_covariance_purity,SU2-CZ-random-matching,4,0.0290733981177276,0.029267007939927543,0.00019360982219994438
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,sample_covariance_purity,SU2-CZ-ring,4,0.0290733981177276,0.029356929806130815,0.00028353168840321644
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,sample_covariance_purity,SU2-HaarU4-brickwork,4,0.0290733981177276,0.028830854549892815,-0.00024254356783478398
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,trC3_u_stat,RY-RZ-CZ-line,4,0.0005723489045619913,0.0005218776039428719,-5.04713006191194e-05
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,trC3_u_stat,SU2-CNOT-line,4,0.0005723489045619913,0.0006028376780943406,3.048877353234935e-05
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,trC3_u_stat,SU2-CZ-random-matching,4,0.0005723489045619913,0.0005880385505693374,1.5689646007346187e-05
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,trC3_u_stat,SU2-CZ-ring,4,0.0005723489045619913,0.0005924152159747515,2.0066311412760278e-05
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,trC3_u_stat,SU2-HaarU4-brickwork,4,0.0005723489045619913,0.0005565754742286547,-1.5773430333336524e-05
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,Ffull_over_FQ_mean,RY-RZ-CZ-line,4,0.4880235340563678,0.4906047630538348,0.0025812289974670444
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,Ffull_over_FQ_mean,SU2-CNOT-line,4,0.4880235340563678,0.487877171966624,-0.00014636208974377896
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,Ffull_over_FQ_mean,SU2-CZ-random-matching,4,0.4880235340563678,0.4876664845778904,-0.000357049478477367
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,Ffull_over_FQ_mean,SU2-CZ-ring,4,0.4880235340563678,0.48680563113617265,-0.0012179029201951352
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,Ffull_over_FQ_mean,SU2-HaarU4-brickwork,4,0.4880235340563678,0.48716361954731713,-0.0008599145090506521
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,haar_alignment_z,RY-RZ-CZ-line,4,-0.7661273731586106,-0.784608956008374,-0.018481582849763423
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,haar_alignment_z,SU2-CNOT-line,4,-0.7661273731586106,-0.8799889895092529,-0.11386161635064229
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,haar_alignment_z,SU2-CZ-random-matching,4,-0.7661273731586106,-0.6600936128775193,0.10603376028109124
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,haar_alignment_z,SU2-CZ-ring,4,-0.7661273731586106,-0.6964766818655869,0.0696506912930237
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,haar_alignment_z,SU2-HaarU4-brickwork,4,-0.7661273731586106,-0.8094686255323198,-0.04334125237370923
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,physical_minus_rank_baseline,RY-RZ-CZ-line,4,-0.007293734446410616,-0.007292755225494897,9.792209157187884e-07
