profile,analysis_role,job_id,circuit_id,family,n,depth,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangents,tangent_count_used,parameter_count,regular_tangents,regular_fraction,support_size,score_dimension,FQ_mean,Ffull_mean,Ffull_over_FQ_mean,pairwise_purity,sample_covariance_purity,deff_pairwise,trC3_u_stat,renyi3_dimension_diag,k,readout_rank,actual_retention,rank_baseline,enhancement,physical_minus_rank_baseline,haar_null_mean,haar_null_std,haar_alignment_z,theorem_rhs_sample,theorem_bound_slack_sample,theorem_rhs_u_stat,theorem_bound_slack_u_stat,crossfit_kyfan,sample_lambda_max,sample_spectrum_rank,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,min_circuits_for_inference,max_relative_ci_halfwidth
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n6|d36|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n6|d36|i0,RY-RZ-CZ-line,6,36,6.0,0,gaussian,Z,0.0,128,128,432,128,1.0,64,63,0.9296841526121044,0.4432563303639639,0.4768124101754086,0.0244683369524123,0.0320896780699716,40.86914455791847,0.000799846036731,35.358741690208106,1,6,0.0894847132587763,0.0952380952380952,0.9395894892171514,-0.0057533819793189,0.0952380952380952,0.0066097645291728,-0.8704367536734237,0.2967040765968485,0.2909506946175296,0.2160099868779442,0.2102566048986253,,,0,4.440892098500626e-16,1.9961383967563235e-16,4.440892098500626e-16,7.28583859910259e-17,-0.2330028250829571,12,0.15
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n6|d36|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n6|d36|i0,RY-RZ-CZ-line,6,36,6.0,0,gaussian,Z,0.0,128,128,432,128,1.0,64,63,0.9296841526121044,0.4432563303639639,0.4768124101754086,0.0244683369524123,0.0320896780699716,40.86914455791847,0.000799846036731,35.358741690208106,2,21,0.3381841338386926,0.3333333333333333,1.0145524015160778,0.0048508005053592,0.3333333333333333,0.0106146878612025,0.4569894629769891,0.4764800843239737,0.4716292838186144,0.3468926276408179,0.3420418271354586,,,0,4.440892098500626e-16,1.9961383967563235e-16,4.440892098500626e-16,7.28583859910259e-17,-0.2330028250829571,12,0.15
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n10|d60|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n10|d60|i0,RY-RZ-CZ-line,10,60,6.0,0,gaussian,Z,0.0,128,128,1200,128,1.0,1024,1023,0.99059809586075,0.4792139547072208,0.4838897867588831,0.0048464601268966,0.0126210971571553,206.33616574089575,4.1350379661772976e-05,155.51069034207174,1,10,0.0090529267107396,0.0097751710654936,0.9261144025086668,-0.0007222443547539,0.0097751710654936,0.0004691781621578,-1.5393818660104863,0.3395550332979399,0.3388327889431859,0.1957325583667875,0.1950103140120336,,,0,1.4432899320127037e-15,2.7667207992344084e-16,1.4432899320127037e-15,5.2909066017292616e-17,-0.4090436299145137,12,0.15
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n10|d60|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n10|d60|i0,RY-RZ-CZ-line,10,60,6.0,0,gaussian,Z,0.0,128,128,1200,128,1.0,1024,1023,0.99059809586075,0.4792139547072208,0.4838897867588831,0.0048464601268966,0.0126210971571553,206.33616574089575,4.1350379661772976e-05,155.51069034207174,2,55,0.0505826201470328,0.053763440860215,0.9408367347348106,-0.0031808207131822,0.053763440860215,0.0010756032119821,-2.9572435985205634,0.7784387977056842,0.775257976992502,0.448722011059714,0.4455411903465318,,,0,1.4432899320127037e-15,2.7667207992344084e-16,1.4432899320127037e-15,5.2909066017292616e-17,-0.4090436299145137,12,0.15
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n6|d36|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n6|d36|i0,SU2-CNOT-line,6,36,6.0,0,gaussian,Z,0.0,128,128,648,128,1.0,64,63,0.969719564965177,0.4706566998669816,0.4857726825609338,0.0193198652271086,0.0269814287800218,51.76019543846776,0.0004385366515013,47.75260320948127,1,6,0.0917650611007287,0.0952380952380952,0.963533141557652,-0.0034730341373664,0.0952380952380952,0.0054705533819339,-0.6348597472489509,0.2455663106448983,0.2420932765075318,0.1367898677615335,0.133316833624167,,,0,4.440892098500626e-16,2.0308122562100562e-16,4.440892098500626e-16,4.6837533851373785e-17,-0.3165988072720255,12,0.15
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n6|d36|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n6|d36|i0,SU2-CNOT-line,6,36,6.0,0,gaussian,Z,0.0,128,128,648,128,1.0,64,63,0.969719564965177,0.4706566998669816,0.4857726825609338,0.0193198652271086,0.0269814287800218,51.76019543846776,0.0004385366515013,47.75260320948127,2,21,0.3467791773397476,0.3333333333333333,1.040337532019243,0.0134458440064142,0.3333333333333333,0.0087852171315612,1.5305078753386303,0.3943574275933999,0.3809115835869856,0.2196722352899852,0.2062263912835709,,,0,4.440892098500626e-16,2.0308122562100562e-16,4.440892098500626e-16,4.6837533851373785e-17,-0.3165988072720255,12,0.15
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n10|d60|i0,SU2-CNOT-line,10,60,6.0,0,gaussian,Z,0.0,128,128,1800,128,1.0,1024,1023,0.9930256886474996,0.4915734912239925,0.4950394208596964,0.0021558223776703,0.0099514800153447,463.860107566304,5.982822905471871e-06,408.8339248243976,1,10,0.0092843843539091,0.0097751710654936,0.9497925194049066,-0.0004907867115844,0.0097751710654936,0.0004118951309459,-1.1915331712160884,0.2980979853374815,0.2976071986258971,0.1080179214541909,0.1075271347426064,,,0,2.4424906541753444e-15,3.5262095156247877e-16,2.4424906541753444e-15,6.245004513516506e-17,-0.4409468462856499,12,0.15
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n10|d60|i0,SU2-CNOT-line,10,60,6.0,0,gaussian,Z,0.0,128,128,1800,128,1.0,1024,1023,0.9930256886474996,0.4915734912239925,0.4950394208596964,0.0021558223776703,0.0099514800153447,463.860107566304,5.982822905471871e-06,408.8339248243976,2,55,0.0539897620078084,0.053763440860215,1.0042095733452376,0.0002263211475934,0.053763440860215,0.0009442803642172,0.2396757956319653,0.683397430604377,0.6831711094567835,0.2476339110358213,0.2474075898882279,,,0,2.4424906541753444e-15,3.5262095156247877e-16,2.4424906541753444e-15,6.245004513516506e-17,-0.4409468462856499,12,0.15
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n6|d36|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n6|d36|i0,SU2-CZ-ring,6,36,6.0,0,gaussian,Z,0.0,128,128,648,128,1.0,64,63,0.952579875494653,0.460105410428802,0.4838693634421361,0.0202473021262144,0.0279016200783533,49.3892961030738,0.0004856375754763,45.37784411610677,1,6,0.0881477095780758,0.0952380952380952,0.9255509505697967,-0.0070903856600193,0.0952380952380952,0.0056926288638887,-1.2455380158360982,0.2555350017408365,0.2484446160808171,0.1540977786163916,0.1470073929563722,,,0,2.220446049250313e-15,6.03686262053571e-16,2.220446049250313e-15,4.8572257327350605e-17,-0.2926389518275652,12,0.15
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n6|d36|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n6|d36|i0,SU2-CZ-ring,6,36,6.0,0,gaussian,Z,0.0,128,128,648,128,1.0,64,63,0.952579875494653,0.460105410428802,0.4838693634421361,0.0202473021262144,0.0279016200783533,49.3892961030738,0.0004856375754763,45.37784411610677,2,21,0.3129124610289395,0.3333333333333333,0.9387373830868186,-0.0204208723043937,0.3333333333333333,0.0091418503992325,-2.2337788754570007,0.4103662496779249,0.3899453773735312,0.2474671847837198,0.2270463124793261,,,0,2.220446049250313e-15,6.03686262053571e-16,2.220446049250313e-15,4.8572257327350605e-17,-0.2926389518275652,12,0.15
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n10|d60|i0,SU2-CZ-ring,10,60,6.0,0,gaussian,Z,0.0,128,128,1800,128,1.0,1024,1023,0.9901555157207704,0.4912108013357911,0.4960812809908649,0.0024915851093236,0.010284619600657,401.35092967843593,8.557309098136327e-06,341.8466988057189,1,10,0.0091617134526482,0.0097751710654936,0.9372432862059188,-0.0006134576128453,0.0097751710654936,0.0004194708357739,-1.462455933827944,0.3035806972635731,0.3029672396507277,0.1224445886530879,0.1218311310402425,,,0,1.3322676295501878e-15,1.702240225890975e-16,1.1102230246251563e-15,6.591949208711867e-17,-0.4050798150536722,12,0.15
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n10|d60|i0,SU2-CZ-ring,10,60,6.0,0,gaussian,Z,0.0,128,128,1800,128,1.0,1024,1023,0.9901555157207704,0.4912108013357911,0.4960812809908649,0.0024915851093236,0.010284619600657,401.35092967843593,8.557309098136327e-06,341.8466988057189,2,55,0.0521599993491175,0.053763440860215,0.970175987893586,-0.0016034415110975,0.053763440860215,0.0009616478657406,-1.6673894553517747,0.6959666911406166,0.6943632496295191,0.2807074230380877,0.2791039815269902,,,0,1.3322676295501878e-15,1.702240225890975e-16,1.1102230246251563e-15,6.591949208711867e-17,-0.4050798150536722,12,0.15
