profile,analysis_role,job_id,circuit_id,family,n,depth_factor,tangent_count_used,k,regular_fraction,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,theorem_bound_slack_sample
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n6|d36|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n6|d36|i0,RY-RZ-CZ-line,6,6.0,128,1,1.0,4.440892098500626e-16,1.9961383967563235e-16,4.440892098500626e-16,7.28583859910259e-17,-0.2330028250829571,0.2909506946175296
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n6|d36|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n6|d36|i0,RY-RZ-CZ-line,6,6.0,128,2,1.0,4.440892098500626e-16,1.9961383967563235e-16,4.440892098500626e-16,7.28583859910259e-17,-0.2330028250829571,0.4716292838186144
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n10|d60|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n10|d60|i0,RY-RZ-CZ-line,10,6.0,128,1,1.0,1.4432899320127037e-15,2.7667207992344084e-16,1.4432899320127037e-15,5.2909066017292616e-17,-0.4090436299145137,0.3388327889431859
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line|n10|d60|i0|dir=gaussian|basis=Z|eta=0,RY-RZ-CZ-line|n10|d60|i0,RY-RZ-CZ-line,10,6.0,128,2,1.0,1.4432899320127037e-15,2.7667207992344084e-16,1.4432899320127037e-15,5.2909066017292616e-17,-0.4090436299145137,0.775257976992502
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n6|d36|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n6|d36|i0,SU2-CNOT-line,6,6.0,128,1,1.0,4.440892098500626e-16,2.0308122562100562e-16,4.440892098500626e-16,4.6837533851373785e-17,-0.3165988072720255,0.2420932765075318
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n6|d36|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n6|d36|i0,SU2-CNOT-line,6,6.0,128,2,1.0,4.440892098500626e-16,2.0308122562100562e-16,4.440892098500626e-16,4.6837533851373785e-17,-0.3165988072720255,0.3809115835869856
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n10|d60|i0,SU2-CNOT-line,10,6.0,128,1,1.0,2.4424906541753444e-15,3.5262095156247877e-16,2.4424906541753444e-15,6.245004513516506e-17,-0.4409468462856499,0.2976071986258971
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n10|d60|i0,SU2-CNOT-line,10,6.0,128,2,1.0,2.4424906541753444e-15,3.5262095156247877e-16,2.4424906541753444e-15,6.245004513516506e-17,-0.4409468462856499,0.6831711094567835
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n6|d36|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n6|d36|i0,SU2-CZ-ring,6,6.0,128,1,1.0,2.220446049250313e-15,6.03686262053571e-16,2.220446049250313e-15,4.8572257327350605e-17,-0.2926389518275652,0.2484446160808171
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n6|d36|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n6|d36|i0,SU2-CZ-ring,6,6.0,128,2,1.0,2.220446049250313e-15,6.03686262053571e-16,2.220446049250313e-15,4.8572257327350605e-17,-0.2926389518275652,0.3899453773735312
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n10|d60|i0,SU2-CZ-ring,10,6.0,128,1,1.0,1.3322676295501878e-15,1.702240225890975e-16,1.1102230246251563e-15,6.591949208711867e-17,-0.4050798150536722,0.3029672396507277
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-ring|n10|d60|i0,SU2-CZ-ring,10,6.0,128,2,1.0,1.3322676295501878e-15,1.702240225890975e-16,1.1102230246251563e-15,6.591949208711867e-17,-0.4050798150536722,0.6943632496295191
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n6|d36|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n6|d36|i0,SU2-CZ-random-matching,6,6.0,128,1,1.0,4.440892098500626e-16,1.1643341981219687e-16,4.440892098500626e-16,7.28583859910259e-17,-0.2997593804134158,0.2511337867168289
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n6|d36|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n6|d36|i0,SU2-CZ-random-matching,6,6.0,128,2,1.0,4.440892098500626e-16,1.1643341981219687e-16,4.440892098500626e-16,7.28583859910259e-17,-0.2997593804134158,0.401679993563522
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n10|d60|i0,SU2-CZ-random-matching,10,6.0,128,1,1.0,2.997602166487923e-15,6.072033975901453e-16,3.3306690738754696e-15,6.938893903907227e-17,-0.4284209160415002,0.3020383820655466
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-CZ-random-matching|n10|d60|i0,SU2-CZ-random-matching,10,6.0,128,2,1.0,2.997602166487923e-15,6.072033975901453e-16,3.3306690738754696e-15,6.938893903907227e-17,-0.4284209160415002,0.6914352522407433
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork|n6|d36|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n6|d36|i0,SU2-HaarU4-brickwork,6,6.0,128,1,1.0,9.992007221626407e-15,1.929015625289938e-15,1.021405182655144e-14,6.245004513516506e-17,-0.2304153564376758,0.2706760285618848
