profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,mean_physical_minus_rank_baseline,ci95_low,ci95_high,circuits,fraction_positive,median_haar_z
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,1,-0.0063148649982250615,-0.009482516598517869,-0.0033458682336949806,16,0.125,-0.8446626691413289
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,2,-0.007297651330073486,-0.01185874201019554,-0.0029028708493243774,16,0.1875,-0.5298184120066342
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,8,6.0,gaussian,Z,0.0,128,1,-0.0031352220903722687,-0.004027264533682448,-0.0022767586841173537,16,0.0625,-1.6747517308310904
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,8,6.0,gaussian,Z,0.0,128,2,-0.006896495863376057,-0.008626730044897227,-0.005075165777570454,16,0.0,-2.04931681964317
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,10,6.0,gaussian,Z,0.0,128,1,-0.001063929407618675,-0.0013612831853944613,-0.0007912278359278418,16,0.0,-2.1500393058656213
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,10,6.0,gaussian,Z,0.0,128,2,-0.0035927111466122126,-0.004128979227776067,-0.0029856599641863643,16,0.0,-3.523228725839491
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,12,6.0,gaussian,Z,0.0,128,1,-0.00033533076435693127,-0.000380946465903706,-0.00028707839396652663,16,0.0,-2.8002884591122954
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,12,6.0,gaussian,Z,0.0,128,2,-0.0012325883994628124,-0.0013925253506354052,-0.0010798089572413292,16,0.0,-4.356070531970612
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,6,6.0,gaussian,Z,0.0,128,1,-0.0005498812944406482,-0.002979696885274947,0.001811365563958175,16,0.5,-0.0583913899523447
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,6,6.0,gaussian,Z,0.0,128,2,-0.002753998993668156,-0.006824005590709717,0.0012982532999931756,16,0.375,-0.24627881727906664
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,128,1,-0.0005930162285207437,-0.0013419978791108372,0.0001576579081134032,16,0.375,-0.554510772846279
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,128,2,-0.0020190355955379,-0.0029527883498984037,-0.0011411117296235204,16,0.1875,-0.686803906901031
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,10,6.0,gaussian,Z,0.0,128,1,-6.876397767992243e-05,-0.0002793318898377876,0.00014039746194001874,16,0.3125,-0.24035849539439935
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,10,6.0,gaussian,Z,0.0,128,2,-0.0004705717384191745,-0.00071518538895471,-0.00023635214342881684,16,0.1875,-0.5975428952897219
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,128,1,-4.495631196494898e-05,-9.082277236352845e-05,6.12441276214611e-06,16,0.375,-0.7304651286446271
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,128,2,-0.00040038687522997424,-0.0005292507521664095,-0.0002668127106351245,16,0.0625,-1.5475636097253251
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,6,6.0,gaussian,Z,0.0,128,1,-0.005972656752948512,-0.008624275920456061,-0.0032265705897758586,16,0.0625,-0.9103833155703445
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,6,6.0,gaussian,Z,0.0,128,2,-0.01111717848530772,-0.016190349916508293,-0.0060800511525296265,16,0.1875,-1.1475853817811108
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,8,6.0,gaussian,Z,0.0,128,1,-0.001093729223574901,-0.001744204360717237,-0.0004544692184029756,16,0.1875,-0.5658634414159581
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,8,6.0,gaussian,Z,0.0,128,2,-0.0023033777102351854,-0.0035977252903158343,-0.0009995170428404427,16,0.25,-0.7572590374517358
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,10,6.0,gaussian,Z,0.0,128,1,-0.0005362533109872726,-0.0006931353585039031,-0.000379875384304143,16,0.0,-1.2615868691792338
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,10,6.0,gaussian,Z,0.0,128,2,-0.0014303622216314186,-0.0018776712816995524,-0.0009106859361176969,16,0.125,-1.74598952468576
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,12,6.0,gaussian,Z,0.0,128,1,-0.0001250347857518105,-0.0001656958527090631,-8.793790980363691e-05,16,0.0,-1.2050865823120338
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,12,6.0,gaussian,Z,0.0,128,2,-0.0004731483297611372,-0.0005971485032482329,-0.0003560344849052201,16,0.0,-1.5594280427416263
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,6,6.0,gaussian,Z,0.0,128,1,-0.0012031604849032,-0.004193751497112152,0.0017853456224974768,16,0.375,-0.2246543208566213
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,6,6.0,gaussian,Z,0.0,128,2,-0.009506620470482001,-0.013311309582612047,-0.005747576838437197,16,0.125,-0.9877901272384549
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,8,6.0,gaussian,Z,0.0,128,1,-0.0011450274067983188,-0.0019410541330120135,-0.0002714869434146279,16,0.3125,-1.1022924006645216
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,8,6.0,gaussian,Z,0.0,128,2,-0.002007649434464031,-0.0033682558318637898,-0.0005006042992809033,16,0.25,-0.7498955435803245
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,10,6.0,gaussian,Z,0.0,128,1,-0.0004083035663471473,-0.0006241729558164206,-0.00019541953130481208,16,0.25,-0.7721924948634757
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,10,6.0,gaussian,Z,0.0,128,2,-0.0011999878283126062,-0.001653845461874213,-0.0007632874657667672,16,0.125,-1.2195115378078327
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,12,6.0,gaussian,Z,0.0,128,1,-0.00011559124882383695,-0.00017270155879229324,-5.3136974364455114e-05,16,0.125,-1.0061574191037763
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,12,6.0,gaussian,Z,0.0,128,2,-0.0005905975609275249,-0.0007086294594075665,-0.0004667956962827165,16,0.0,-2.2109258592355943
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,6,6.0,gaussian,Z,0.0,128,1,-0.005112637021878587,-0.0077064194080230485,-0.002127781680292046,16,0.125,-0.9712263035891309
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,6,6.0,gaussian,Z,0.0,128,2,-0.005793222952521712,-0.0105538105096396,-0.0006537418333109304,16,0.3125,-0.9147055606906525
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,8,6.0,gaussian,Z,0.0,128,1,-0.0023482986741617338,-0.003258204998040676,-0.0014222764572337787,16,0.125,-1.574669707890315
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,8,6.0,gaussian,Z,0.0,128,2,-0.004894580627944512,-0.006072400802402791,-0.0036905590832980767,16,0.0,-1.5719207595296765
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,10,6.0,gaussian,Z,0.0,128,1,-0.0006537981139276563,-0.0008109797954231076,-0.000495215576550833,16,0.0,-1.5573773339299093
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,10,6.0,gaussian,Z,0.0,128,2,-0.002066105254987606,-0.002545042837432364,-0.0016407555929694707,16,0.0,-1.8489898318537228
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,128,1,-0.00022123020779908213,-0.00029447707487042927,-0.00015187695471244976,16,0.125,-2.1200619390893336
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,128,2,-0.0008211330631165062,-0.0009077113306351959,-0.000726198316599771,16,0.0,-3.0021903454697685
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line,6,6.0,gaussian,Z,0.0,128,1,0.278464860422199,0.269182055323594,0.2884370039877529,20,1.0,8.227469005524263
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line,6,6.0,gaussian,Z,0.0,128,2,0.1416131328114084,0.1264285657677138,0.1553933835017167,20,1.0,4.188609278350441
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,128,1,0.32654245663667175,0.3160942598403007,0.33669169682277617,20,1.0,28.58060247813564
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,128,2,0.3512651982539129,0.3398096933795427,0.3629882818175101,20,1.0,18.73424277148885
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line,10,6.0,gaussian,Z,0.0,128,1,0.31861179692225233,0.3123915781320784,0.32490459527743165,20,1.0,95.30416004249868
