profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,metric,mean,ci95_low,ci95_high,families,circuits,estimator
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,enhancement,0.959778278839968,0.9467183507220382,0.9732876824107926,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,U1,enhancement,2.0581664696043562,2.0234871130536822,2.094717472525176,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,actual_retention,0.09140745512761597,0.09013733457872378,0.0926848218746434,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,U1,actual_retention,0.5416227551590411,0.5323990870813766,0.5514462870450517,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,deff_pairwise,46.981848388138744,46.67567586626613,47.285470120206085,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,U1,deff_pairwise,9.417304345537529,9.15018766450089,9.679658327264514,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,pairwise_purity,0.021428306764323883,0.021276275298963372,0.021578917143737577,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,U1,pairwise_purity,0.10663732383130049,0.10359638887841593,0.10968890034991406,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,sample_covariance_purity,0.0290733981177276,0.02891891700532236,0.029225060986619724,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,U1,sample_covariance_purity,0.11361671973886842,0.11061459173279423,0.11673533509791642,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,trC3_u_stat,0.0005723489045619913,0.0005594260255426924,0.0005852618502324007,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,U1,trC3_u_stat,0.013104396740831836,0.012225189854980714,0.01404771191673651,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,Ffull_over_FQ_mean,0.4880235340563678,0.4865431193911019,0.48951614101958296,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,U1,Ffull_over_FQ_mean,0.46634060568669955,0.4590089236786327,0.4739305219233352,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,haar_alignment_z,-0.6254459475096817,-0.8331178328059928,-0.4168249752698231,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,U1,haar_alignment_z,8.098891138119608,7.8430970036824235,8.349791281156017,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,physical_minus_rank_baseline,-0.003830640110479201,-0.005086332717045682,-0.0025640463201753367,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,U1,physical_minus_rank_baseline,0.278464860422199,0.2694409574945914,0.28810153617093404,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,enhancement,0.9781187966607681,0.972164476856652,0.9844079361898288,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,U1,enhancement,1.1921892516726256,1.1715722333882057,1.210548732525459,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,actual_retention,0.32603959888692263,0.32402653022276035,0.32805389999737233,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,U1,actual_retention,0.8784552380745663,0.8633656343529192,0.8921555498850495,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,deff_pairwise,46.981848388138744,46.679204998445236,47.28409773464904,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,U1,deff_pairwise,9.417304345537529,9.14751188760271,9.681683135360663,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,pairwise_purity,0.021428306764323883,0.021274953495724124,0.021582920237503214,5,80,equal weight per ansatz family; circuit bootstrap within family
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,U1,pairwise_purity,0.10663732383130049,0.10361976562145289,0.10970978729774612,1,20,circuit bootstrap
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,sample_covariance_purity,0.0290733981177276,0.028921574865120852,0.02922610553488395,5,80,equal weight per ansatz family; circuit bootstrap within family
