profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,mean_enhancement,ci95_low,ci95_high,equivalence_margin,equivalence_low,equivalence_high,ci_entirely_inside_equivalence_band,families,circuits
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,generic_family_balanced,0.959778278839968,0.946438015792004,0.9731784143137164,0.1,0.9,1.1,True,5,80
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,RY-RZ-CZ-line,0.9336939175186365,0.9009143558694691,0.9645749135874386,0.1,0.9,1.1,True,1,16
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,SU2-CNOT-line,0.9942262464083731,0.9683384363128275,1.0187983287868831,0.1,0.9,1.1,True,1,16
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,SU2-CZ-random-matching,0.9372871040940403,0.9082847593461539,0.9660121022389494,0.1,0.9,1.1,True,1,16
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,SU2-CZ-ring,0.9873668149085162,0.9550217043968648,1.0188470523409603,0.1,0.9,1.1,True,1,16
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,SU2-HaarU4-brickwork,0.9463173112702745,0.9194364008457431,0.9776674554612422,0.1,0.9,1.1,True,1,16
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,generic_family_balanced,0.9781187966607681,0.97203339614219,0.9843706697926162,0.1,0.9,1.1,True,5,80
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,RY-RZ-CZ-line,0.9781070460097794,0.9647039883793449,0.9914005598111072,0.1,0.9,1.1,True,1,16
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,SU2-CNOT-line,0.9917380030189954,0.9794970685630624,1.0042934429640507,0.1,0.9,1.1,True,1,16
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,SU2-CZ-random-matching,0.9666484645440767,0.9508478680620757,0.9817347309123944,0.1,0.9,1.1,True,1,16
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,SU2-CZ-ring,0.9714801385885539,0.9598119280682986,0.9827739641869366,0.1,0.9,1.1,True,1,16
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,SU2-HaarU4-brickwork,0.9826203311424347,0.968411389671632,0.9978035796185772,0.1,0.9,1.1,True,1,16
