profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,metric,contrast,difference,ci95_low,ci95_high,ci_excludes_zero,direction_if_excludes_zero
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,enhancement,U1 minus equal-weight generic-family mean,1.0983881907643882,1.061011448777204,1.1378569152261124,True,positive
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,actual_retention,U1 minus equal-weight generic-family mean,0.4502153000314252,0.44112768639943034,0.45977092144802484,True,positive
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,deff_pairwise,U1 minus equal-weight generic-family mean,-37.56454404260121,-37.97380353847677,-37.17662181795147,True,negative
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.08520901706697662,0.08221851579530404,0.08832174160908321,True,positive
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.02168292836966823,-0.02919082964832473,-0.014098420639896787,True,negative
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.28229550053267816,0.27289358121867724,0.2921652546179088,True,positive
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,enhancement,U1 minus equal-weight generic-family mean,0.2140704550118575,0.19270853838840218,0.2336354753962894,True,positive
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,actual_retention,U1 minus equal-weight generic-family mean,0.5524156391876436,0.5370015345058842,0.5662389640650131,True,positive
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,deff_pairwise,U1 minus equal-weight generic-family mean,-37.56454404260121,-37.96901838644334,-37.159089609622015,True,negative
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.08520901706697662,0.08214733847953003,0.0883388088493929,True,positive
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.02168292836966823,-0.02927253026273902,-0.014124019328544936,True,negative
v2_primary,primary family-robust finite-size inference,6,6.0,gaussian,Z,0.0,128,2,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.14890686725781901,0.133586670836067,0.16270356108886058,True,positive
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,enhancement,U1 minus equal-weight generic-family mean,3.2717856408394046,3.1707405119532863,3.3723690207455976,True,positive
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,actual_retention,U1 minus equal-weight generic-family mean,0.39828224170406845,0.38795461303873613,0.4085548818843138,True,positive
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,deff_pairwise,U1 minus equal-weight generic-family mean,-127.94824288158674,-128.8503882829598,-127.07199070490644,True,negative
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,pairwise_purity,U1 minus equal-weight generic-family mean,0.05172037039184072,0.050431846593735244,0.05307817946650163,True,positive
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.014012019407003362,-0.021691852832314888,-0.00613283369475175,True,negative
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,1,physical_minus_rank_baseline,U1 minus equal-weight generic-family mean,0.32820551536135734,0.3174411408240106,0.33832003624353724,True,positive
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,2,enhancement,U1 minus equal-weight generic-family mean,0.9233493427824845,0.8942548119915082,0.9525205683201821,True,positive
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,2,actual_retention,U1 minus equal-weight generic-family mean,0.6050173033380761,0.5935917766212658,0.616668804983842,True,positive
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,2,deff_pairwise,U1 minus equal-weight generic-family mean,-127.94824288158674,-128.8350951049377,-127.05785054743613,True,negative
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,2,pairwise_purity,U1 minus equal-weight generic-family mean,0.05172037039184072,0.0504359096321192,0.05314048151752944,True,positive
v2_primary,primary family-robust finite-size inference,8,6.0,gaussian,Z,0.0,128,2,Ffull_over_FQ_mean,U1 minus equal-weight generic-family mean,-0.014012019407003362,-0.021687450819821423,-0.006160769392246066,True,negative
