profile,analysis_role,family,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,mean_regular_fraction,ci95_low,ci95_high,median_regular_fraction,minimum_regular_fraction,circuits
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,6,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,8,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,10,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,RY-RZ-CZ-line,12,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,6,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,8,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,10,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CNOT-line,12,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,6,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,8,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,10,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CZ-random-matching,12,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,6,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,8,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,10,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-CZ-ring,12,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,6,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,8,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,10,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,SU2-HaarU4-brickwork,12,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,16
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line,6,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,20
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line,8,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,20
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line,10,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,20
v2_primary,primary family-robust finite-size inference,U1-RZ-XY-line,12,6.0,gaussian,Z,0.0,128,1.0,1.0,1.0,1.0,1.0,20
