profile,analysis_role,job_id,circuit_id,family,n,depth,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,tangents,tangent_count_used,parameter_count,regular_tangents,regular_fraction,support_size,score_dimension,FQ_mean,Ffull_mean,Ffull_over_FQ_mean,pairwise_purity,sample_covariance_purity,deff_pairwise,trC3_u_stat,renyi3_dimension_diag,k,readout_rank,actual_retention,rank_baseline,enhancement,physical_minus_rank_baseline,haar_null_mean,haar_null_std,haar_alignment_z,theorem_rhs_sample,theorem_bound_slack_sample,theorem_rhs_u_stat,theorem_bound_slack_u_stat,crossfit_kyfan,sample_lambda_max,sample_spectrum_rank,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,min_circuits_for_inference,max_relative_ci_halfwidth
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,48,6.0,0,gaussian,Z,0.0,512,512,1152,512,1.0,256,255,0.9937687469278652,0.4885853959380588,0.4917475495569992,0.0058712313548745,0.0078128891061345,170.3220226826444,4.450936936201343e-05,149.8905590913498,1,8,0.0304512127744195,0.0313725490196078,0.9706324071846222,-0.0009213362451883,0.0313725490196078,0.0009611771937438,-0.9585498399100452,0.1736488372829509,0.1727275010377626,0.1229145015996337,0.1219931653544453,0.0696249845682973,0.0182623722288146,255,4.996003610813205e-15,9.33803435657433e-16,5.10702591327572e-15,6.938893903907227e-17,-0.3470827882517261,8,0.2
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,48,6.0,0,gaussian,Z,0.0,512,512,1152,512,1.0,256,255,0.9937687469278652,0.4885853959380588,0.4917475495569992,0.0058712313548745,0.0078128891061345,170.3220226826444,4.450936936201343e-05,149.8905590913498,2,36,0.1373335457895877,0.1411764705882353,0.9727792826762468,-0.0038429247986475,0.1411764705882353,0.0019199207184684,-2.001605983872597,0.3468580014252401,0.3430150766265926,0.2455177877267264,0.2416748629280789,0.2543505212995922,0.0182623722288146,255,4.996003610813205e-15,9.33803435657433e-16,5.10702591327572e-15,6.938893903907227e-17,-0.3470827882517261,8,0.2
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-HaarU4-brickwork|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i0,SU2-HaarU4-brickwork,10,60,6.0,0,gaussian,Z,0.0,512,512,1800,512,1.0,1024,1023,0.9835344373395576,0.4860041216123983,0.4941329417777718,0.0030393628603973,0.0049865516048106,329.0163254377821,1.3674107081662923e-05,270.4272873223324,1,10,0.0090136980867284,0.0097751710654936,0.9221013142723152,-0.0007614729787652,0.0097751710654936,0.0002753052033556,-2.765922944731557,0.1992447113534834,0.1984832383747182,0.1428877482114352,0.14212627523267,0.0484132178952314,0.0133124968841334,512,1.1768364061026661e-14,2.4338170367954604e-15,1.1768364061026661e-14,6.765421556309548e-17,-0.4054927869669281,8,0.2
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-HaarU4-brickwork|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i0,SU2-HaarU4-brickwork,10,60,6.0,0,gaussian,Z,0.0,512,512,1800,512,1.0,1024,1023,0.9835344373395576,0.4860041216123983,0.4941329417777718,0.0030393628603973,0.0049865516048106,329.0163254377821,1.3674107081662923e-05,270.4272873223324,2,55,0.0516969666202566,0.053763440860215,0.9615635791367731,-0.0020664742399584,0.053763440860215,0.0006311443815771,-3.274170380467314,0.4567737136711227,0.4547072394311643,0.3275739011855107,0.3255074269455523,0.2042878067136606,0.0133124968841334,512,1.1768364061026661e-14,2.4338170367954604e-15,1.1768364061026661e-14,6.765421556309548e-17,-0.4054927869669281,8,0.2
v2_spectrum,dedicated spectrum and optimal-compression study,U1-RZ-XY-line|n10|d60|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n10|d60|i6,U1-RZ-XY-line,10,60,6.0,6,gaussian,Z,0.0,512,512,870,512,1.0,252,251,0.7347887229805607,0.3419537939706111,0.4675744918733492,0.0365094401678626,0.0383912576675347,27.390176222977207,0.0016862430101714,24.352296271686093,1,9,0.363972203509921,0.0358565737051792,10.15078034233224,0.3281156298047417,0.0358565737051792,0.0030725675351639,106.78874460841747,0.5464075663264504,0.2182919365217087,0.5312552595435034,0.2031396297387617,0.4323693263095757,0.0739262616410205,41,4.440892098500626e-16,3.4694713464167336e-16,6.661338147750939e-16,1.8041124150158796e-16,-0.152772698492566,8,0.2
v2_spectrum,dedicated spectrum and optimal-compression study,U1-RZ-XY-line|n10|d60|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n10|d60|i6,U1-RZ-XY-line,10,60,6.0,6,gaussian,Z,0.0,512,512,870,512,1.0,252,251,0.7347887229805607,0.3419537939706111,0.4675744918733492,0.0365094401678626,0.0383912576675347,27.390176222977207,0.0016862430101714,24.352296271686093,2,44,0.6553781705912429,0.1752988047808765,3.73863456405459,0.4800793658103664,0.1752988047808765,0.006283245237604,76.40627536502684,1.1173758427178848,0.6372964769075184,1.0863901415597863,0.6063107757494199,1.0,0.0739262616410205,41,4.440892098500626e-16,3.4694713464167336e-16,6.661338147750939e-16,1.8041124150158796e-16,-0.152772698492566,8,0.2
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-CNOT-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,48,6.0,1,gaussian,Z,0.0,512,512,1152,512,1.0,256,255,0.9854527666291092,0.487541942258301,0.4946261374797598,0.0058604152757138,0.0078020941521285,170.63637181892128,4.380235003615217e-05,151.09541793707277,1,8,0.0285345664234608,0.0313725490196078,0.909539304747814,-0.002837982596147,0.0313725490196078,0.0009598430618466,-2.9567152266402554,0.1734078094535015,0.1705698268573545,0.122573083072876,0.119735100476729,0.0671312329629307,0.0173466705694964,255,2.220446049250313e-15,3.452233196790285e-16,2.220446049250313e-15,7.28583859910259e-17,-0.3585204064633812,8,0.2
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-CNOT-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,48,6.0,1,gaussian,Z,0.0,512,512,1152,512,1.0,256,255,0.9854527666291092,0.487541942258301,0.4946261374797598,0.0058604152757138,0.0078020941521285,170.63637181892128,4.380235003615217e-05,151.09541793707277,2,36,0.1381689574766519,0.1411764705882353,0.9786967821262844,-0.0030075131115833,0.1411764705882353,0.0019172558326522,-1.568655085233451,0.3463765560408725,0.343369042929289,0.2448358151336837,0.2418283020221003,0.2554490776983019,0.0173466705694964,255,2.220446049250313e-15,3.452233196790285e-16,2.220446049250313e-15,7.28583859910259e-17,-0.3585204064633812,8,0.2
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-HaarU4-brickwork|n10|d60|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i1,SU2-HaarU4-brickwork,10,60,6.0,1,gaussian,Z,0.0,512,512,1800,512,1.0,1024,1023,0.9873145901666056,0.4900322496984111,0.4963492933597364,0.0030322866562152,0.0049794892213398,329.7841244495467,1.3647668912696126e-05,270.6890955172336,1,10,0.0089154384006471,0.0097751710654936,0.9120493483862022,-0.0008597326648465,0.0097751710654936,0.000275062605299,-3.125589041489827,0.1990691375570076,0.1982094048921611,0.1426423438470415,0.141782611182195,0.0488345076298043,0.0124432084378039,512,8.659739592076221e-15,1.4944947300679246e-15,8.659739592076221e-15,5.724587470723462e-17,-0.3919062503195623,8,0.2
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-HaarU4-brickwork|n10|d60|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i1,SU2-HaarU4-brickwork,10,60,6.0,1,gaussian,Z,0.0,512,512,1800,512,1.0,1024,1023,0.9873145901666056,0.4900322496984111,0.4963492933597364,0.0030322866562152,0.0049794892213398,329.7841244495467,1.3647668912696126e-05,270.6890955172336,2,55,0.0511156806675418,0.053763440860215,0.950751660416278,-0.0026477601926732,0.053763440860215,0.0006305882191855,-4.19887354713536,0.4563712061491171,0.4537234459564439,0.3270113052595575,0.3243635450668843,0.2052532940447791,0.0124432084378039,512,8.659739592076221e-15,1.4944947300679246e-15,8.659739592076221e-15,5.724587470723462e-17,-0.3919062503195623,8,0.2
