profile,analysis_role,job_id,circuit_id,family,n,depth_factor,tangent_count_used,k,regular_fraction,state_norm_error,horizontal_overlap_max,probability_sum_error,probability_tangent_sum_max,fisher_violation_max,theorem_bound_slack_sample
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,512,1,1.0,4.996003610813205e-15,9.33803435657433e-16,5.10702591327572e-15,6.938893903907227e-17,-0.3470827882517261,0.1727275010377626
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-CNOT-line|n8|d48|i0|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i0,SU2-CNOT-line,8,6.0,512,2,1.0,4.996003610813205e-15,9.33803435657433e-16,5.10702591327572e-15,6.938893903907227e-17,-0.3470827882517261,0.3430150766265926
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-HaarU4-brickwork|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i0,SU2-HaarU4-brickwork,10,6.0,512,1,1.0,1.1768364061026661e-14,2.4338170367954604e-15,1.1768364061026661e-14,6.765421556309548e-17,-0.4054927869669281,0.1984832383747182
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-HaarU4-brickwork|n10|d60|i0|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i0,SU2-HaarU4-brickwork,10,6.0,512,2,1.0,1.1768364061026661e-14,2.4338170367954604e-15,1.1768364061026661e-14,6.765421556309548e-17,-0.4054927869669281,0.4547072394311643
v2_spectrum,dedicated spectrum and optimal-compression study,U1-RZ-XY-line|n10|d60|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n10|d60|i6,U1-RZ-XY-line,10,6.0,512,1,1.0,4.440892098500626e-16,3.4694713464167336e-16,6.661338147750939e-16,1.8041124150158796e-16,-0.152772698492566,0.2182919365217087
v2_spectrum,dedicated spectrum and optimal-compression study,U1-RZ-XY-line|n10|d60|i6|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n10|d60|i6,U1-RZ-XY-line,10,6.0,512,2,1.0,4.440892098500626e-16,3.4694713464167336e-16,6.661338147750939e-16,1.8041124150158796e-16,-0.152772698492566,0.6372964769075184
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-CNOT-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,6.0,512,1,1.0,2.220446049250313e-15,3.452233196790285e-16,2.220446049250313e-15,7.28583859910259e-17,-0.3585204064633812,0.1705698268573545
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-CNOT-line|n8|d48|i1|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n8|d48|i1,SU2-CNOT-line,8,6.0,512,2,1.0,2.220446049250313e-15,3.452233196790285e-16,2.220446049250313e-15,7.28583859910259e-17,-0.3585204064633812,0.343369042929289
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-HaarU4-brickwork|n10|d60|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i1,SU2-HaarU4-brickwork,10,6.0,512,1,1.0,8.659739592076221e-15,1.4944947300679246e-15,8.659739592076221e-15,5.724587470723462e-17,-0.3919062503195623,0.1982094048921611
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-HaarU4-brickwork|n10|d60|i1|dir=gaussian|basis=Z|eta=0,SU2-HaarU4-brickwork|n10|d60|i1,SU2-HaarU4-brickwork,10,6.0,512,2,1.0,8.659739592076221e-15,1.4944947300679246e-15,8.659739592076221e-15,5.724587470723462e-17,-0.3919062503195623,0.4537234459564439
v2_spectrum,dedicated spectrum and optimal-compression study,U1-RZ-XY-line|n10|d60|i7|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n10|d60|i7,U1-RZ-XY-line,10,6.0,512,1,1.0,1.1102230246251563e-15,6.210310043996969e-16,9.992007221626409e-16,1.0408340855860844e-16,-0.161597111192101,0.2250264345806107
v2_spectrum,dedicated spectrum and optimal-compression study,U1-RZ-XY-line|n10|d60|i7|dir=gaussian|basis=Z|eta=0,U1-RZ-XY-line|n10|d60|i7,U1-RZ-XY-line,10,6.0,512,2,1.0,1.1102230246251563e-15,6.210310043996969e-16,9.992007221626409e-16,1.0408340855860844e-16,-0.161597111192101,0.6744021890898932
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-CNOT-line|n10|d60|i2|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n10|d60|i2,SU2-CNOT-line,10,6.0,512,1,1.0,8.881784197001252e-16,1.6028263498198782e-16,8.881784197001252e-16,6.418476861114186e-17,-0.4309557111494202,0.1755487318504119
v2_spectrum,dedicated spectrum and optimal-compression study,SU2-CNOT-line|n10|d60|i2|dir=gaussian|basis=Z|eta=0,SU2-CNOT-line|n10|d60|i2,SU2-CNOT-line,10,6.0,512,2,1.0,8.881784197001252e-16,1.6028263498198782e-16,8.881784197001252e-16,6.418476861114186e-17,-0.4309557111494202,0.401875039136936
