profile,analysis_role,n,depth_factor,direction_sampler,measurement_basis,bitflip_rate,tangent_count_used,k,group,metric,mean,ci95_low,ci95_high,families,circuits,estimator
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,enhancement,0.9458336829638319,0.9331119230456487,0.9588004608385211,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,U1,enhancement,4.299686413884908,4.1835878524986425,4.405808121584678,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,actual_retention,0.029673213583178995,0.02927132486770157,0.03008898096907059,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,U1,actual_retention,0.4362000709738313,0.424483946315956,0.44707293736332726,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,deff_pairwise,152.09567407609487,151.28300825923858,152.85565448882556,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,U1,deff_pairwise,16.812397754279075,16.345253833004648,17.277101515323448,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,pairwise_purity,0.006669818401406381,0.006632722504316994,0.0067119139799073696,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,U1,pairwise_purity,0.05959854254629944,0.05799067505872161,0.06126157104219927,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,sample_covariance_purity,0.008609916412341118,0.00857273561550915,0.008651660753403054,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,U1,sample_covariance_purity,0.06143526414288869,0.059802250038203844,0.0630671394716017,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,trC3_u_stat,6.0723016815521585e-05,5.964886057056763e-05,6.197834331866853e-05,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,U1,trC3_u_stat,0.0043295809001159995,0.0040982915980397544,0.004572206903687946,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,Ffull_over_FQ_mean,0.4930809315192254,0.49216099116681744,0.4939309648556677,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,U1,Ffull_over_FQ_mean,0.4837417216951552,0.4777789721791554,0.49016839062815526,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,haar_alignment_z,-1.5719891874563587,-1.9663623390697877,-1.165777935921985,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,U1,haar_alignment_z,30.292443283258912,29.255380512522585,31.264828050030026,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,physical_minus_rank_baseline,-0.0016993354364287687,-0.0021061684284033122,-0.0012951732128084494,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,1,U1,physical_minus_rank_baseline,0.33475079561151244,0.3229519118047607,0.34526812090781794,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,generic_family_balanced,enhancement,0.977624943533437,0.9711557513487075,0.9843350586157241,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,U1,enhancement,1.927194198825808,1.8933343023368165,1.967965951063473,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,generic_family_balanced,actual_retention,0.13801763908707343,0.13709335240804912,0.13896503646036854,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,U1,actual_retention,0.7541194691057509,0.7406732788623356,0.7700972461802492,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,generic_family_balanced,deff_pairwise,152.09567407609487,151.2768478911606,152.85915788830067,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,U1,deff_pairwise,16.812397754279075,16.355246173758157,17.275043665948612,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,generic_family_balanced,pairwise_purity,0.006669818401406381,0.006631800423784587,0.006711765900041207,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,U1,pairwise_purity,0.05959854254629944,0.05797902334901458,0.061281740140374276,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,generic_family_balanced,sample_covariance_purity,0.008609916412341118,0.008572583141824793,0.008652287404928825,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,U1,sample_covariance_purity,0.06143526414288869,0.05980229696650329,0.06307328895213585,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,generic_family_balanced,trC3_u_stat,6.0723016815521585e-05,5.9647981492860313e-05,6.194082184555248e-05,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,U1,trC3_u_stat,0.0043295809001159995,0.004099251114192029,0.004570091400265837,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,generic_family_balanced,Ffull_over_FQ_mean,0.4930809315192254,0.4921849686933494,0.4939327914355819,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,U1,Ffull_over_FQ_mean,0.4837417216951552,0.4777511116851074,0.49046699753601286,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,generic_family_balanced,haar_alignment_z,-1.4666386290565936,-1.888852608519978,-1.0297565332495775,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,U1,haar_alignment_z,20.298354695341594,19.63516754276373,20.98742090209735,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,generic_family_balanced,physical_minus_rank_baseline,-0.0031588315011618,-0.004077564534592744,-0.0021997683222297216,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,8,6.0,gaussian,Z,0.0,512,2,U1,physical_minus_rank_baseline,0.362815121279664,0.34927609937335663,0.3784937635698186,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,10,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,enhancement,0.9471316354449213,0.9331798667095931,0.9612438386646719,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,10,6.0,gaussian,Z,0.0,512,1,U1,enhancement,10.078981283377276,9.816870723994992,10.349511167199214,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,10,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,actual_retention,0.009258373758014825,0.009124392365965829,0.009396593723340884,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,10,6.0,gaussian,Z,0.0,512,1,U1,actual_retention,0.36139773526053975,0.35188846109896843,0.37118289057223014,1,10,circuit bootstrap
v2_spectrum,dedicated spectrum and optimal-compression study,10,6.0,gaussian,Z,0.0,512,1,generic_family_balanced,deff_pairwise,395.01160358074594,392.2509768319935,397.554518334514,2,16,equal weight per ansatz family; circuit bootstrap within family
v2_spectrum,dedicated spectrum and optimal-compression study,10,6.0,gaussian,Z,0.0,512,1,U1,deff_pairwise,26.723275052486287,26.142571009498,27.219706855412205,1,10,circuit bootstrap
