family,n,shots,method,metric,bitflip_rate,noisy_over_clean,ci_low,ci_high,paired_circuits
SU2-HaarU4-brickwork,8,100,aligned_crossfit,actual_retention,0.01,1.031387263760304,1.0232507176163932,1.0404798003895945,16
SU2-HaarU4-brickwork,8,100,aligned_crossfit,actual_retention,0.03,1.0894982463904137,1.073700923440313,1.1066257016048031,16
SU2-HaarU4-brickwork,8,100,aligned_crossfit,actual_retention,0.05,1.1687567134591061,1.1467384313206308,1.1934371929715935,16
SU2-HaarU4-brickwork,8,100,aligned_crossfit,expected_scalar_directional_grad2,0.01,0.7856231285600991,0.7795298176994208,0.7920248010601203,16
SU2-HaarU4-brickwork,8,100,aligned_crossfit,expected_scalar_directional_grad2,0.03,0.5642740841403369,0.5569230299914363,0.572397231355924,16
SU2-HaarU4-brickwork,8,100,aligned_crossfit,expected_scalar_directional_grad2,0.05,0.43221899850009765,0.42458022155553354,0.44065435059378216,16
SU2-HaarU4-brickwork,8,100,aligned_crossfit,finite_difference_snr_mean,0.01,0.8780179481397278,0.8647996646796575,0.8903893691418537,16
SU2-HaarU4-brickwork,8,100,aligned_crossfit,finite_difference_snr_mean,0.03,0.745026314485966,0.7260243471671293,0.7641792965381828,16
SU2-HaarU4-brickwork,8,100,aligned_crossfit,finite_difference_snr_mean,0.05,0.650482524525086,0.6330717216137693,0.6677396957212351,16
SU2-HaarU4-brickwork,8,100,physical,actual_retention,0.01,1.257358867425188,1.2499582788753991,1.2648141572399592,16
SU2-HaarU4-brickwork,8,100,physical,actual_retention,0.03,1.6935328871841473,1.6824183153812533,1.705462554451875,16
SU2-HaarU4-brickwork,8,100,physical,actual_retention,0.05,2.1655687835064845,2.1515775094556924,2.1799315577113596,16
SU2-HaarU4-brickwork,8,100,physical,expected_scalar_directional_grad2,0.01,0.9592628744819222,0.9590716761671595,0.9594669369756073,16
SU2-HaarU4-brickwork,8,100,physical,expected_scalar_directional_grad2,0.03,0.8807344027842313,0.8802393427025199,0.8812344936646538,16
SU2-HaarU4-brickwork,8,100,physical,expected_scalar_directional_grad2,0.05,0.8060071750218982,0.8052943459142998,0.8067689729520497,16
SU2-HaarU4-brickwork,8,100,physical,finite_difference_snr_mean,0.01,0.979679748446055,0.9795049062778468,0.9798631048589703,16
SU2-HaarU4-brickwork,8,100,physical,finite_difference_snr_mean,0.03,0.9391971132834107,0.9387074312229832,0.9397183679367735,16
SU2-HaarU4-brickwork,8,100,physical,finite_difference_snr_mean,0.05,0.8988931150167635,0.8980949750363263,0.8997103126927356,16
SU2-HaarU4-brickwork,8,100,random_rank,actual_retention,0.01,0.9916648076089616,0.9859232280517243,0.9969274485441735,16
SU2-HaarU4-brickwork,8,100,random_rank,actual_retention,0.03,0.9909839251329928,0.9804693313939362,1.0006011139062316,16
SU2-HaarU4-brickwork,8,100,random_rank,actual_retention,0.05,0.9923308723794179,0.9788172218316524,1.0051943220666069,16
SU2-HaarU4-brickwork,8,100,random_rank,expected_scalar_directional_grad2,0.01,0.7551082828816923,0.7473342101490339,0.7626578515227264,16
SU2-HaarU4-brickwork,8,100,random_rank,expected_scalar_directional_grad2,0.03,0.5130676286797413,0.5050343071367647,0.5207620622967682,16
SU2-HaarU4-brickwork,8,100,random_rank,expected_scalar_directional_grad2,0.05,0.3667171799154147,0.3599472862120109,0.37314231343083015,16
