family,n,metric,contrast,ratio_of_means,ci_low,ci_high,paired_circuits
SU2-HaarU4-brickwork,8,actual_retention,aligned_crossfit_over_physical,2.927409793683015,2.8315703796261835,3.028000920097613,16
SU2-HaarU4-brickwork,8,actual_retention,random_rank_over_physical,1.059612719013801,1.0230652466713461,1.1012227343900045,16
SU2-HaarU4-brickwork,8,expected_scalar_directional_grad2,aligned_crossfit_over_physical,2.962702935226527,2.8718725376707983,3.061648491765526,16
SU2-HaarU4-brickwork,8,expected_scalar_directional_grad2,random_rank_over_physical,1.0612660027703562,1.0241046358411838,1.1027694560210684,16
SU2-HaarU4-brickwork,8,finite_difference_snr_mean,aligned_crossfit_over_physical,1.7343530859341765,1.6610788870725854,1.8114128103168603,16
SU2-HaarU4-brickwork,8,finite_difference_snr_mean,random_rank_over_physical,1.0202680450472703,0.9525807658965886,1.085599708313384,16
SU2-HaarU4-brickwork,10,actual_retention,aligned_crossfit_over_physical,4.611642748802209,4.454807639991174,4.778368242292493,16
SU2-HaarU4-brickwork,10,actual_retention,random_rank_over_physical,1.0557406517159913,1.0349197315103362,1.0770039940277785,16
SU2-HaarU4-brickwork,10,expected_scalar_directional_grad2,aligned_crossfit_over_physical,4.638477943781137,4.482479924058247,4.808007622639433,16
SU2-HaarU4-brickwork,10,expected_scalar_directional_grad2,random_rank_over_physical,1.055433991086855,1.0343346466702283,1.0766774584893561,16
SU2-HaarU4-brickwork,10,finite_difference_snr_mean,aligned_crossfit_over_physical,2.124592111521738,2.0154604778515854,2.234612914566718,16
SU2-HaarU4-brickwork,10,finite_difference_snr_mean,random_rank_over_physical,1.0354601086453459,0.9760715367883944,1.097832981752813,16
SU2-HaarU4-brickwork,12,actual_retention,aligned_crossfit_over_physical,9.561123521167133,9.338505118435009,9.810195651845829,16
SU2-HaarU4-brickwork,12,actual_retention,random_rank_over_physical,1.0667717418562066,1.037296147616351,1.0950338424870873,16
SU2-HaarU4-brickwork,12,expected_scalar_directional_grad2,aligned_crossfit_over_physical,9.584279102106274,9.355508532432495,9.838364989432263,16
SU2-HaarU4-brickwork,12,expected_scalar_directional_grad2,random_rank_over_physical,1.0662211575279381,1.0360935326359355,1.0946178050040716,16
SU2-HaarU4-brickwork,12,finite_difference_snr_mean,aligned_crossfit_over_physical,3.1108959564833487,2.9727578567729203,3.2549431715452064,16
SU2-HaarU4-brickwork,12,finite_difference_snr_mean,random_rank_over_physical,1.0236547413600623,0.9849851783055732,1.065355903391583,16
U1-RZ-XY-line,8,actual_retention,aligned_crossfit_over_physical,1.1407432252838448,1.1142407838819126,1.1702090096570645,20
U1-RZ-XY-line,8,actual_retention,random_rank_over_physical,0.24448582314325956,0.23128823866085332,0.25732503115973226,20
U1-RZ-XY-line,8,expected_scalar_directional_grad2,aligned_crossfit_over_physical,1.1476936674080767,1.1194583965832758,1.1794206290133038,20
U1-RZ-XY-line,8,expected_scalar_directional_grad2,random_rank_over_physical,0.2384610958073292,0.22490591685948622,0.25169612526335183,20
U1-RZ-XY-line,8,finite_difference_snr_mean,aligned_crossfit_over_physical,1.0676326237748923,1.038683920865547,1.0986398550409475,20
U1-RZ-XY-line,8,finite_difference_snr_mean,random_rank_over_physical,0.47932411449277657,0.45131491334950524,0.5078343727427056,20
U1-RZ-XY-line,10,actual_retention,aligned_crossfit_over_physical,1.1820603554302183,1.151332027420928,1.214329128821978,20
U1-RZ-XY-line,10,actual_retention,random_rank_over_physical,0.10191859184430692,0.09680365091039583,0.10717170641167759,20
U1-RZ-XY-line,10,expected_scalar_directional_grad2,aligned_crossfit_over_physical,1.1886762988291384,1.1564688380580643,1.2227560319035873,20
U1-RZ-XY-line,10,expected_scalar_directional_grad2,random_rank_over_physical,0.09981924481629333,0.09498623839064906,0.10481580871877325,20
U1-RZ-XY-line,10,finite_difference_snr_mean,aligned_crossfit_over_physical,1.096820578406121,1.0535023633421008,1.1383855939555287,20
U1-RZ-XY-line,10,finite_difference_snr_mean,random_rank_over_physical,0.31380762851109495,0.29502128834672203,0.3327083251518777,20
U1-RZ-XY-line,12,actual_retention,aligned_crossfit_over_physical,1.2027143733893142,1.177922951373612,1.2284718392191596,20
U1-RZ-XY-line,12,actual_retention,random_rank_over_physical,0.04045469681518963,0.03887005201521123,0.041918146409586736,20
U1-RZ-XY-line,12,expected_scalar_directional_grad2,aligned_crossfit_over_physical,1.2097727856056972,1.1866172260057075,1.2337727344376155,20
U1-RZ-XY-line,12,expected_scalar_directional_grad2,random_rank_over_physical,0.0397534814449346,0.038177852307857356,0.04124666374918415,20
U1-RZ-XY-line,12,finite_difference_snr_mean,aligned_crossfit_over_physical,1.111614035561912,1.082492747245523,1.141969268194639,20
U1-RZ-XY-line,12,finite_difference_snr_mean,random_rank_over_physical,0.20474470449718166,0.19572410845200777,0.21377775094452178,20
