profile,circuit_id,family,n,depth,instance,score_dimension,one_body_rank,walsh_order,cumulative_rank,incremental_rank,aligned_eval_retention,cumulative_tangent_retention,incremental_tangent_retention,cumulative_aligned_subspace_overlap,incremental_aligned_subspace_overlap,worst_aligned_principal_cos2
u1-alignment-mechanism-v1,SU2-HaarU4-brickwork|n8|d48|i0,SU2-HaarU4-brickwork,8,48,0,255,8,1,8,8,0.0859950519279117,0.0287401239595367,0.0287401239595367,0.0267236392023389,0.0267236392023389,0.0011945365458372
u1-alignment-mechanism-v1,SU2-HaarU4-brickwork|n8|d48|i0,SU2-HaarU4-brickwork,8,48,0,255,8,2,36,28,0.0859950519279117,0.1308296489659825,0.1020895250064457,0.1401041051712254,0.1133804659688865,0.0626653574836185
u1-alignment-mechanism-v1,SU2-HaarU4-brickwork|n8|d48|i1,SU2-HaarU4-brickwork,8,48,1,255,8,1,8,8,0.0865654796498805,0.0293320346427117,0.0293320346427117,0.0288084867447803,0.0288084867447803,0.0003098321938709
u1-alignment-mechanism-v1,SU2-HaarU4-brickwork|n8|d48|i1,SU2-HaarU4-brickwork,8,48,1,255,8,2,36,28,0.0865654796498805,0.1395328789822366,0.1102008443395248,0.1234893434411033,0.0946808566963229,0.0504800794566051
u1-alignment-mechanism-v1,SU2-HaarU4-brickwork|n8|d48|i2,SU2-HaarU4-brickwork,8,48,2,255,8,1,8,8,0.0862802641126912,0.0283905923075908,0.0283905923075908,0.0252500907293906,0.0252500907293906,0.0004486221165772
u1-alignment-mechanism-v1,SU2-HaarU4-brickwork|n8|d48|i2,SU2-HaarU4-brickwork,8,48,2,255,8,2,36,28,0.0862802641126912,0.13744622579907,0.1090556334914792,0.1327357617274649,0.1074856709980743,0.0316664226723037
u1-alignment-mechanism-v1,SU2-HaarU4-brickwork|n8|d48|i3,SU2-HaarU4-brickwork,8,48,3,255,8,1,8,8,0.0872498064782597,0.026763486091581,0.026763486091581,0.0283903595366252,0.0283903595366252,8.680728917200238e-05
u1-alignment-mechanism-v1,SU2-HaarU4-brickwork|n8|d48|i3,SU2-HaarU4-brickwork,8,48,3,255,8,2,36,28,0.0872498064782597,0.1312525688502824,0.1044890827587013,0.1298044371336333,0.1014140775970081,0.0442475891976166
u1-alignment-mechanism-v1,SU2-HaarU4-brickwork|n8|d48|i4,SU2-HaarU4-brickwork,8,48,4,255,8,1,8,8,0.0815102036646942,0.0283551923159192,0.0283551923159192,0.0265001286708488,0.0265001286708488,0.0021877235543103
u1-alignment-mechanism-v1,SU2-HaarU4-brickwork|n8|d48|i4,SU2-HaarU4-brickwork,8,48,4,255,8,2,36,28,0.0815102036646942,0.1388911218384098,0.1105359295224906,0.1451499568537842,0.1186498281829354,0.0616049822879714
