family,n,walsh_order,metric,mean,ci_low,ci_high,circuits
SU2-HaarU4-brickwork,8,1,cumulative_tangent_retention,0.029277545802947863,0.02857901056611547,0.030031922333723256,16
SU2-HaarU4-brickwork,8,1,incremental_tangent_retention,0.029277545802947863,0.02858825630621147,0.030023456915002616,16
SU2-HaarU4-brickwork,8,1,cumulative_aligned_subspace_overlap,0.028002842144438538,0.02671849014118623,0.02956294822168859,16
SU2-HaarU4-brickwork,8,1,incremental_aligned_subspace_overlap,0.028002842144438538,0.02671134139435245,0.029550774597487946,16
SU2-HaarU4-brickwork,8,1,worst_aligned_principal_cos2,0.00044775945980417465,0.0002144154077746347,0.000756985833226664,16
SU2-HaarU4-brickwork,8,1,aligned_eval_retention,0.08570737431855258,0.08428410457942921,0.08716636640316743,16
SU2-HaarU4-brickwork,8,2,cumulative_tangent_retention,0.13640116912160322,0.13452696305021253,0.13823564347422684,16
SU2-HaarU4-brickwork,8,2,incremental_tangent_retention,0.10712362331865527,0.10558710294236241,0.10859617572529467,16
SU2-HaarU4-brickwork,8,2,cumulative_aligned_subspace_overlap,0.13610076944439378,0.13250965223831868,0.1398414763436864,16
SU2-HaarU4-brickwork,8,2,incremental_aligned_subspace_overlap,0.1080979272999552,0.10371360217903434,0.11253739216337993,16
SU2-HaarU4-brickwork,8,2,worst_aligned_principal_cos2,0.052302373617535994,0.047108559699524884,0.05682661394776718,16
SU2-HaarU4-brickwork,8,2,aligned_eval_retention,0.08570737431855258,0.08429203318416889,0.08717308165043647,16
SU2-HaarU4-brickwork,10,1,cumulative_tangent_retention,0.009317307423358775,0.009139551268166946,0.009500773024202925,16
SU2-HaarU4-brickwork,10,1,incremental_tangent_retention,0.009317307423358775,0.00913738793636468,0.009500077372099349,16
SU2-HaarU4-brickwork,10,1,cumulative_aligned_subspace_overlap,0.00914808958860852,0.008585262826837756,0.00974785942851277,16
SU2-HaarU4-brickwork,10,1,incremental_aligned_subspace_overlap,0.00914808958860852,0.008581976641248552,0.00973330563545266,16
SU2-HaarU4-brickwork,10,1,worst_aligned_principal_cos2,4.990317922385231e-05,3.471366342232832e-05,6.699631379735436e-05,16
SU2-HaarU4-brickwork,10,1,aligned_eval_retention,0.04296809321729346,0.04210140224524987,0.04381402150876547,16
SU2-HaarU4-brickwork,10,2,cumulative_tangent_retention,0.05189537321422317,0.051489501380464694,0.05230622444635732,16
SU2-HaarU4-brickwork,10,2,incremental_tangent_retention,0.042578065790864345,0.042217881779798835,0.04292695903210798,16
SU2-HaarU4-brickwork,10,2,cumulative_aligned_subspace_overlap,0.05084677541607383,0.04991781125408861,0.05177511142436085,16
SU2-HaarU4-brickwork,10,2,incremental_aligned_subspace_overlap,0.04169868582746525,0.04088345751297301,0.04253516070063132,16
SU2-HaarU4-brickwork,10,2,worst_aligned_principal_cos2,0.020274810012485798,0.01865116346086492,0.021924454693050818,16
SU2-HaarU4-brickwork,10,2,aligned_eval_retention,0.04296809321729346,0.042111976553999377,0.04381917992096461,16
SU2-HaarU4-brickwork,12,1,cumulative_tangent_retention,0.0027365511706037874,0.00269224243276648,0.0027780176149719065,16
SU2-HaarU4-brickwork,12,1,incremental_tangent_retention,0.0027365511706037874,0.0026930477164358534,0.0027781781601187443,16
SU2-HaarU4-brickwork,12,1,cumulative_aligned_subspace_overlap,0.0027796952453331934,0.0025875039412469204,0.002997310633962601,16
SU2-HaarU4-brickwork,12,1,incremental_aligned_subspace_overlap,0.0027796952453331934,0.0025843051745729653,0.00300219858212898,16
SU2-HaarU4-brickwork,12,1,worst_aligned_principal_cos2,1.7413065575007353e-05,7.879320699650323e-06,2.8110477175286867e-05,16
SU2-HaarU4-brickwork,12,1,aligned_eval_retention,0.026164503764137318,0.025820614225710397,0.026511509506410274,16
SU2-HaarU4-brickwork,12,2,cumulative_tangent_retention,0.018127164858848098,0.01797233106826492,0.018285933819661242,16
SU2-HaarU4-brickwork,12,2,incremental_tangent_retention,0.015390613688244245,0.015246128052809295,0.015539033222141245,16
SU2-HaarU4-brickwork,12,2,cumulative_aligned_subspace_overlap,0.018186960706923137,0.017826913954379846,0.018599382434871043,16
SU2-HaarU4-brickwork,12,2,incremental_aligned_subspace_overlap,0.015407265461589886,0.015077485212883568,0.015766951381822793,16
SU2-HaarU4-brickwork,12,2,worst_aligned_principal_cos2,0.0077694833250920685,0.007458802573534321,0.008059075911152385,16
SU2-HaarU4-brickwork,12,2,aligned_eval_retention,0.026164503764137318,0.02582253188509847,0.026511245948610335,16
U1-RZ-XY-line,8,1,cumulative_tangent_retention,0.4326143178078845,0.4217296936054521,0.4438373923069141,20
U1-RZ-XY-line,8,1,incremental_tangent_retention,0.4326143178078845,0.42149947778608843,0.4434233748268329,20
U1-RZ-XY-line,8,1,cumulative_aligned_subspace_overlap,0.5515593856751837,0.5288611536545282,0.5737065562169436,20
U1-RZ-XY-line,8,1,incremental_aligned_subspace_overlap,0.5515593856751837,0.5286946022032489,0.5735042676102424,20
U1-RZ-XY-line,8,1,worst_aligned_principal_cos2,0.0381564465025766,0.02298108258757977,0.05595725230434232,20
U1-RZ-XY-line,8,1,aligned_eval_retention,0.49350185220013615,0.48404401029792654,0.5027965930860605,20
U1-RZ-XY-line,8,2,cumulative_tangent_retention,0.7490279408626781,0.7376609465285784,0.7606412525558456,20
U1-RZ-XY-line,8,2,incremental_tangent_retention,0.3164136230547936,0.3060130341078962,0.32746124982548586,20
U1-RZ-XY-line,8,2,cumulative_aligned_subspace_overlap,0.8216215779048431,0.8064404520627422,0.8356822369422192,20
U1-RZ-XY-line,8,2,incremental_aligned_subspace_overlap,0.27006219222965944,0.2524409491961839,0.28608682501277855,20
U1-RZ-XY-line,8,2,worst_aligned_principal_cos2,0.5284173852926217,0.4937407033955971,0.5637125959943322,20
U1-RZ-XY-line,8,2,aligned_eval_retention,0.49350185220013615,0.484006913031855,0.502705931199787,20
U1-RZ-XY-line,10,1,cumulative_tangent_retention,0.3533510245023196,0.34503953295227946,0.3614998845265813,20
U1-RZ-XY-line,10,1,incremental_tangent_retention,0.3533510245023196,0.34477584330964445,0.36174727258378137,20
U1-RZ-XY-line,10,1,cumulative_aligned_subspace_overlap,0.45028821299000354,0.4314184243216966,0.46944912752767615,20
U1-RZ-XY-line,10,1,incremental_aligned_subspace_overlap,0.45028821299000354,0.4316499315054594,0.4699418473302369,20
U1-RZ-XY-line,10,1,worst_aligned_principal_cos2,0.012509176710961332,0.0050134874155250905,0.021801892801152273,20
U1-RZ-XY-line,10,1,aligned_eval_retention,0.41768223761484363,0.4105390925936111,0.42525536694028687,20
U1-RZ-XY-line,10,2,cumulative_tangent_retention,0.6320320472421344,0.6249193302397427,0.6394594016564245,20
U1-RZ-XY-line,10,2,incremental_tangent_retention,0.2786810227398148,0.273010194095352,0.2849634454105577,20
U1-RZ-XY-line,10,2,cumulative_aligned_subspace_overlap,0.6997414962310577,0.6863875868763981,0.713332661275593,20
U1-RZ-XY-line,10,2,incremental_aligned_subspace_overlap,0.24945328324105415,0.2394256747607583,0.25951283596164876,20
U1-RZ-XY-line,10,2,worst_aligned_principal_cos2,0.3846678474504041,0.3577068434959673,0.4101758614435055,20
U1-RZ-XY-line,10,2,aligned_eval_retention,0.41768223761484363,0.41055937186100316,0.42549294855292036,20
U1-RZ-XY-line,12,1,cumulative_tangent_retention,0.2953852104087169,0.2887791407779441,0.3020186835614621,20
U1-RZ-XY-line,12,1,incremental_tangent_retention,0.2953852104087169,0.288672630779453,0.3019064473464245,20
U1-RZ-XY-line,12,1,cumulative_aligned_subspace_overlap,0.39609851477787544,0.38159922619378417,0.40987062248559497,20
U1-RZ-XY-line,12,1,incremental_aligned_subspace_overlap,0.39609851477787544,0.38216720647122243,0.40976624457220656,20
U1-RZ-XY-line,12,1,worst_aligned_principal_cos2,0.004992418886043446,0.002787576864900362,0.007627147543612345,20
U1-RZ-XY-line,12,1,aligned_eval_retention,0.3552640382451907,0.3506115843689548,0.3599444649028865,20
U1-RZ-XY-line,12,2,cumulative_tangent_retention,0.549482691642815,0.5437054501068666,0.5553071010260007,20
U1-RZ-XY-line,12,2,incremental_tangent_retention,0.25409748123409814,0.2501830280127092,0.25824879342740686,20
U1-RZ-XY-line,12,2,cumulative_aligned_subspace_overlap,0.6283101542243076,0.6177981533892428,0.6386697203916984,20
U1-RZ-XY-line,12,2,incremental_aligned_subspace_overlap,0.2322116394464321,0.22603984694707938,0.23872845262324305,20
U1-RZ-XY-line,12,2,worst_aligned_principal_cos2,0.30655039047908295,0.29012703461237893,0.32361495115147526,20
U1-RZ-XY-line,12,2,aligned_eval_retention,0.3552640382451907,0.35060540904816284,0.35991464331148226,20
